0x0	0xd
0xd	0x1d
0x37	0x173c
0x75	0x8f
0xaf	0xb4
0xba	0xc2
0xe2	0xea
0x10c	0x114
0x1d	0x28
0x28	0x33
0x5c2B0x117	0x5d2B0x117
0x5daB0x117	0x5efB0x117
0x603B0x117	0x61eB0x117
0x52dB0x5f7B0x117	0x542B0x5f7B0x117
0x54aB0x5f7B0x117	0x55eB0x5f7B0x117
0x518B0x5f7B0x117	0x525B0x5f7B0x117
0x582B0x626B0x117	0x597B0x626B0x117
0x59fB0x626B0x117	0x5b3B0x626B0x117
0x56dB0x626B0x117	0x57aB0x626B0x117
0x15bB0xdb	0x174B0xdb
0x194B0xdb	0x199B0xdb
0x493B0xc5	0x4a2B0xc5
0x4b7B0xc5	0x4d0B0xc5
0x453B0x4d8B0xc5	0x468B0x4d8B0xc5
0x470B0x4d8B0xc5	0x484B0x4d8B0xc5
0x43eB0x4d8B0xc5	0x44bB0x4d8B0xc5
0x411B0x41eB0x4aaB0xc5	0x418B0x41eB0x4aaB0xc5
0x21fB0x12d	0x22aB0x12d
0x1c5B0x12d	0x1d7B0x12d
0x211B0x12d	0x216B0x12d
0x247B0x12d	0x256B0x12d
0x270B0x12d	0x279B0x12d
0x2d6B0x12d	0x2e1B0x12d
0x328B0x12d	0x340B0x12d
0x363B0x12d	0x369B0x12d
0x360B0x12d	0x363B0x12d
0x279B0x12d	0x285B0x12d
0x216B0x12d	0x21fB0x12d
0x285B0x12d	0x2abB0x12d
0x766B0x25eB0x12d	0x77aB0x25eB0x12d
0x782B0x25eB0x12d	0x79cB0x25eB0x12d
0x7a4B0x25eB0x12d	0x7b8B0x25eB0x12d
0x7c8B0x2b3B0x12d	0x7dbB0x2b3B0x12d
0x7c8B0x2e9B0x12d	0x7dbB0x2e9B0x12d
0x7efB0x2fbB0x12d	0x803B0x2fbB0x12d
0x80bB0x2fbB0x12d	0x825B0x2fbB0x12d
0x82dB0x2fbB0x12d	0x841B0x2fbB0x12d
0x902B0x340B0x12d	0x90fB0x340B0x12d
0x8e1B0x8eeB0x917B0x340B0x12d	0x8e8B0x8eeB0x917B0x340B0x12d
0x72fB0x232B0x12d	0x73cB0x232B0x12d
0x411B0x41eB0x744B0x232B0x12d	0x418B0x41eB0x744B0x232B0x12d
0x72fB0x2c5B0x12d	0x73cB0x2c5B0x12d
0x411B0x41eB0x744B0x2c5B0x12d	0x418B0x41eB0x744B0x2c5B0x12d
