fold,seed,model,target_FPR,threshold,validation_achieved_FPR,validation_rows,validation_negatives
0,7702,clean,0.01,0.9527138471603394,0.009584664536741214,459,313
0,7702,clean,0.05,0.7604462802410126,0.04792332268370607,459,313
0,7702,clean,0.1,0.2799331843852997,0.09904153354632587,459,313
0,7702,ordinary_aug,0.01,0.9958265721797943,0.009584664536741214,459,313
0,7702,ordinary_aug,0.05,0.9641876816749573,0.04792332268370607,459,313
0,7702,ordinary_aug,0.1,0.9327332973480226,0.09584664536741214,459,313
0,7702,source_balanced_aug,0.01,0.9664400219917297,0.009584664536741214,459,313
0,7702,source_balanced_aug,0.05,0.7361529469490051,0.04792332268370607,459,313
0,7702,source_balanced_aug,0.1,0.24622486531734467,0.09904153354632587,459,313
0,7702,tc_hard,0.01,0.9508478045463562,0.009584664536741214,459,313
0,7702,tc_hard,0.05,0.4538038820028305,0.04792332268370607,459,313
0,7702,tc_hard,0.1,0.2219040393829346,0.0926517571884984,459,313
0,7703,clean,0.01,0.9581965506076813,0.009584664536741214,459,313
0,7703,clean,0.05,0.7443201243877411,0.04792332268370607,459,313
0,7703,clean,0.1,0.24183504283428192,0.09904153354632587,459,313
0,7703,ordinary_aug,0.01,0.9951953291893005,0.009584664536741214,459,313
0,7703,ordinary_aug,0.05,0.9725137352943422,0.04153354632587859,459,313
0,7703,ordinary_aug,0.1,0.9346607029438019,0.09904153354632587,459,313
0,7703,source_balanced_aug,0.01,0.9524642527103424,0.009584664536741214,459,313
0,7703,source_balanced_aug,0.05,0.6285692751407623,0.04792332268370607,459,313
0,7703,source_balanced_aug,0.1,0.3075762987136841,0.09904153354632587,459,313
0,7703,tc_hard,0.01,0.94881272315979,0.009584664536741214,459,313
0,7703,tc_hard,0.05,0.5304249823093414,0.04792332268370607,459,313
0,7703,tc_hard,0.1,0.30558922886848455,0.08945686900958466,459,313
0,7704,clean,0.01,0.9564310610294342,0.009584664536741214,459,313
0,7704,clean,0.05,0.7222217917442322,0.04792332268370607,459,313
0,7704,clean,0.1,0.3212521821260452,0.09904153354632587,459,313
0,7704,ordinary_aug,0.01,0.9964801967144012,0.009584664536741214,459,313
0,7704,ordinary_aug,0.05,0.9672913551330568,0.04472843450479233,459,313
0,7704,ordinary_aug,0.1,0.8169252276420594,0.09584664536741214,459,313
0,7704,source_balanced_aug,0.01,0.9676418304443359,0.009584664536741214,459,313
0,7704,source_balanced_aug,0.05,0.6728241741657257,0.04792332268370607,459,313
0,7704,source_balanced_aug,0.1,0.27981820702552795,0.09904153354632587,459,313
0,7704,tc_hard,0.01,0.8688035905361176,0.009584664536741214,459,313
0,7704,tc_hard,0.05,0.674171507358551,0.04792332268370607,459,313
0,7704,tc_hard,0.1,0.22976076602935794,0.0926517571884984,459,313
1,7702,clean,0.01,0.8556093573570251,0.009554140127388535,459,314
1,7702,clean,0.05,0.1405438631772995,0.04777070063694268,459,314
1,7702,clean,0.1,0.09864307940006257,0.07961783439490445,459,314
