fold,seed,model,condition,AUPRC,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
0,7702,clean,cleanM0,0.7240260604726629,0.28289473684210525,0.003134796238244514,0.35526315789473684,0.0219435736677116,0.4934210526315789,0.05329153605015674
0,7702,clean,F200,0.5125747425968981,0.0,0.0,0.013157894736842105,0.003134796238244514,0.09210526315789473,0.03134796238244514
0,7702,clean,M3F200,0.4806698253997965,0.0,0.0,0.019736842105263157,0.0,0.13815789473684212,0.03761755485893417
0,7702,clean,adaptive_transfer,0.30960138005200405,0.0,0.003134796238244514,0.0,0.0219435736677116,0.019736842105263157,0.05329153605015674
0,7702,ordinary_aug,cleanM0,0.7042859822675644,0.05263157894736842,0.003134796238244514,0.34868421052631576,0.0219435736677116,0.40131578947368424,0.025078369905956112
0,7702,ordinary_aug,F200,0.43280074119679934,0.17105263157894737,0.07210031347962383,0.4144736842105263,0.23510971786833856,0.5263157894736842,0.3448275862068966
0,7702,ordinary_aug,M3F200,0.39169213670611125,0.21052631578947367,0.18495297805642633,0.4605263157894737,0.3887147335423197,0.5131578947368421,0.445141065830721
0,7702,ordinary_aug,adaptive_transfer,0.662058495740538,0.05263157894736842,0.003134796238244514,0.2565789473684211,0.0219435736677116,0.3157894736842105,0.025078369905956112
0,7702,source_balanced_aug,cleanM0,0.7822993068834019,0.10526315789473684,0.003134796238244514,0.3815789473684211,0.01567398119122257,0.5131578947368421,0.02821316614420063
0,7702,source_balanced_aug,F200,0.5596693307779759,0.0,0.0,0.09868421052631579,0.006269592476489028,0.24342105263157895,0.06583072100313479
0,7702,source_balanced_aug,M3F200,0.491705587425453,0.006578947368421052,0.0,0.06578947368421052,0.009404388714733543,0.23026315789473684,0.06269592476489028
0,7702,source_balanced_aug,adaptive_transfer,0.5052856152122622,0.0,0.003134796238244514,0.0,0.01567398119122257,0.09868421052631579,0.02821316614420063
0,7702,tc_hard,cleanM0,0.7704058640521131,0.039473684210526314,0.003134796238244514,0.40131578947368424,0.034482758620689655,0.506578947368421,0.05956112852664577
0,7702,tc_hard,F200,0.5081909431178915,0.006578947368421052,0.0,0.28289473684210525,0.11598746081504702,0.42105263157894735,0.22884012539184953
0,7702,tc_hard,M3F200,0.4650017536868015,0.013157894736842105,0.0,0.2565789473684211,0.11285266457680251,0.39473684210526316,0.26332288401253917
0,7702,tc_hard,adaptive_transfer,0.6315610825375659,0.013157894736842105,0.003134796238244514,0.20394736842105263,0.034482758620689655,0.34868421052631576,0.05956112852664577
0,7703,clean,cleanM0,0.71501596216873,0.2631578947368421,0.003134796238244514,0.3684210526315789,0.0219435736677116,0.5,0.050156739811912224
0,7703,clean,F200,0.5211720240554059,0.0,0.0,0.02631578947368421,0.003134796238244514,0.1118421052631579,0.034482758620689655
0,7703,clean,M3F200,0.4839826079402071,0.0,0.0,0.019736842105263157,0.0,0.09868421052631579,0.02821316614420063
0,7703,clean,adaptive_transfer,0.3081700638826625,0.0,0.003134796238244514,0.0,0.0219435736677116,0.013157894736842105,0.050156739811912224
