0x3f54	0x3f56
0x3f5d	0xcb
0x3f60	0xeb
0x3f63	0x13d
0x3f57	0x96
0x3f5a	0xa9
0x289B0x7b	0xc3a
0x4cfB0xa4	0xc3a
