flood_fraction,n,appended_chunk_share,attention_on_appended,attention_on_appended_sd,mean_pool_on_appended,dilution_resisted
0.0,152,0.0,0.0,0.0,0.0,0.0
0.25,152,0.2392183205940946,0.16830307340837622,0.12875650023578072,0.2392183205940946,0.07091524718571837
0.5,152,0.33611410743509085,0.20350287847318932,0.11488521060869376,0.33611410743509085,0.13261122896190153
1.0,152,0.4955596818537167,0.3064821953640172,0.13815232876978165,0.4955596818537167,0.18907748648969946
2.0,152,0.6579826066482402,0.4660960207448194,0.1635572972793048,0.6579826066482402,0.19188658590342078
