flood_fraction,n,appended_share,attn_on_appended,attn_sd,meanpool,dilution_resisted
0.0,727,0.0,0.0,0.0,0.0,0.0
0.25,727,0.1795182988848076,0.0979205233203772,0.10170996337995113,0.1795182988848076,0.0815977755644304
0.5,727,0.30237719703977717,0.15555545134134227,0.11928535474145648,0.30237719703977717,0.1468217456984349
1.0,727,0.4654194554742986,0.24496237951826602,0.14284884357501898,0.4654194554742986,0.22045707595603256
2.0,727,0.6307357931073548,0.37560375319714395,0.17472350091653996,0.6307357931073548,0.2551320399102109
