0x3ce
0x429
0x440
0x471
0x491
0x4c1
0x505
0x550
0x570
0x590
0x614
0x649
0x669
0x689
0x6bf
0x71f
0x78a
0x7bf
0x7df
0x82a
0x84a
0x87f
0x8b5
0x8d5
0x90a
0x90f
0x94a
0x995
0x9ca
0x9ea
0xa1f
0xa5f
0xaa4
0xab6
0xae2
0xb50
0xbaa
0xc10
0xc26
0xcb1
0xcc7
0xd14
0xd74
0xd8a
0xde7
0xee9
0xf1e
0x108e
0x10c6
0x10f5
0x1428
0x151c
0x1532
0x1624
0x163a
0x185e
0x18fc
0x19b1
0x19b6
0x1a53
0x1ab7
0x1ac7
0x1b06
0x1b16
0x1b3e
0x1bb5
0x1bc5
0x1bf0
0x1c07
0x1c94
0x1ce6
