0x11b
0x120
0x136
0x143
0x160
0x16d
0x251
0x27a
0x28d
0x29e
0x2c6
0x2d9
0x2ef
0x302
0x311
0x31f
0x37d
0x390
0x3a1
0x3be
0x3d2
0x41d
0x439
0x44c
0x45d
0x4a2
0x591
0x59b
0x5b3
0x61c
0x67f
0x6be
0x6c8
0x709
0x720
0x760
0x7a5
0x7e1
0x7fe
0x81a
0x836
0x851
0x86d
0x88a
0x897
0x8aa
0x8dd
0x8ed
0x906
0x950
0x95b
0x97d
0x9d7
0x9ee
0x9fe
0xa19
0xa33
0xa41
0xa65
0xa87
0xaa3
0xacf
0xadc
0xaf4
0xb3e
0xb49
0xb90
0xb9a
0xbaa
0xbc0
0xbcc
0xbf1
0xbfb
0xc0b
0xc14
0xc37
0xc7f
0xc8a
0xc98
0xcae
0xcc0
0xccb
0xce2
0xd20
0xd31
0xd46
0xd5f
0xd6c
