chain,address,exact_bytecode_id,bytecode_family_id,evidence_path,verified_source_status
ethereum,0x057360cb7b9f6709fb2863fc18b39f444037ced5,EXACT00026,FAM00023,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x057360cb7b9f6709fb2863fc18b39f444037ced5.json,UNAVAILABLE
ethereum,0x057c92bd351f01573d6ca9dfe23035f1b7aa9147,EXACT00027,FAM00024,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x057c92bd351f01573d6ca9dfe23035f1b7aa9147.json,VERIFIED
ethereum,0x0593b065bdf6d60630a16d7900b3066c57b1f4ce,EXACT00028,FAM00025,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0593b065bdf6d60630a16d7900b3066c57b1f4ce.json,UNAVAILABLE
ethereum,0x05ae73c5925d843864ae6f261f3175de2ebcd963,EXACT00029,FAM00026,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x05ae73c5925d843864ae6f261f3175de2ebcd963.json,UNAVAILABLE
ethereum,0x05de2ef4c528409fd6c6f67354f32d09964136bb,EXACT00030,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x05de2ef4c528409fd6c6f67354f32d09964136bb.json,UNAVAILABLE
ethereum,0x05fe64ffe5b93bb35af04f94d2631929a4410c1a,EXACT00031,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x05fe64ffe5b93bb35af04f94d2631929a4410c1a.json,UNAVAILABLE
ethereum,0x06467f4c351c9dcbe6e07645e50125cc049ddee8,EXACT00031,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x06467f4c351c9dcbe6e07645e50125cc049ddee8.json,UNAVAILABLE
ethereum,0x064f5c540e81c5c72c3542f785eecffd9e54aed7,EXACT00032,FAM00027,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x064f5c540e81c5c72c3542f785eecffd9e54aed7.json,UNAVAILABLE
ethereum,0x068e4fec0c3e7f83f646ec3d9b8028521180464a,EXACT00033,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x068e4fec0c3e7f83f646ec3d9b8028521180464a.json,UNAVAILABLE
ethereum,0x0786e216d94b5dae9bd0cc502c07c6f774808c93,EXACT00034,FAM00028,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0786e216d94b5dae9bd0cc502c07c6f774808c93.json,VERIFIED
ethereum,0x07917783be7a2cfc2cae7fe20c17ff9ae1c7b7cc,EXACT00035,FAM00029,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x07917783be7a2cfc2cae7fe20c17ff9ae1c7b7cc.json,UNAVAILABLE
ethereum,0x079596b325d8d3b776ab304eb4b3ffe993a3abe9,EXACT00036,FAM00030,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x079596b325d8d3b776ab304eb4b3ffe993a3abe9.json,UNAVAILABLE
ethereum,0x07ad2cb96d87565796e173b9a07f088ee779c59e,EXACT00031,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x07ad2cb96d87565796e173b9a07f088ee779c59e.json,UNAVAILABLE
ethereum,0x07e24e265de698fb3b2b02315f70154619a184b0,EXACT00037,FAM00031,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x07e24e265de698fb3b2b02315f70154619a184b0.json,UNAVAILABLE
ethereum,0x07f1abed005fef7f9cf6bad23bdc8fd85e93f3d5,EXACT00031,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x07f1abed005fef7f9cf6bad23bdc8fd85e93f3d5.json,UNAVAILABLE
ethereum,0x08a48a3ab05d0a6590c8efaf3f16d4245fa3363d,EXACT00038,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x08a48a3ab05d0a6590c8efaf3f16d4245fa3363d.json,UNAVAILABLE
ethereum,0x08bf3aa11cf3063ae49c9383e74eb72b3329aa24,EXACT00039,FAM00032,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x08bf3aa11cf3063ae49c9383e74eb72b3329aa24.json,UNAVAILABLE
ethereum,0x096965cceb716c99256a0fe5994873c184a8b1a6,EXACT00040,FAM00033,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x096965cceb716c99256a0fe5994873c184a8b1a6.json,UNAVAILABLE
ethereum,0x09b7496152fe1136ecfdc60d79d40f56837fecf8,EXACT00041,FAM00034,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x09b7496152fe1136ecfdc60d79d40f56837fecf8.json,UNAVAILABLE
ethereum,0x09c7132f49b7bd1ca444a677ee7c70fa61d86a16,EXACT00042,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x09c7132f49b7bd1ca444a677ee7c70fa61d86a16.json,UNAVAILABLE
ethereum,0x0a134aafaa7834fcc1d8b0ef1f3addf48f0005aa,EXACT00043,FAM00035,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0a134aafaa7834fcc1d8b0ef1f3addf48f0005aa.json,UNAVAILABLE
ethereum,0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f,EXACT00044,FAM00036,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f.json,UNAVAILABLE
ethereum,0x0a61ada69f98f4a9227afb8b91202e1a2a5ab54e,EXACT00045,FAM00037,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0a61ada69f98f4a9227afb8b91202e1a2a5ab54e.json,UNAVAILABLE
ethereum,0x0a6ef917a8d493350f7a5a414d15e93ec5fff2ce,EXACT00046,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0a6ef917a8d493350f7a5a414d15e93ec5fff2ce.json,UNAVAILABLE
ethereum,0x0b399090530a5884e387a08d718faf6b1f7bc41d,EXACT00047,FAM00038,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0b399090530a5884e387a08d718faf6b1f7bc41d.json,VERIFIED
ethereum,0x0b50b2854b262a5193596bb8aa9aed3d630b39c1,EXACT00048,FAM00039,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0b50b2854b262a5193596bb8aa9aed3d630b39c1.json,UNAVAILABLE
ethereum,0x0b63f2c64aec98e4d066fae5b8178ef74fdcc8fb,EXACT00049,FAM00040,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0b63f2c64aec98e4d066fae5b8178ef74fdcc8fb.json,UNAVAILABLE
ethereum,0x0ba0715cb1ef43504a8a82593a3a708c3b436a05,EXACT00050,FAM00041,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0ba0715cb1ef43504a8a82593a3a708c3b436a05.json,UNAVAILABLE
ethereum,0x0bb0599bec7ecaf592076672908e00d87a988934,EXACT00051,FAM00042,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0bb0599bec7ecaf592076672908e00d87a988934.json,UNAVAILABLE
ethereum,0x0be91e7ba24da3a9573e6991d1c9e8604363adcb,EXACT00052,FAM00043,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0be91e7ba24da3a9573e6991d1c9e8604363adcb.json,UNAVAILABLE
ethereum,0x0c60d7d7645e106c0293c99a77ad7dea9043ef73,EXACT00053,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0c60d7d7645e106c0293c99a77ad7dea9043ef73.json,UNAVAILABLE
ethereum,0x0c762fa05d775603c9bc4aed9824d746e4d9a5b0,EXACT00054,FAM00044,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0c762fa05d775603c9bc4aed9824d746e4d9a5b0.json,UNAVAILABLE
