chain,address,exact_bytecode_id,bytecode_family_id,evidence_path,verified_source_status
ethereum,0x00000000383e8cbe298514674ea60ee1d1de50ac,EXACT00001,FAM00001,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x00000000383e8cbe298514674ea60ee1d1de50ac.json,UNAVAILABLE
ethereum,0x000000005c84f8fd50b21cac312528a64437030e,EXACT00002,FAM00002,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x000000005c84f8fd50b21cac312528a64437030e.json,UNAVAILABLE
ethereum,0x000000009b1d0af20d8c6d0a44e162d11f9b8f00,EXACT00003,FAM00003,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x000000009b1d0af20d8c6d0a44e162d11f9b8f00.json,VERIFIED
ethereum,0x0000fb7702036ff9f76044a501ac1aa74cbab16b,EXACT00004,FAM00004,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x0000fb7702036ff9f76044a501ac1aa74cbab16b.json,VERIFIED
ethereum,0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9,EXACT00005,FAM00005,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9.json,UNAVAILABLE
ethereum,0x03a46a241aa7073552652032aba85be46f647795,EXACT00006,FAM00006,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x03a46a241aa7073552652032aba85be46f647795.json,UNAVAILABLE
ethereum,0x057c92bd351f01573d6ca9dfe23035f1b7aa9147,EXACT00007,FAM00007,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x057c92bd351f01573d6ca9dfe23035f1b7aa9147.json,VERIFIED
ethereum,0x05ae73c5925d843864ae6f261f3175de2ebcd963,EXACT00008,FAM00008,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x05ae73c5925d843864ae6f261f3175de2ebcd963.json,UNAVAILABLE
ethereum,0x09b7496152fe1136ecfdc60d79d40f56837fecf8,EXACT00009,FAM00009,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x09b7496152fe1136ecfdc60d79d40f56837fecf8.json,UNAVAILABLE
ethereum,0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f,EXACT00010,FAM00010,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f.json,UNAVAILABLE
ethereum,0x0e04736a85433445ef602d07946671685ec94647,EXACT00011,FAM00011,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x0e04736a85433445ef602d07946671685ec94647.json,UNAVAILABLE
ethereum,0x144ad9513c77bd80ab6e6028f87777d848307b83,EXACT00012,FAM00012,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x144ad9513c77bd80ab6e6028f87777d848307b83.json,UNAVAILABLE
ethereum,0x215142fefa83fc7909e9702dc0a76727aa040750,EXACT00013,FAM00013,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x215142fefa83fc7909e9702dc0a76727aa040750.json,VERIFIED
ethereum,0x217c037a79bc3a46f6bde8fd62bf5745afa1282b,EXACT00014,FAM00014,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x217c037a79bc3a46f6bde8fd62bf5745afa1282b.json,UNAVAILABLE
ethereum,0x252fe07aff7bf7f39704a615b1b347827e90db7f,EXACT00015,FAM00015,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x252fe07aff7bf7f39704a615b1b347827e90db7f.json,UNAVAILABLE
ethereum,0x27bfd156c8c0df64e6a863c589dc9593ddac3ee2,EXACT00016,FAM00016,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x27bfd156c8c0df64e6a863c589dc9593ddac3ee2.json,UNAVAILABLE
ethereum,0x27dbd0e71b85700e29994d6d3a51f2e32442aa61,EXACT00017,FAM00017,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x27dbd0e71b85700e29994d6d3a51f2e32442aa61.json,UNAVAILABLE
ethereum,0x2c6f01799fa9db1e7f2797e5ba892b72b865571d,EXACT00018,FAM00018,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x2c6f01799fa9db1e7f2797e5ba892b72b865571d.json,UNAVAILABLE
ethereum,0x313ada1527318a5af4626ed9c841d7372ea6119a,EXACT00019,FAM00019,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x313ada1527318a5af4626ed9c841d7372ea6119a.json,UNAVAILABLE
ethereum,0x34fff33dc9c0ead473a1878923b3858d8ed04dfb,EXACT00020,FAM00020,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x34fff33dc9c0ead473a1878923b3858d8ed04dfb.json,UNAVAILABLE
ethereum,0x39165d069fb2ad145cafa7c4bf710f4566aa5218,EXACT00021,FAM00021,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x39165d069fb2ad145cafa7c4bf710f4566aa5218.json,UNAVAILABLE
ethereum,0x3cf32d4d57e91e0a1c3658884040889dafbe5103,EXACT00022,FAM00022,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x3cf32d4d57e91e0a1c3658884040889dafbe5103.json,VERIFIED
ethereum,0x3e515544f8d8293b0a353e10ff3b7ca03b52f35b,EXACT00023,FAM00023,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x3e515544f8d8293b0a353e10ff3b7ca03b52f35b.json,VERIFIED
ethereum,0x438f67c2aa7ff150352295dcb190c19fb6672ad5,EXACT00024,FAM00024,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x438f67c2aa7ff150352295dcb190c19fb6672ad5.json,VERIFIED
ethereum,0x47e747f5e8cb5819c966292dd969d989ae9dea5e,EXACT00025,FAM00025,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x47e747f5e8cb5819c966292dd969d989ae9dea5e.json,UNAVAILABLE
ethereum,0x4884d28f048e66a537762334937e01a044cbdfac,EXACT00026,FAM00026,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x4884d28f048e66a537762334937e01a044cbdfac.json,UNAVAILABLE
ethereum,0x490aac77c960b0569c8e446ac7e12490bd44ca1d,EXACT00027,FAM00027,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x490aac77c960b0569c8e446ac7e12490bd44ca1d.json,UNAVAILABLE
ethereum,0x4ba78e2deed03706fd8b19c4c1c4eddc5b338a14,EXACT00028,FAM00028,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x4ba78e2deed03706fd8b19c4c1c4eddc5b338a14.json,UNAVAILABLE
ethereum,0x4bf152a41869b2dd66fd9eb6ee250762f3e01671,EXACT00029,FAM00029,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x4bf152a41869b2dd66fd9eb6ee250762f3e01671.json,UNAVAILABLE
ethereum,0x4eff4d390d89b2195fe3cb63b06731ae584a1375,EXACT00030,FAM00030,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x4eff4d390d89b2195fe3cb63b06731ae584a1375.json,UNAVAILABLE
ethereum,0x535023ed14a1862444ec29d0fe07cf3092c73bc2,EXACT00031,FAM00031,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x535023ed14a1862444ec29d0fe07cf3092c73bc2.json,UNAVAILABLE
ethereum,0x545940f521452b4138b360ad55e28667ea07a8bf,EXACT00032,FAM00032,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x545940f521452b4138b360ad55e28667ea07a8bf.json,UNAVAILABLE
ethereum,0x563f842256263621947cad4deb105e0eaf2deee3,EXACT00033,FAM00033,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x563f842256263621947cad4deb105e0eaf2deee3.json,UNAVAILABLE
ethereum,0x58e02510ae94eff8e555aad51b2440b2527f9cea,EXACT00034,FAM00034,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x58e02510ae94eff8e555aad51b2440b2527f9cea.json,UNAVAILABLE
ethereum,0x5fda61f6fb45b73a87b9bccb69f56475e3455567,EXACT00035,FAM00035,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x5fda61f6fb45b73a87b9bccb69f56475e3455567.json,UNAVAILABLE
ethereum,0x60f1e45497ea06fce6770be67396acfca9bd8512,EXACT00036,FAM00036,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x60f1e45497ea06fce6770be67396acfca9bd8512.json,UNAVAILABLE
ethereum,0x612373d7003d694220f7800eeaf8e3924c0951d3,EXACT00037,FAM00003,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x612373d7003d694220f7800eeaf8e3924c0951d3.json,UNAVAILABLE
ethereum,0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,EXACT00038,FAM00037,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x63c0c19a282a1b52b07dd5a65b58948a07dae32b.json,VERIFIED
ethereum,0x69007702764179f14f51cdce752f4f775d74e139,EXACT00039,FAM00038,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x69007702764179f14f51cdce752f4f775d74e139.json,VERIFIED
ethereum,0x69e6bd1c4082403fc7917a61f6216552fc1a541d,EXACT00040,FAM00039,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x69e6bd1c4082403fc7917a61f6216552fc1a541d.json,UNAVAILABLE
ethereum,0x6cb8370f4883822965c5c6565df5adca990d7aa3,EXACT00041,FAM00040,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x6cb8370f4883822965c5c6565df5adca990d7aa3.json,UNAVAILABLE
ethereum,0x758aa86b0cf3db98105dec5522a799ad4d800942,EXACT00042,FAM00041,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x758aa86b0cf3db98105dec5522a799ad4d800942.json,VERIFIED
ethereum,0x765bb67215871759d0e54cef5796bb79c48ce2e9,EXACT00043,FAM00042,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x765bb67215871759d0e54cef5796bb79c48ce2e9.json,UNAVAILABLE
ethereum,0x7702cb554e6bfb442cb743a7df23154544a7176c,EXACT00044,FAM00043,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x7702cb554e6bfb442cb743a7df23154544a7176c.json,UNAVAILABLE
ethereum,0x7785a22facd31db653ba4928f1d5b81d093f0b2f,EXACT00045,FAM00044,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x7785a22facd31db653ba4928f1d5b81d093f0b2f.json,VERIFIED
ethereum,0x7c27e3aecbf42879b64d76f604dc3430f4886462,EXACT00046,FAM00045,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x7c27e3aecbf42879b64d76f604dc3430f4886462.json,VERIFIED
