unit_key,model,seed,fold,epoch,train_loss,val_AUPRC
authguard_msp_16384:7704:2,authguard_msp_16384,7704,2,5,0.05743888337623723,0.9111606933761995
authguard_msp_16384:7704:2,authguard_msp_16384,7704,2,6,0.05067571560520622,0.9682907846371411
authguard_msp_16384:7704:2,authguard_msp_16384,7704,2,7,0.0396579172717104,0.9380729235134049
authguard_msp_16384:7704:2,authguard_msp_16384,7704,2,8,0.05568719167548063,0.9556848496605073
authguard_msp_16384:7704:2,authguard_msp_16384,7704,2,9,0.03963174171367427,0.9492565542103548
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,1,0.6828333987431092,0.7791446964021459
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,2,0.2975236631280771,0.9386323257981679
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,3,0.1565240680423537,0.9466575821168536
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,4,0.0902695781262027,0.93645671353493
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,5,0.07668519012407739,0.9497640568404189
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,6,0.055856491184165476,0.9361104373393562
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,7,0.03797306007569811,0.9446898639511694
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,8,0.03356191144092449,0.9433263926925782
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,9,0.024583733363176704,0.9420266837525065
authguard_msp_16384:7702:3,authguard_msp_16384,7702,3,10,0.03053359269853734,0.9404781006014474
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,1,0.6145674338394945,0.9187450562502657
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,2,0.22295260702852499,0.9410195856069911
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,3,0.11895430716121513,0.9291189584279718
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,4,0.09379656845033452,0.9625327862057149
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,5,0.06465775940927085,0.9630727656335273
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,6,0.0492764615623993,0.9522445724001967
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,7,0.02841879239153279,0.9585913531465808
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,8,0.03401737115389992,0.9685249229193911
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,9,0.034826920473366926,0.9687840798957281
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,10,0.029845906278338094,0.9547961784369835
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,11,0.02391628797728896,0.960057298439427
authguard_msp_16384:7703:3,authguard_msp_16384,7703,3,12,0.015798433421040307,0.9519878136721805
