unit_key,model,seed,fold,condition,token_budget,best_val_AUPRC,temperature,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
authguard_msp_16384:7702:1,authguard_msp_16384,7702,1,M0,16384,0.9655229645530283,2.0105888843536377,0.9644950991433658,0.5112001004269291,0.14392422324553047,0.942706919823972,0.977054794520548,0.0477763131834596,0.3013698630136986,0.006666666666666667,0.9246575342465754,0.07333333333333333,0.9657534246575342,0.11666666666666667
authguard_msp_16384:7702:1,authguard_msp_16384,7702,1,F200,16384,0.9655229645530283,2.0105888843536377,0.9644950991433658,0.5112001004269291,0.14392422324553047,0.8832130232930879,0.9536986301369863,0.08021290548118189,0.0547945205479452,0.0033333333333333335,0.7465753424657534,0.043333333333333335,0.952054794520548,0.15
authguard_msp_16384:7703:1,authguard_msp_16384,7703,1,M0,16384,0.9240484565271084,1.3954426050186157,0.971718070392807,0.621634818287973,0.19441068837268471,0.9453684645429273,0.9736073059360729,0.05889029082668409,0.4178082191780822,0.006666666666666667,0.8972602739726028,0.06333333333333334,0.9931506849315068,0.14333333333333334
authguard_msp_16384:7703:1,authguard_msp_16384,7703,1,F200,16384,0.9240484565271084,1.3954426050186157,0.971718070392807,0.621634818287973,0.19441068837268471,0.7512086252225436,0.8630593607305936,0.17118459806818312,0.06164383561643835,0.0033333333333333335,0.410958904109589,0.043333333333333335,0.5684931506849316,0.11
authguard_msp_16384:7704:1,authguard_msp_16384,7704,1,M0,16384,0.9511753012354427,1.9768924713134766,0.9060547681133009,0.21935361347802815,0.047620833505810964,0.9285351174383127,0.9708904109589042,0.05833828256744985,0.2808219178082192,0.013333333333333334,0.9246575342465754,0.07333333333333333,0.9657534246575342,0.13666666666666666
authguard_msp_16384:7704:1,authguard_msp_16384,7704,1,F200,16384,0.9511753012354427,1.9768924713134766,0.9060547681133009,0.21935361347802815,0.047620833505810964,0.862585261696625,0.938310502283105,0.11116716372228629,0.04794520547945205,0.0,0.8013698630136986,0.08333333333333333,0.9383561643835616,0.20666666666666667
authguard_msp_16384:7702:2,authguard_msp_16384,7702,2,M0,16384,0.9808524799257996,0.8734740614891052,0.6712182273159326,0.14243653733607492,0.09401232854806255,0.935218712257617,0.9786744925409636,0.04283904577777558,0.9724137931034482,0.05319148936170213,0.9793103448275862,0.09574468085106383,0.9793103448275862,0.10283687943262411
authguard_msp_16384:7702:2,authguard_msp_16384,7702,2,F200,16384,0.9808524799257996,0.8734740614891052,0.6712182273159326,0.14243653733607492,0.09401232854806255,0.9011982623929876,0.9536561506480802,0.08568922795278192,0.7793103448275862,0.05319148936170213,0.8689655172413793,0.08865248226950355,0.896551724137931,0.11347517730496454
authguard_msp_16384:7703:2,authguard_msp_16384,7703,2,M0,16384,0.9731813029619213,1.1410890817642212,0.8594096421173548,0.7820642828778127,0.6864198615474574,0.9477224051314688,0.9795549033993641,0.06559015551263173,0.9586206896551724,0.03546099290780142,0.9724137931034482,0.0673758865248227,0.9724137931034482,0.09219858156028368
authguard_msp_16384:7703:2,authguard_msp_16384,7703,2,F200,16384,0.9731813029619213,1.1410890817642212,0.8594096421173548,0.7820642828778127,0.6864198615474574,0.9076094926112065,0.9627048178038642,0.08233208058550422,0.8068965517241379,0.05673758865248227,0.8827586206896552,0.06028368794326241,0.9241379310344827,0.09219858156028368
