chain,from,ca_address
gnosis,0xd3948439c7709f44d005b71e4b07b941c87bdea1,0x745fa1f9bc2be2da4ac2583a7ef3970a50b15d51
gnosis,0xd3948439c7709f44d005b71e4b07b941c87bdea1,0x35cfa32ae8519ebff08c463b92db5328396a2025
gnosis,0x8b4ea4f8a25ed1b7b18044bb1a2bec9425603572,0x907fca8fe146b02774cac58deffaf2e1e7d48ac4
gnosis,0xd3948439c7709f44d005b71e4b07b941c87bdea1,0x0a553657ad507010d3ff515a4162e9993b7ccbeb
gnosis,0xb2626fc1e3c4e17399ea5b8477150757ffbe71a3,0x5d4bc0637d7246a5c61032d0e9dbf70ed63cb2ea
gnosis,0xb79231d4d83f03d3a1a49848b3fca0429e4a3b93,0x3f873015528da679bf41a939074851e2c9d65c4f
gnosis,0xb2626fc1e3c4e17399ea5b8477150757ffbe71a3,0x98f086013854144c61c5e776f12fd5437ee5519b
gnosis,0x60256154ce536b5379826d72cf5110ec29d190ff,0xaf7a472f8833458e25e8dbd6f58f69451cb3eef0
gnosis,0xd3948439c7709f44d005b71e4b07b941c87bdea1,0x9bd5722d3118ae6151ffb3e59f0c3fb92ca0d39f
gnosis,0xd3948439c7709f44d005b71e4b07b941c87bdea1,0xe0894d92a92ef5eb1126d05a54fc74e1cbf01236
ethereum,0xea459dde8dd4e1b28324ff1a1dcffedfec596db0,0x7570bea6c6e329d2bea197c74c06f055d615e671
ethereum,0xdc8f3744804d44a367d94ff6accbe8cd4c5a8535,0x1654caaca4ab1bd7c84a62eb713d226662190002
ethereum,0xdc8f3744804d44a367d94ff6accbe8cd4c5a8535,0x73c3553cf99de17b9fc6f8ec83d092e3b489b098
ethereum,0x000085bad5b016e5448a530cb3d4840d2cfd15bc,0x1f07336d35c9a70ed086f6aa3c4c0bd1266e6f63
ethereum,0x405139005bdd96c270d98a52e2b429b9f971ca25,0xd24a9bacfb6c73fa9aa379b1b6b681724685ccef
ethereum,0xdc8f3744804d44a367d94ff6accbe8cd4c5a8535,0xc271d8cefdd51a02054217a4442cc10960723879
ethereum,0xea459dde8dd4e1b28324ff1a1dcffedfec596db0,0xe74a93b368c2d14879be6bccc7eadafc150a2732
ethereum,0xbe73ff07d6123a1f5110a16a11f95c21ce565827,0x82afce297189b8eabc0786f5d9c21c762bcb8216
ethereum,0xdc8f3744804d44a367d94ff6accbe8cd4c5a8535,0x7fbeb059aa52a2618d78bea937fb5497c774c057
ethereum,0xec4c1ad2696df7ee8a7af4e56891793f3b47bd55,0x3986833e6cf96b2579108ff1d5364b451d99932b
ethereum,0xea459dde8dd4e1b28324ff1a1dcffedfec596db0,0xe385dc155db1e888bc3cae7f1c87b86c5416f300
ethereum,0xdc8f3744804d44a367d94ff6accbe8cd4c5a8535,0x63febfcbe6efe2843a6c87566fa82602b38aaada
ethereum,0xdc8f3744804d44a367d94ff6accbe8cd4c5a8535,0x1c8ef3d487cf7278cb2ccfc1e339b055cd5291ea
ethereum,0xdc8f3744804d44a367d94ff6accbe8cd4c5a8535,0x7e35895acbf8734a5c47f5d27020d0fbe9e865d4
ethereum,0xec4c1ad2696df7ee8a7af4e56891793f3b47bd55,0x31ef093c73cc5e0c5a739f91013dc314c7406b3e
ethereum,0x8ce71d3759b63e323e7d850c30ff6b7514880f5c,0xda1978401ba2c0fddde5df5b3c10fb24a1bbf44b
ethereum,0x42bd4dc1df5e7efa9ba299de82c450ff7acafee7,0x5c17a2f6331fe660d3539897e327907ffd76e9dc
ethereum,0x405139005bdd96c270d98a52e2b429b9f971ca25,0x7a663c7ebe37f9c31e63d2826b155cde19ec753b
ethereum,0xa2f2b25483da565184234eda081ea8c01b74fb22,0x4101ce5e18e30a4029e9b4bc3d96eb3f5dc89efe
ethereum,0x8ce71d3759b63e323e7d850c30ff6b7514880f5c,0x2380e6cc8724360ee4e0b6416353b3c30b1d0b41
ethereum,0xefd202c0399a9e42b3a8593133c0e6b1fd3e5f23,0xdc03f626f0719241be6a325102c8f1a0d8a756b4
ethereum,0xdc8f3744804d44a367d94ff6accbe8cd4c5a8535,0xbba8023ef8beb4439ffcf97765e01a84ac5abd5f
ethereum,0x42bd4dc1df5e7efa9ba299de82c450ff7acafee7,0xc217caebd19dbfcaca5747ca7fb7ac73d2a6b481
ethereum,0x405139005bdd96c270d98a52e2b429b9f971ca25,0x825f3d2ed64e49fc0ab59f647aaab3f26a927c0c
ethereum,0xefd202c0399a9e42b3a8593133c0e6b1fd3e5f23,0x6fcd6af92b99d50ec7d81905192e7faacd577233
ethereum,0xdc8f3744804d44a367d94ff6accbe8cd4c5a8535,0xf632f40b3e0df3c1b104c14639ef42326b224efa
ethereum,0x8ce71d3759b63e323e7d850c30ff6b7514880f5c,0xdc84d352354dc18b43ed2f172ff5bd55c9205088
ethereum,0x8ce71d3759b63e323e7d850c30ff6b7514880f5c,0x716e87bb0a48ceed408c5b629769d0dd3cc0bd63
ethereum,0x405139005bdd96c270d98a52e2b429b9f971ca25,0x88f7474b2c72479910495362f979de3b4cbcfbb4
ethereum,0xdc8f3744804d44a367d94ff6accbe8cd4c5a8535,0xb1541b5e1a2ce5dacad595fb9317ddb6f00a0f08
ethereum,0x7b62d52ed15c3ae1b570aa2c8703a0889e0d2104,0xcfa266ba068949897ff191ddebd997e0aa9b5f92
ethereum,0x42bd4dc1df5e7efa9ba299de82c450ff7acafee7,0xd841a824a12b5dd9fcbe876b988c90714347daf3
