0x0	0xc
0xf	0x19
0x19	0x6af
0x199B0x2d	0x1a8B0x2d
0x145B0x152B0x1b0B0x2d	0x14cB0x152B0x1b0B0x2d
0x145B0x152B0x1bdB0x2d	0x14cB0x152B0x1bdB0x2d
0x178B0x185B0x1ceB0x2d	0x17fB0x185B0x1ceB0x2d
0x84B0x42	0x99B0x42
0xc4B0x42	0xc9B0x42
0x263B0xa0B0x42	0x270B0xa0B0x42
0x242B0x24fB0x278B0xa0B0x42	0x249B0x24fB0x278B0xa0B0x42
