0x8	0xf
0x2e	0x47
0x39	0x42
0x6ab	0x6af
0x6ad	0x6b2
0x1abV0x2d	0x684B0x2d
0x1a4V0x2d	0x1b0B0x2d
0x1b2V0x2d	0x1bdB0x2d
0x1c3V0x2d	0x1ceB0x2d
0x1d4V0x2d	0x1dfB0x2d
0x158V0x1b0V0x2d	0x160B0x1b0B0x2d
0x148V0x152V0x1b0V0x2d	0x14fB0x152B0x1b0B0x2d
0x13dV0x152V0x1b0V0x2d	0x145B0x152B0x1b0B0x2d
0x12dV0x13cV0x152V0x1b0V0x2d	0x135B0x13cB0x152B0x1b0B0x2d
0x131V0x13cV0x152V0x1b0V0x2d	0x10cB0x13cB0x152B0x1b0B0x2d
0x158V0x1bdV0x2d	0x160B0x1bdB0x2d
0x148V0x152V0x1bdV0x2d	0x14fB0x152B0x1bdB0x2d
0x13dV0x152V0x1bdV0x2d	0x145B0x152B0x1bdB0x2d
0x12dV0x13cV0x152V0x1bdV0x2d	0x135B0x13cB0x152B0x1bdB0x2d
0x131V0x13cV0x152V0x1bdV0x2d	0x10cB0x13cB0x152B0x1bdB0x2d
0x18bV0x1ceV0x2d	0x193B0x1ceB0x2d
0x17bV0x185V0x1ceV0x2d	0x182B0x185B0x1ceB0x2d
0x170V0x185V0x1ceV0x2d	0x178B0x185B0x1ceB0x2d
0xf2V0x42	0xfaB0x42
0x7aV0x42	0x84B0x42
0x95V0x42	0xa0B0x42
0xbbV0x42	0xc4B0x42
0xc5V0x42	0x103B0x42
0x2f7V0xc9V0x42	0x2ffB0xc9B0x42
0x2fbV0xc9V0x42	0x2c6B0xc9B0x42
0x2d5V0xc9V0x42	0x2ddB0xc9B0x42
0x2d9V0xc9V0x42	0x29eB0xc9B0x42
0x2c8V0xc9V0x42	0x2d2B0xc9B0x42
0x2ceV0xc9V0x42	0x28eB0xc9B0x42
0x20fV0x49V0x42	0x21aB0x49B0x42
0x216V0x49V0x42	0x1e9B0x49B0x42
0x21bV0x49V0x42	0x227B0x49B0x42
0x223V0x49V0x42	0x1f8B0x49B0x42
0x1eaV0x49V0x42	0x1f2B0x49B0x42
0x1f9V0x49V0x42	0x201B0x49B0x42
0x12dV0x1e9V0x49V0x42	0x135B0x1e9B0x49B0x42
0x131V0x1e9V0x49V0x42	0x10cB0x1e9B0x49B0x42
0x273V0xa0V0x42	0x6a7B0xa0B0x42
0x26cV0xa0V0x42	0x278B0xa0B0x42
0x27aV0xa0V0x42	0x285B0xa0B0x42
0x255V0x278V0xa0V0x42	0x25dB0x278B0xa0B0x42
0x245V0x24fV0x278V0xa0V0x42	0x24cB0x24fB0x278B0xa0B0x42
0x23aV0x24fV0x278V0xa0V0x42	0x242B0x24fB0x278B0xa0B0x42
0x23eV0x24fV0x278V0xa0V0x42	0x22eB0x24fB0x278B0xa0B0x42
