key,threshold
opcode_rf|7702|0,0.35
opcode_rf|7703|0,0.30666666666666664
opcode_rf|7704|0,0.3233333333333333
opcode_rf|7705|0,0.3358080808080808
opcode_rf|7706|0,0.35133333333333333
opcode_xgb|7702|0,0.06924466788768768
opcode_xgb|7703|0,0.1195661798119545
opcode_xgb|7704|0,0.2452501505613327
opcode_xgb|7705|0,0.09584319591522217
opcode_xgb|7706|0,0.15284667909145355
selector_model|7702|0,0.1826552450656891
authguard|7702|0,0.16659262776374817
authguard|7703|0,0.18032552301883698
authguard|7704|0,0.18627138435840607
authguard|7705|0,0.1347598433494568
authguard|7706|0,0.14674213528633118
opcode_rf|7702|1,0.36
opcode_rf|7703|1,0.25666666666666665
opcode_rf|7704|1,0.29333333333333333
opcode_rf|7705|1,0.2966666666666667
opcode_rf|7706|1,0.26
opcode_xgb|7702|1,0.10578055679798126
opcode_xgb|7703|1,0.275362491607666
opcode_xgb|7704|1,0.13064593076705933
opcode_xgb|7705|1,0.1454668790102005
opcode_xgb|7706|1,0.10656677186489105
selector_model|7702|1,0.06307937204837799
authguard|7702|1,0.21008457243442535
authguard|7703|1,0.1865081787109375
authguard|7704|1,0.09530558437108994
authguard|7705|1,0.39069485664367676
authguard|7706|1,0.1611775904893875
opcode_rf|7702|2,0.29
opcode_rf|7703|2,0.33107609710550884
opcode_rf|7704|2,0.26666666666666666
opcode_rf|7705|2,0.2638888888888889
opcode_rf|7706|2,0.2396296296296296
opcode_xgb|7702|2,0.08918224275112152
opcode_xgb|7703|2,0.17666518688201904
opcode_xgb|7704|2,0.09736082702875137
opcode_xgb|7705|2,0.09156518429517746
opcode_xgb|7706|2,0.3066044747829437
selector_model|7702|2,0.1462027132511139
authguard|7702|2,0.059290118515491486
authguard|7703|2,0.12293257564306259
authguard|7704|2,0.08176881074905396
authguard|7705|2,0.25755488872528076
authguard|7706|2,0.18521344661712646
opcode_rf|7702|3,0.3261904761904762
opcode_rf|7703|3,0.36
opcode_rf|7704|3,0.29446428571428573
opcode_rf|7705|3,0.30333333333333334
opcode_rf|7706|3,0.33952380952380956
opcode_xgb|7702|3,0.07451548427343369
opcode_xgb|7703|3,0.2823019325733185
opcode_xgb|7704|3,0.15450149774551392
opcode_xgb|7705|3,0.20469343662261963
opcode_xgb|7706|3,0.06448636949062347
selector_model|7702|3,0.1718846559524536
authguard|7702|3,0.10324213653802872
authguard|7703|3,0.1427261233329773
authguard|7704|3,0.3075597286224365
authguard|7705|3,0.0818885788321495
authguard|7706|3,0.18476185202598572
opcode_rf|7702|4,0.25666666666666665
opcode_rf|7703|4,0.27
opcode_rf|7704|4,0.24666666666666667
opcode_rf|7705|4,0.2692307692307692
opcode_rf|7706|4,0.35333333333333333
opcode_xgb|7702|4,0.08612153679132462
opcode_xgb|7703|4,0.17024710774421692
opcode_xgb|7704|4,0.09772589057683945
opcode_xgb|7705|4,0.44746115803718567
opcode_xgb|7706|4,0.17750921845436096
selector_model|7702|4,0.22107386589050293
authguard|7702|4,0.0451820082962513
authguard|7703|4,0.23341462016105652
authguard|7704|4,0.27911102771759033
authguard|7705|4,0.1054290160536766
authguard|7706|4,0.18267783522605896
