0x0	__function_selector__
0x87	onERC1155Received(address,address,uint256,uint256,bytes)
0x117	getNonce()
0x1ea	onERC1155BatchReceived(address,address,uint256[],uint256[],bytes)
0x2b8	execute(address,uint256,bytes)
0x36b	entryPoint()
0x3b7	0x34fcd5be
0x565	0x19822f7c
0x6f5	isValidSignature(bytes32,bytes)
0x7e4	onERC721Received(address,address,uint256,bytes)
0x870	supportsInterface(bytes4)
0x9bf	0x9bf
0x9e2	0x9e2
0xa05	0xa05
0xa73	0xa73
0xaad	0xaad
0xae3	0xae3
0xb01	0xb01
0xb69	0xb69
0xbba	0xbba
0xc46	0xc46
0xc60	0xc60
0xc9a	0xc9a
