0x0	__function_selector__
0x8a	0x0921e7ef
0xa9	getCurrentBlockTimestamp()
0xca	0x174dea71
0xea	getBlockNumber()
0xfc	getEthBalance(address)
0x123	0x8961ec50
0x137	getCurrentBlockCoinbase()
0x151	0x151
0x1fb	0x1fb
0x330	0x330
0x579	0x579
0x583	0x583
0x59e	0x59e
0x640	0x640
0x6db	0x6db
0x712	0x712
0x777	0x777
0x2295	0xeeeeeeee
