sample_id,family_id,fold,true_label,model,condition,mutation_seed,raw_score,threshold,predicted_label
optimism:0x24592cb8b7ec813a5eaeb73e5503322d2b93a878,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0xef0852258381dfbf20144ed38899d489935fa038,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x22f0db4f3292807d919497802d951e30aa281f4f,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0xbd8aac1ab758af1bfe61c3ae2f94e792b5134fed,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x480ac71ed6be1b8d7ae18d323e42a16384918e91,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x06839a2e8541f56ac5e9e42656ff6c534ad2558c,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x5bb4e04d6732c665ca924e6830b32731229fff6f,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x824aa93717c8d4d9cb1e213a9c02c726b947f774,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x0d69833bdd2ee5d545b950a85fcb1db9ed2b7572,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x20dd86b35eedce9159808218a57f8f622849c635,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0xd24371bbe7c248597705b5b6ac753025dc2d2619,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x281f3e79775f61cccfc7b7c3eacdc4f15a7f3252,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x043661a263719880069c2adb5bf625eb4b7b5db7,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0xaa6491c5071d91e4fc398d512ba5f78f62e2b100,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0xb6252af4c3561714c187aa1c0a7b1f0ec2e70053,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x761dc36a52733214423d04f4dcd84083e15d3735,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x653c2018585b155586026d383044cb6683fc2ae4,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x916a0b8fdc003c43213b7abc50fcb85a17ce6a6b,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x3a1605d52b511aaa3860e56e1dd3bacdaf6868f9,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0xeaa6aa358ee796dbc038b9424301eebb8e0570b8,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x036be4f87fc09257284d44ff095a19e192903cb2,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0xf2534d433a6ad5089e8d907f035bafd5925bdcbc,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0xd5771d92854f5298b33ccd73178c9ff8b88bd14f,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x23c3a46086bfaa35b4514edf65a04bb7f459228d,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x470a618326df6e320680642dd31794b0d2d12d0a,F00004,0,1,opcode-histogram RF,M0,none,0.26666666666666666,0.29,0
optimism:0x23c667184099f7c7d895cae4c6c4c571901297a8,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x9307637c1708c1cec79a5e96f4beea7d363f6ca0,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0xb7fef9033507eee348d59102b6856c66051b8040,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x93d473ce2ceb00af7489694511ca778deb83ef88,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0xbdb6d1f0e52cf92e3037787149dd7b0cea20e035,F00027,0,1,opcode-histogram RF,M0,none,0.3,0.29,1
optimism:0xd4661f44e3738d26eb1b7965f1e8ee4edd3d2a5d,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x073addd815abe9e72e8da16d4ec1b970f303cd86,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x21b65e7473e8afdb6396e9c52535521a4c6235d8,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
optimism:0x100bfe501da42fec877ba424b95265ca66eb9b07,F00004,0,1,opcode-histogram RF,M0,none,0.29333333333333333,0.29,1
