original_index,chain,address,class,family_id,designator_target_address,row_represents,target_runtime_in_repository,repository_target_row_count,repository_runtime_row_count,target_runtime_appears_elsewhere_in_dataset,target_runtime_elsewhere_row_count,target_runtime_elsewhere_families,read_only_rpc_status,read_only_rpc_kind,runtime_recovery_source,recovered_runtime_sha256,recovered_runtime_bytes,task_alignment_decision
2506,ethereum,0x77fe1851f5ebad6e5c3d696f120ca7ce01144cca,benign_cleared,F00801,0x63c0c19a282a1b52b07dd5a65b58948a07dae32b,delegating_account,True,2,2,True,2,F00215,ok,runtime,repository_dataset_target_row,bc5db2983acf061b9a26833536d0e4a2f1737f8e7dd4eee17ccea85405c72d05,11185,exclude_recovered_cross_family_exact_duplicate
2531,ethereum,0xb9df4a9ba45917e71d664d51462d46926e4798e7,benign_cleared,F01056,0x000000009b1d0af20d8c6d0a44e162d11f9b8f00,delegating_account,True,1,1,True,4,F00669,ok,runtime,repository_dataset_target_row,f9cc43efa9ef3083fb62d593fbb1895099f67d805a54a712d57df529d429fbaf,16382,exclude_recovered_cross_family_exact_duplicate
2551,ethereum,0xf600cdb64ae3cdd7e502e2905ca209b8bafa0767,benign_cleared,F00941,0xff26b51fb5a6420453f362e26dc5e3d5adbfa208,delegating_account,True,1,1,True,1,F00041,ok,runtime,repository_dataset_target_row,04f964d90210d8d58b33d42a50c6c4209eb62380d47d4ca2fbb3e99aa1946d76,4643,exclude_recovered_cross_family_exact_duplicate
2558,ethereum,0x794d45afe868f06b5a26ab6d45f3a4c216c7762b,benign_cleared,F00868,0x794d45afe868f06b5a26ab6d45f3a4c216c7762b,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2630,ethereum,0xf9f53ebb2c3a61ebf39777105e58a2a9b519ade1,benign_cleared,F01095,0x52999d62f0f63979634abf0ba3c0b2629515e91d,delegating_account,True,1,1,True,1,F00991,ok,runtime,repository_dataset_target_row,3166e173368adcbb0c1ac48001a9b17fcf150ab7c16891a5942532226c90a0d7,1593,exclude_recovered_cross_family_exact_duplicate
2685,ethereum,0x4de23f3f0fb3318287378adbde030cf61714b2f3,benign_cleared,F01115,0x0e04736a85433445ef602d07946671685ec94647,delegating_account,True,1,1,True,2,F00720,ok,runtime,repository_dataset_target_row,faa733b040495cc8ebd4af31f31be13f34a0f9a7687b3fa200c08635ba963788,717,exclude_recovered_cross_family_exact_duplicate
2716,ethereum,0xba1c93f0dc2c79ea10d8e31a37af4eb84f36bb0a,benign_cleared,F01123,0x577667e200d0ff51df790446de9b3f078c322726,delegating_account,True,1,1,True,1,F00003,ok,runtime,repository_dataset_target_row,542fd7182bc7c1ec853198737a99294479e15a1c2b85a5b3708edca06077cda8,1448,exclude_recovered_cross_family_exact_duplicate
2723,bnb,0x939957078ff7165c6e054ac4e9b26754ef6ef0ec,benign_cleared,F01126,0x09b917c2ed6efa27a4b6395d72c584b9ce355a40,delegating_account,True,1,1,True,1,F00205,ok,runtime,repository_dataset_target_row,47676653f901052d9302b17760644bd2272a2d2f8e62870a77b1f31c18ed64c6,5230,exclude_recovered_cross_family_exact_duplicate
2735,bnb,0x5e2a9160ac40217415ed7c36092bfa25ca887c70,benign_cleared,F01134,0x5e2a9160ac40217415ed7c36092bfa25ca887c70,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2738,bnb,0x688acb66c954f339e95d2995fc95957a2e6e94be,benign_cleared,F01136,0x688acb66c954f339e95d2995fc95957a2e6e94be,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2740,bnb,0x3adcf870a4502a982f99345cdbf68ab8ed1a7009,benign_cleared,F01138,0x3adcf870a4502a982f99345cdbf68ab8ed1a7009,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
2750,bnb,0x1654ba1e74fd14eb05d9c714b01d7404f60f7c94,benign_cleared,F01143,0x1654ba1e74fd14eb05d9c714b01d7404f60f7c94,delegating_account_self_target,False,1,0,False,0,,ok,designator,none,,0,exclude_unresolved_no_verified_runtime
