0x19a	0x1e5
0x2d4	0x33a
0x33d	0x3be
0x3c3	0x486
0x48b	0x49a
0x4a3	0x564
0x570	0x5ef
0x66c	0x677
0x67e	0x692
0x695	0x6a4
0x6aa	0x6aa
0x6b4	0x6c8
0x6cb	0x6da
0x6e0	0x716
0x720	0x729
0x72f	0x744
0x74a	0x74a
0x7a7	0x7c0
0x7d6	0x7f8
0x80b	0x81f
0x822	0x831
0x837	0x85b
0x8d6	0x8ef
0x968	0x981
0x99e	0x9bc
0x9f9	0xa05
0xa5c	0xa75
0xad1	0xaeb
