sample_id,project_identifier,seed,fold,calibrated_risk_score,warning_tier,decision_01,decision_05,decision_10,threshold_01,threshold_05,threshold_10,runtime_artifact
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7702,0,0.4936772375687666,low_observed_risk,0,0,0,0.49408466543471324,0.49408466543471324,0.49408466543471324,1
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7702,0,0.493852441031095,low_observed_risk,0,0,0,0.49408466543471324,0.49408466543471324,0.49408466543471324,1
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7702,0,0.49105719006811793,low_observed_risk,0,0,0,0.49408466543471324,0.49408466543471324,0.49408466543471324,1
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7702,0,0.4931693532500291,low_observed_risk,0,0,0,0.49408466543471324,0.49408466543471324,0.49408466543471324,1
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7702,0,0.49506182354834805,high,1,1,1,0.49408466543471324,0.49408466543471324,0.49408466543471324,1
