0x21ff
0x2200
0x2201
0x2202
0x22af
0x2375
0x2492
0x24d1
0x25de
0x25df
0x2600
0x2601
0x2602
0x2604
0x2606
0x2607
0x2609
0x260a
0x2637
0x2a7d
0x2b89
