0x0	0xd
0xd	0x1d
0x7e	0xe9c5
0x4d	0x59
0xdc	0x12c
0x3d1	0x3e6
0x460	0x474
0x598	0x5ad
0x627	0x63b
0x6c6	0x6db
0x754	0x768
0x76b	0x776
0x77d	0x78e
0x7c6	0x7e0
0x800	0x805
0x805	0x80f
0x849	0x84b
0x64	0x6f
0x998	0x9d5
0xa05	0xa0b
0xa3b	0xa41
0xb82	0xb99
0xbbc	0xbc1
0xbb9	0xbbc
0xbc8	0xbd4
0xca9	0xcab
0xbdc	0xbe2
0xd99	0xda8
0xe67	0xe6f
0x11cd	0x11d4
0xe9e	0xee8
0xeeb	0xef9
0xefc	0xf01
0xf08	0xf14
0x1037	0x1039
0xf1c	0xf22
0x11c4	0x11cd
0x1532	0x1539
0x1203	0x124d
0x1250	0x125e
0x1261	0x1266
0x126d	0x1279
0x139c	0x139e
0x1281	0x1287
0x1529	0x1532
0x1568	0x15b2
0x15b5	0x15c3
0x15c6	0x15cb
0x15d2	0x15de
0x1701	0x1703
0x15e6	0x15ec
0x188e	0x1897
0x18d1	0x18e5
0x1941	0x1950
0x19c6	0x19de
0x1a01	0x1a06
0x19fe	0x1a01
0x1a0d	0x1a19
0x1b40	0x1b42
0x1a21	0x1a27
0x1da1	0x1db9
0x1ddc	0x1de1
0x1dd9	0x1ddc
0x1de8	0x1df4
0x1f19	0x1f1b
0x1dfc	0x1e02
0x20ab	0x20b4
0xe9c7	0xd3
0x135	0x13d
0x15f	0x167
0x189	0x191
0x1b3	0x1bb
0x1c9	0x1d1
0x205	0x20d
0x22f	0x237
0x257	0x25f
0x3e	0x49
0x1d	0x28
0x28	0x33
0x33	0x3e
0x59	0x64
0x6f	0x7a
0x9d5	0xa05
0xa0b	0xa3b
0xef9	0xefc
0x125e	0x1261
0x15c3	0x15c6
0x2b06B0xbc1	0x2b11B0xbc1
0x2b06B0xf01	0x2b11B0xf01
0x2b06B0x1266	0x2b11B0x1266
0x2b06B0x15cb	0x2b11B0x15cb
0x2b06B0x1a06	0x2b11B0x1a06
0x2b06B0x1de1	0x2b11B0x1de1
0x2ddB0x1be	0x32cB0x1be
0x2c9B0x1be	0x2ddB0x1be
0x339B0x1be	0x375B0x1be
0x2b93B0xbd4	0x2b9dB0xbd4
0x2b6bB0xbd4	0x2b82B0xbd4
0x2ba4B0xbd4	0x2bc6B0xbd4
0x2bccB0xbd4	0x2be2B0xbd4
0x2beaB0xbd4	0x2bfeB0xbd4
0x2b93B0xf14	0x2b9dB0xf14
0x2b6bB0xf14	0x2b82B0xf14
0x2ba4B0xf14	0x2bc6B0xf14
0x2bccB0xf14	0x2be2B0xf14
0x2beaB0xf14	0x2bfeB0xf14
0x2b93B0x1279	0x2b9dB0x1279
0x2b6bB0x1279	0x2b82B0x1279
0x2ba4B0x1279	0x2bc6B0x1279
0x2bccB0x1279	0x2be2B0x1279
0x2beaB0x1279	0x2bfeB0x1279
