0xaf4	InvalidAddress()
0xe66	Blacklisted(address)
0x744a	Panic(uint256)
0x7496	Panic(uint256)
0x2b61S0xbd4	Panic(uint256)
0x2b61S0xf14	Panic(uint256)
0x2b61S0x1279	Panic(uint256)
0x2b61S0x15de	Panic(uint256)
0x2b61S0x1a19	Panic(uint256)
0x2b61S0x1df4	Panic(uint256)
