model,attack_set,n_positive_observations,n_survived,robust_recall_direct,clean_detection,ASR,robust_recall_product,seed_scope,fold_scope,provenance
chunk_mean_16384,TierC_fixed_all_seven,727,100,0.1375515818431912,0.7689133425034388,0.8211091234347049,0.13755158184319116,[7702],"[0, 1, 2, 3, 4]",stored_artifact
chunk_mean_16384,TierC_adaptive_best,727,5,0.0068775790921595595,0.7689133425034388,0.9910554561717353,0.00687757909215952,[7702],"[0, 1, 2, 3, 4]",stored_artifact
chunk_mean_16384,TierC_all_evaluated,727,4,0.005502063273727648,0.7689133425034388,0.9928443649373881,0.0055020632737276835,[7702],"[0, 1, 2, 3, 4]",stored_artifact
flat_cnn_aug,TierA_fixed_flooding,727,109,0.1499312242090784,0.6437414030261348,0.7670940170940171,0.14993122420907837,[7702],"[0, 1, 2, 3, 4]",stored_artifact
flat_cnn_aug,TierB_fixed_flooding_metadata,727,109,0.1499312242090784,0.6437414030261348,0.7670940170940171,0.14993122420907837,[7702],"[0, 1, 2, 3, 4]",stored_artifact
flat_cnn_aug,TierC_fixed_all_seven,727,104,0.14305364511691884,0.6437414030261348,0.7777777777777778,0.14305364511691884,[7702],"[0, 1, 2, 3, 4]",stored_artifact
flat_cnn_aug,TierC_adaptive_best,727,28,0.03851444291609354,0.6437414030261348,0.9401709401709402,0.038514442916093544,[7702],"[0, 1, 2, 3, 4]",stored_artifact
flat_cnn_aug,TierC_all_evaluated,727,18,0.024759284731774415,0.6437414030261348,0.9615384615384616,0.024759284731774397,[7702],"[0, 1, 2, 3, 4]",stored_artifact
flat_control_16384,TierA_fixed_flooding,727,257,0.3535075653370014,0.8308115543328748,0.5745033112582781,0.35350756533700134,[7702],"[0, 1, 2, 3, 4]",stored_artifact
flat_control_16384,TierB_fixed_flooding_metadata,727,256,0.35213204951856947,0.8308115543328748,0.5761589403973509,0.35213204951856947,[7702],"[0, 1, 2, 3, 4]",stored_artifact
flat_control_16384,TierC_fixed_all_seven,727,240,0.33012379642365886,0.8308115543328748,0.6026490066225165,0.3301237964236589,[7702],"[0, 1, 2, 3, 4]",stored_artifact
flat_control_16384,TierC_adaptive_best,727,65,0.08940852819807428,0.8308115543328748,0.8923841059602649,0.08940852819807432,[7702],"[0, 1, 2, 3, 4]",stored_artifact
flat_control_16384,TierC_all_evaluated,727,51,0.07015130674002751,0.8308115543328748,0.9155629139072847,0.07015130674002754,[7702],"[0, 1, 2, 3, 4]",stored_artifact
hist_ngram_xgb_aug,TierA_fixed_flooding,727,161,0.22145804676753783,0.6698762035763411,0.6694045174537988,0.2214580467675378,[7702],"[0, 1, 2, 3, 4]",stored_artifact
hist_ngram_xgb_aug,TierB_fixed_flooding_metadata,727,160,0.2200825309491059,0.6698762035763411,0.6714579055441479,0.2200825309491059,[7702],"[0, 1, 2, 3, 4]",stored_artifact
hist_ngram_xgb_aug,TierC_fixed_all_seven,727,157,0.21595598349381018,0.6698762035763411,0.6776180698151951,0.21595598349381015,[7702],"[0, 1, 2, 3, 4]",stored_artifact
hist_ngram_xgb_aug,TierC_adaptive_best,727,25,0.0343878954607978,0.6698762035763411,0.9486652977412731,0.034387895460797825,[7702],"[0, 1, 2, 3, 4]",stored_artifact
hist_ngram_xgb_aug,TierC_all_evaluated,727,19,0.026134800550206328,0.6698762035763411,0.9609856262833676,0.026134800550206307,[7702],"[0, 1, 2, 3, 4]",stored_artifact
