0x0	__function_selector__
0x9e	tokensReceived(address,address,address,uint256,bytes,bytes)
0xbe	onERC721Received(address,address,uint256,bytes)
0xfc	transferEth(uint256)
0x11c	execute(address,uint256,bytes)
0x12f	onERC1155BatchReceived(address,address,uint256[],uint256[],bytes)
0x14f	sweepERC20(address)
0x16f	onERC1155Received(address,address,uint256,uint256,bytes)
0x18f	transferERC20(address,uint256)
0x1af	controller()
0x1fb	0x1fb
0x2bc	0x2bc
0x36b	0x36b
0x5aa	0x5aa
0x653	0x653
0x6ee	0x6ee
0x81e	0x81e
0x83a	0x83a
0x883	0x883
0x92e	0x92e
0x9b6	0x9b6
0xa10	0xa10
0xa55	0xa55
0xaef	0xaef
0xb11	0xb11
0xbd9	0xbd9
0xc59	0xc59
0x36df	0xeeeeeeee
