[0x00000000, nil]
[0xbc197c81, nil]
[0x23de29, nil]
[0xe00af4a7, nil]
[0x150b7a02, nil]
[0xbc197c81, [0x13b, nil]]
[0xf23a6e61, nil]
[0x23de29, [0xaa, nil]]
[0x1f57256f, nil]
[0xe00af4a7, [0x15b, nil]]
[0xf7448a31, nil]
[0x150b7a02, [0xca, nil]]
[0xb61d27f6, nil]
[0xf23a6e61, [0x17b, nil]]
[0xf77c4791, nil]
[0xbc197c81, [0xa71, [0x13b, nil]]]
[0x1f57256f, [0x108, nil]]
[0x23de29, [0x89f, [0xaa, nil]]]
[0xf7448a31, [0x19b, nil]]
[0xb61d27f6, [0x11c, nil]]
[0xe00af4a7, [0xb01, [0x15b, nil]]]
[0x150b7a02, [0x946, [0xca, nil]]]
[0xf23a6e61, [0xb2a, [0x17b, nil]]]
[0xb61d27f6, [0x9cc, [0x11c, nil]]]
[0xf7448a31, [0xb9c, [0x19b, nil]]]
[0xbc197c81, [0xa7a, [0x13b, nil]]]
[0x1f57256f, [0x9af, [0x108, nil]]]
[0x23de29, [0x8a8, [0xaa, nil]]]
[0x150b7a02, [0x94f, [0xca, nil]]]
[0xf23a6e61, [0xb33, [0x17b, nil]]]
[0x1f57256f, [0x36b, [0x9af, [0x108, nil]]]]
[0xb61d27f6, [0x9f8, [0x11c, nil]]]
[0x23de29, [0x8b6, [0xaa, nil]]]
[0xf7448a31, [0xba5, [0x19b, nil]]]
[0xbc197c81, [0xaa5, [0x13b, nil]]]
[0xf7448a31, [0x653, [0xba5, [0x19b, nil]]]]
[0x150b7a02, [0x980, [0xca, nil]]]
[0xf23a6e61, [0xb6b, [0x17b, nil]]]
[0xf7448a31, [0x6ee, [0x653, [0xba5, [0x19b, nil]]]]]
[0x23de29, [0x8e8, [0xaa, nil]]]
[0xb61d27f6, [0xa04, [0x11c, nil]]]
[0xbc197c81, [0xaca, [0x13b, nil]]]
[0x150b7a02, [0x98c, [0xca, nil]]]
[0xf23a6e61, [0xb77, [0x17b, nil]]]
[0xb61d27f6, [0x42a, [0xa04, [0x11c, nil]]]]
[0xf7448a31, [0x7c0, [0x653, [0xba5, [0x19b, nil]]]]]
[0xf23a6e61, [0x65d, [0xb77, [0x17b, nil]]]]
[0x23de29, [0x90d, [0xaa, nil]]]
[0xbc197c81, [0x90d, [0x13b, nil]]]
[0x23de29, [0x91a, [0xaa, nil]]]
[0x23de29, [0x2bc, [0x91a, [0xaa, nil]]]]
[0xbc197c81, [0x91a, [0x13b, nil]]]
[0x23de29, [0x6ee, [0x2bc, [0x91a, [0xaa, nil]]]]]
[0xbc197c81, [0x531, [0x91a, [0x13b, nil]]]]
[0x23de29, [0x7c0, [0x2bc, [0x91a, [0xaa, nil]]]]]
[0xeeeeeeee, nil]
[0xeeeeeeee, [0x36df, nil]]
[0xe00af4a7, [0x369e, [0x15b, nil]]]
[0xe00af4a7, [0x5f1, [0x369e, [0x15b, nil]]]]
[0xe00af4a7, [0x653, [0x369e, [0x15b, nil]]]]
[0xe00af4a7, [0x6ee, [0x653, [0x369e, [0x15b, nil]]]]]
[0xe00af4a7, [0x7c0, [0x653, [0x369e, [0x15b, nil]]]]]
