0x24e	0x258
0x4c0	0x540
0xd06	0xd91
0x1285	0x129b
0x1308	0x134a
0x1357	0x13b7
0x1441	0x1469
0x1472	0x1472
0x14b2	0x14c2
0x152b	0x152b
0x153a	0x153a
0x65a	0x5b02
0xaf8	0x5b27
0x12a0	0x5b4c
0x12c0	0x5b72
0x14c9	0x5b98
0x14e8	0x5bbe
