0x3b4b	0x3b4d
0x166	0x10a7
0x20c	0x8eb
0xa3a	0xa89
0x3b4e	0x143
0x3b51	0x15a
0x3b54	0x198
0x3b57	0x1c1
0x3b5a	0x1ea
