model,trainable_params,serialized_bytes,device,latency_ms_mean,latency_ms_median,latency_ms_p95
hist_ngram_xgb,,406546,cpu,0.3076965871150605,0.2855920174624771,0.4003660695161669
dense_only,181877.0,737548,cpu,0.3296600263685179,0.3182750078849494,0.3842949925456192
ngram_only,181877.0,737548,cpu,0.3293362395384182,0.3232540329918265,0.3622422867920249
flat_cnn,154177.0,619729,cpu,2.5706168860779144,2.5309755001217127,2.804426694638096
bigru,108225.0,435869,cpu,60.5226384694106,59.48635452659801,102.95680782874116
transformer,425217.0,1710927,cpu,23.65212828357471,34.29660250549205,36.49543157371227
authguard_seq,181877.0,737548,cpu,1.008593153136854,0.9500039741396904,1.5848249138798556
