seed,test_fold,model,n_features,auprc,auroc,brier,threshold_1pct,recall_at_1pct,observed_fpr_at_1pct,precision_at_1pct,f1_at_1pct,threshold_5pct,recall_at_5pct,observed_fpr_at_5pct,precision_at_5pct,f1_at_5pct,threshold_10pct,recall_at_10pct,observed_fpr_at_10pct,precision_at_10pct,f1_at_10pct
7702,0,cfg_capability_only,13,0.9350964644723203,0.9694436985320444,0.042960765017198116,0.9842062533184922,0.34868421052631576,0.01020408163265306,0.9464285714285714,0.5096153846153846,0.33464917574246994,0.9868421052631579,0.06802721088435375,0.8823529411764706,0.9316770186335402,0.0035882286786590428,0.9868421052631579,0.11224489795918367,0.819672131147541,0.8955223880597014
7702,0,dcrg_untyped_guards,18,0.9320821481246016,0.9755750984604368,0.03848526299316001,0.9908335832757393,0.19078947368421054,0.01020408163265306,0.90625,0.3152173913043478,0.40216335403405923,0.9736842105263158,0.05782312925170068,0.896969696969697,0.9337539432176656,0.0056005643343192725,0.9868421052631579,0.1564625850340136,0.7653061224489796,0.8620689655172413
7702,0,dcrg_without_protocol_actors,24,0.9375768760250166,0.9764925707124955,0.03580034710042533,0.9884138246881621,0.23026315789473684,0.01020408163265306,0.9210526315789473,0.368421052631579,0.4141967716266677,0.9736842105263158,0.05782312925170068,0.896969696969697,0.9337539432176656,0.0059347499276429716,0.9868421052631579,0.20068027210884354,0.7177033492822966,0.8310249307479223
7702,0,dcrg_full,27,0.9377379057999486,0.9771191371285356,0.04017537481511211,0.988477334501107,0.23026315789473684,0.01020408163265306,0.9210526315789473,0.368421052631579,0.387910740180125,0.9736842105263158,0.05782312925170068,0.896969696969697,0.9337539432176656,0.005639762006899421,0.9868421052631579,0.19387755102040816,0.7246376811594203,0.8356545961002786
7702,1,cfg_capability_only,13,0.9627274959792178,0.99074200913242,0.02145287403709429,0.9480201327878771,0.6575342465753424,0.01,0.9696969696969697,0.7836734693877551,0.28208274353471785,0.9726027397260274,0.03666666666666667,0.9281045751633987,0.9498327759197325,0.03598577403125729,1.0,0.06333333333333334,0.8848484848484849,0.9389067524115756
7702,1,dcrg_untyped_guards,18,0.9590983404295598,0.9905479452054794,0.01977624598055264,0.8925483973527547,0.8904109589041096,0.013333333333333334,0.9701492537313433,0.9285714285714287,0.3021990941299223,0.9863013698630136,0.05,0.9056603773584906,0.9442622950819672,0.02995610927722822,1.0,0.06333333333333334,0.8848484848484849,0.9389067524115756
7702,1,dcrg_without_protocol_actors,24,0.9567584714790488,0.9902739726027396,0.020051156795927085,0.8438425306127596,0.910958904109589,0.013333333333333334,0.9708029197080292,0.9399293286219081,0.2888519429056793,0.9863013698630136,0.05333333333333334,0.9,0.9411764705882354,0.024211202688028618,1.0,0.06333333333333334,0.8848484848484849,0.9389067524115756
7702,1,dcrg_full,27,0.9605641929955241,0.9905479452054793,0.020115000038049093,0.8487324785271161,0.910958904109589,0.013333333333333334,0.9708029197080292,0.9399293286219081,0.2887988236726712,0.9863013698630136,0.05333333333333334,0.9,0.9411764705882354,0.026205328855953426,1.0,0.06333333333333334,0.8848484848484849,0.9389067524115756
7702,2,cfg_capability_only,13,0.9664595291024671,0.9841281486916116,0.03577564820163463,0.9363783139796602,0.04827586206896552,0.0,1.0,0.09210526315789473,0.42409228615942757,0.9655172413793104,0.0425531914893617,0.9210526315789473,0.9427609427609427,0.06552550447164036,0.9862068965517241,0.08156028368794327,0.8614457831325302,0.9196141479099679
7702,2,dcrg_untyped_guards,18,0.9744290226759139,0.9874174614820249,0.033326444374146266,0.9462516294956579,0.18620689655172415,0.0,1.0,0.3139534883720931,0.17978989774109522,0.9724137931034482,0.03900709219858156,0.9276315789473685,0.9494949494949495,0.024646388176546928,0.993103448275862,0.0851063829787234,0.8571428571428571,0.9201277955271565
7702,2,dcrg_without_protocol_actors,24,0.974492096321204,0.9870750794815359,0.03139922339314797,0.945727946318103,0.2689655172413793,0.0,1.0,0.42391304347826086,0.13431287357274013,0.9724137931034482,0.0425531914893617,0.9215686274509803,0.9463087248322147,0.024302232089571545,0.993103448275862,0.08156028368794327,0.8622754491017964,0.9230769230769231
7702,2,dcrg_full,27,0.9754719886925244,0.9875397407679138,0.030855346697948968,0.9453385971907812,0.20689655172413793,0.0,1.0,0.34285714285714286,0.13074768764640884,0.9724137931034482,0.0425531914893617,0.9215686274509803,0.9463087248322147,0.02158867175672431,0.993103448275862,0.08156028368794327,0.8622754491017964,0.9230769230769231
7702,3,cfg_capability_only,13,0.8291013560666368,0.9777200656096227,0.034791869699293224,0.979488942761212,0.010752688172043012,0.0,1.0,0.021276595744680854,0.25937189203748456,1.0,0.06779661016949153,0.7948717948717948,0.8857142857142858,0.01544714047023046,1.0,0.11299435028248588,0.6992481203007519,0.8230088495575222
7702,3,dcrg_untyped_guards,18,0.9073546696159198,0.9837494684405564,0.025728352291288427,0.9747590650136052,0.4946236559139785,0.01977401129943503,0.8679245283018868,0.6301369863013699,0.25178330299981194,1.0,0.062146892655367235,0.808695652173913,0.8942307692307693,0.013032622505248599,1.0,0.1807909604519774,0.5923566878980892,0.7439999999999999
7702,3,dcrg_without_protocol_actors,24,0.9130485709420957,0.9844784642488306,0.025163317274683194,0.9705177112198421,0.40860215053763443,0.01977401129943503,0.8444444444444444,0.5507246376811594,0.2504634879856462,1.0,0.062146892655367235,0.808695652173913,0.8942307692307693,0.012914844191636009,1.0,0.1807909604519774,0.5923566878980892,0.7439999999999999
