seed,test_fold,val_fold,model,n_train,n_val,n_test,auprc,auroc,brier,threshold_1pct,recall_at_1pct,observed_fpr_at_1pct,precision_at_1pct,f1_at_1pct,threshold_5pct,recall_at_5pct,observed_fpr_at_5pct,precision_at_5pct,f1_at_5pct,threshold_10pct,recall_at_10pct,observed_fpr_at_10pct,precision_at_10pct,f1_at_10pct,n,n_warn,n_low_observed_risk,n_defer,defer_rate,actionable_coverage,warn_recall_on_positives,warn_fpr_on_negatives,positive_rate_within_low_observed_risk,positive_miss_fraction_assigned_low_observed_risk
7702,0,1,sequence,1298,446,446,0.711811933076967,0.7244562298603653,0.1897321561462621,0.9342924356460571,0.4342105263157895,0.02040816326530612,0.9166666666666666,0.5892857142857143,0.7293980121612549,0.5131578947368421,0.04081632653061224,0.8666666666666667,0.6446280991735538,0.6256082653999329,0.5131578947368421,0.06802721088435375,0.7959183673469388,0.624,,,,,,,,,,
7702,0,1,dcrg,1298,446,446,0.9377379057999486,0.9771191371285356,0.04017537481511211,0.988477334501107,0.23026315789473684,0.01020408163265306,0.9210526315789473,0.368421052631579,0.387910740180125,0.9736842105263158,0.05782312925170068,0.896969696969697,0.9337539432176656,0.005639762006899421,0.9868421052631579,0.19387755102040816,0.7246376811594203,0.8356545961002786,,,,,,,,,,
7702,0,1,dcrg_sequence_noisy_or,1298,446,446,0.9128037609588056,0.9655724131757967,0.06327831196586246,0.9987267972254451,0.3355263157894737,0.01020408163265306,0.9444444444444444,0.4951456310679611,0.7301406930201798,0.5986842105263158,0.05782312925170068,0.8425925925925926,0.7,0.6810531038369312,0.9802631578947368,0.06462585034013606,0.8869047619047619,0.9312500000000001,,,,,,,,,,
7702,0,1,coverage_aware_selective_policy,1298,446,446,,,,,,,,,0.7301406930201798,,,,,,,,,,446.0,108.0,215.0,123.0,0.2757847533632287,0.7242152466367713,0.5986842105263158,0.05782312925170068,0.27906976744186046,0.39473684210526316
7702,1,2,sequence,1317,427,446,0.9475733714646848,0.9788812785388128,0.04700112136426229,0.9319139719009399,0.5684931506849316,0.013333333333333334,0.9540229885057471,0.7124463519313307,0.6588389873504639,0.8561643835616438,0.056666666666666664,0.8802816901408451,0.8680555555555556,0.03166843205690384,0.9931506849315068,0.14,0.7754010695187166,0.8708708708708709,,,,,,,,,,
7702,1,2,dcrg,1317,427,446,0.9605641929955241,0.9905479452054793,0.020115000038049093,0.8487324785271161,0.910958904109589,0.013333333333333334,0.9708029197080292,0.9399293286219081,0.2887988236726712,0.9863013698630136,0.05333333333333334,0.9,0.9411764705882354,0.026205328855953426,1.0,0.06333333333333334,0.8848484848484849,0.9389067524115756,,,,,,,,,,
7702,1,2,dcrg_sequence_noisy_or,1317,427,446,0.9503708826534343,0.989041095890411,0.037931960420803615,0.9863614481341706,0.8904109589041096,0.013333333333333334,0.9701492537313433,0.9285714285714287,0.6667879241928574,0.9726027397260274,0.06,0.8875,0.9281045751633986,0.30375514161784034,1.0,0.08666666666666667,0.8488372093023255,0.9182389937106918,,,,,,,,,,
7702,1,2,coverage_aware_selective_policy,1317,427,446,,,,,,,,,0.6667879241928574,,,,,,,,,,446.0,160.0,164.0,122.0,0.273542600896861,0.726457399103139,0.9726027397260274,0.06,0.024390243902439025,0.0273972602739726
7702,2,3,sequence,1316,447,427,0.9702414932085585,0.983614575690878,0.0497799729873747,0.05064273253083229,0.9448275862068966,0.031914893617021274,0.9383561643835616,0.9415807560137458,0.008639169856905937,0.9793103448275862,0.07446808510638298,0.8711656441717791,0.922077922077922,0.006641317158937454,0.993103448275862,0.0851063829787234,0.8571428571428571,0.9201277955271565,,,,,,,,,,
7702,2,3,dcrg,1316,447,427,0.9754719886925244,0.9875397407679138,0.030855346697948968,0.9453385971907812,0.20689655172413793,0.0,1.0,0.34285714285714286,0.13074768764640884,0.9724137931034482,0.0425531914893617,0.9215686274509803,0.9463087248322147,0.02158867175672431,0.993103448275862,0.08156028368794327,0.8622754491017964,0.9230769230769231,,,,,,,,,,
