seed,test_fold,n_functions,n_complete_functions,n_incomplete_functions,n_unguarded_sensitive,n_unguarded_call,n_unguarded_delegatecall,n_unguarded_create,n_unguarded_selfdestruct,n_unguarded_sstore,n_sensitive_without_any_recognized_guard,n_storage_condition_guarded_sensitive,n_guards,n_self_call_guards,n_signature_guards,n_storage_guards,n_hardcoded_guards,n_erc4337_entrypoint_guards,n_hardcoded_authority_matches,n_hardcoded_authority_mismatches,n_calldata_dependent_guards,n_tx_origin_guards,fallback_external_call_reachable,fallback_open_external_call,n_unreached_sensitive_sites,coverage_complete,coverage_partial,coverage_unknown
7702,0,0.03821708261966705,0.020592210814356804,0.0,0.030251752585172653,0.012934406287968159,0.0,0.0,0.0,0.004988648928701878,0.012461647391319275,0.000890411261934787,0.019215628504753113,0.016469348222017288,0.0,0.008191807195544243,0.021220305934548378,0.0,0.0,0.0,0.0,0.0,0.5925611853599548,0.20462484657764435,0.006822449155151844,0.004449051339179277,0.006109191104769707,0.0
7702,1,0.022245077416300774,0.016736360266804695,0.0,0.015022259205579758,0.03061457723379135,0.01007840782403946,0.0,0.0,0.026210134848952293,0.00678957300260663,0.00017643668979872018,0.012794798240065575,0.017929835245013237,0.0,0.024475499987602234,0.005992972757667303,0.0,0.0,0.0,0.0,0.0,0.520443856716156,0.26870498061180115,0.00618557445704937,0.007143368013203144,0.008456233888864517,0.0
7702,2,0.01548680942505598,0.010916565544903278,0.0,0.0056990934535861015,0.03330609202384949,0.0009198206826113164,0.0,0.0,0.013385153375566006,0.006230073515325785,0.004773315973579884,0.010409003123641014,0.0007790568633936346,0.0,0.021830126643180847,0.005535994656383991,0.0,0.0,0.0,0.0,0.0,0.43720993399620056,0.41416648030281067,0.00271791429258883,0.007642687298357487,0.008991962298750877,0.0
7702,3,0.015254011377692223,0.009860563091933727,0.0,0.00794191099703312,0.036902233958244324,0.008192685432732105,0.0,0.0,0.028439108282327652,0.00782993994653225,0.009540535509586334,0.007854154333472252,0.002311875345185399,0.0,0.021808775141835213,0.017471754923462868,0.0,0.0,0.0,0.0,0.0,0.5131030678749084,0.263947069644928,0.005328506696969271,0.018651986494660378,0.025561822578310966,0.0
7702,4,0.03553327918052673,0.021095527336001396,0.0,0.031138019636273384,0.007871340028941631,0.0,0.0,0.0,0.0017598825506865978,0.015119772404432297,0.00016904606309253722,0.022888753563165665,0.0,0.0,0.009192878380417824,0.01793232001364231,0.0,0.0,0.0,0.0,0.0,0.6112678050994873,0.20747186243534088,0.008623390458524227,0.007980559952557087,0.0019555280450731516,0.0
7703,0,0.03326094150543213,0.032618358731269836,0.0,0.022035062313079834,0.011640796437859535,0.0,0.0,0.0,0.007109513506293297,0.014741050079464912,0.0004337466962169856,0.016222642734646797,0.08134587109088898,0.051573265343904495,0.008127467706799507,0.015036111697554588,0.0,0.0,0.0,0.0,0.0,0.49865734577178955,0.19327138364315033,0.006144561339169741,0.003397925989702344,0.004383872263133526,0.0
7703,1,0.01775643415749073,0.016082298010587692,0.0,0.013157649897038937,0.027213847264647484,0.014464490115642548,0.0,0.0,0.022411078214645386,0.008158370852470398,0.009324043057858944,0.010947504080832005,0.1466028243303299,0.0,0.0211099311709404,0.006923559587448835,0.0,0.0,0.0,0.0,0.0,0.432918906211853,0.2335589975118637,0.006529489532113075,0.007653509732335806,0.005187065806239843,0.0
7703,2,0.014755768701434135,0.012404086999595165,0.0,0.005450108088552952,0.029610618948936462,0.01876627467572689,0.0,0.0,0.015810461714863777,0.006909895688295364,0.00021013100922573358,0.00989995151758194,0.017872115597128868,0.07372033596038818,0.021973470225930214,0.006615035235881805,0.0,0.0,0.0,0.0,0.0,0.409771591424942,0.3386293053627014,0.004121995996683836,0.007403659168630838,0.006075251381844282,0.0
7703,3,0.013957664370536804,0.011807450093328953,0.0,0.007813424803316593,0.03637886047363281,0.025587571784853935,0.0,0.0,0.024990351870656013,0.010667837224900723,0.008633054792881012,0.011060229502618313,0.004557390231639147,0.0,0.020962094888091087,0.022103747352957726,0.0,0.0,0.0,0.0,0.0,0.4623413681983948,0.28768831491470337,0.005802968051284552,0.009867641143500805,0.03578004986047745,0.0
7703,4,0.03515152633190155,0.024806736037135124,0.0,0.02943427860736847,0.013507923111319542,0.0,0.0,0.0,0.0020804156083613634,0.015754459425807,0.0010543994139879942,0.02187560871243477,0.01817038469016552,0.0,0.00612638471648097,0.015280567109584808,0.0,0.0,0.0,0.0,0.0,0.573711633682251,0.22460860013961792,0.006869257893413305,0.011567794717848301,0.0,0.0
7704,0,0.034714337438344955,0.038354355841875076,0.0,0.020912576466798782,0.011225609108805656,0.0,0.0,0.0,0.005688896868377924,0.01248724665492773,0.000422960874857381,0.0151531295850873,0.11234305053949356,0.06341613829135895,0.014106104150414467,0.013080090284347534,0.0,0.0,0.0,0.0,0.0,0.5495426654815674,0.09152980893850327,0.005079712253063917,0.005373635794967413,0.006569637916982174,0.0
