0x4f
0x5c8
0x5cd
0x5da
0x604
0x609
0x616
0x640
0x645
0x65b
0x6c5
0x746
0x7c2
0x84d
0x895
0x8ba
0x915
0x92b
0x953
0x966
0x974
0x9ee
0xa0a
0xaa9
0xadb
0xb55
0xbe3
0xc26
0xc65
0xca0
0xcf8
0xd38
0xd6e
0xdf4
0xe3a
0xe7c
0xef6
0xf2b
0xf48
0xf64
0xf80
0xf9d
0xfb9
0xfd8
0xff5
0x1002
0x1024
0x1031
0x10aa
0x10b4
0x10c4
0x10cd
0x10e3
0x1101
0x110b
0x111d
0x1139
0x1144
0x1182
0x11b3
0x11c3
0x11de
0x11f8
0x1215
0x1231
0x124f
0x125d
0x127d
0x128a
0x12b0
0x12ba
0x12ca
0x12d3
0x12f6
0x1312
0x1320
0x1341
0x134c
0x1360
0x13ae
0x13b9
0x13db
0x1416
0x1421
0x1443
0x147e
0x1489
0x14ab
0x1533
0x1555
0x1571
0x1593
0x15a0
0x15b8
0x15f8
0x1603
0x1625
0x1635
0x164e
0x1666
0x1681
0x169b
0x16a9
0x16e6
0x16f1
0x1713
0x1723
0x173c
0x1749
0x1764
0x177f
0x1799
0x17a7
0x17e4
0x17ef
0x1811
0x184c
0x1857
0x1879
0x18b4
0x18bf
0x18e1
