model,mean,median,max
authguard_reference_v3,0.06624405294466615,0.022578675821758147,0.5725873229631454
authguard_sequence_dense,0.05544560301838965,0.012496422163618251,0.5569179766725519
chunk_max_16384,0.09067693815235141,0.02888158836282695,0.571138381309817
flat_cnn_16384,0.10893679357324602,0.0275626929937346,0.5760959731493068
flat_cnn_matched_16384,0.0973461856493326,0.0284050315523184,0.5767080871393103
