model,clean_auprc_mean,clean_auprc_std,flood_auprc_mean,flood_auprc_std,absolute_degradation,donor_variance_mean_std_across_transform_seeds,donor_variance_p95_std_across_transform_seeds
authguard_reference_v3,0.9291981980024987,0.014928988221911329,0.8526163332523465,0.02270686183528572,0.07658186475015216,0.06624405294466615,0.2870650608390533
chunk_max_16384,0.9141887787000745,0.011459002821341826,0.8417159138942315,0.017704692650856547,0.07247286480584303,0.09067693815235141,0.3912389641898987
authguard_sequence_dense,0.9199911279231037,0.004131164406815605,0.8984521645976717,0.009957920167272654,0.021538963325431926,0.05544560301838965,0.2898225755319417
flat_cnn_matched_16384,0.9420175249759289,0.01860819693294602,0.8606586355552066,0.05738331623869054,0.08135888942072234,0.0973461856493326,0.4351826122915892
flat_cnn_16384,0.9511797552460233,0.00577417299429831,0.8590975058143987,0.024325610718481508,0.09208224943162457,0.10893679357324602,0.46491328561530354
