0x117	0x1ffc9a7
0x153	0x7bd0265
0x17d	0x248a9ca3
0x1b9	0x2f2ff15d
0x1e1	0x36568abe
0x209	0x3f4ba83a
0x21f	0x45ef041f
0x25c	0x4782f779
0x284	0x5c975abb
0x2ae	0x7df325e1
0x2d6	0x7ecebe00
0x312	0x80a4d414
0x33a	0x8456cb59
0x350	0x91d14854
0x38c	0xa217fddf
0x3b6	0xb2118a8d
0x3de	0xcb3fe3e6
0x41b	0xd547741f
0x674a	0xeeeeeeee
