0x2174V0x3e9	0x2180B0x3e9
0x2181V0x3e9	0x218cB0x3e9
0x21a3V0x3e9	0x21afB0x3e9
0x21b0V0x3e9	0x21bbB0x3e9
0x1b64V0x2151V0x3e9	0x6464B0x2151B0x3e9
0x1b81V0x2151V0x3e9	0x6487B0x2151B0x3e9
0x1b9dV0x2151V0x3e9	0x64aaB0x2151B0x3e9
0x1b7aV0x2151V0x3e9	0x1b86B0x2151B0x3e9
0x1b96V0x2151V0x3e9	0x1ba2B0x2151B0x3e9
0x1b5dV0x2151V0x3e9	0x1b69B0x2151B0x3e9
0x1bb9V0x2180V0x3e9	0x64cdB0x2180B0x3e9
0x1bd6V0x2180V0x3e9	0x64f0B0x2180B0x3e9
0x1bf2V0x2180V0x3e9	0x6513B0x2180B0x3e9
0x1bcfV0x2180V0x3e9	0x1bdbB0x2180B0x3e9
0x1bebV0x2180V0x3e9	0x1bf7B0x2180B0x3e9
0x1bb2V0x2180V0x3e9	0x1bbeB0x2180B0x3e9
0x1c0eV0x21afV0x3e9	0x6536B0x21afB0x3e9
0x1c2bV0x21afV0x3e9	0x6559B0x21afB0x3e9
0x1c47V0x21afV0x3e9	0x657cB0x21afB0x3e9
0x1c24V0x21afV0x3e9	0x1c30B0x21afB0x3e9
0x1c40V0x21afV0x3e9	0x1c4cB0x21afB0x3e9
0x1c07V0x21afV0x3e9	0x1c13B0x21afB0x3e9
0x1930V0x16c0	0x1937B0x16c0
0x1938V0x16c0	0x196dB0x16c0
0x1722V0x187d	0x1729B0x187d
0x172bV0x187d	0x1760B0x187d
0x266eV0x2682	0x2658B0x2682
0x2662V0x2682	0x2672B0x2682
0x2665V0x2682	0x266dB0x2682
0x266eV0x268e	0x2658B0x268e
0x2662V0x268e	0x2672B0x268e
0x2665V0x268e	0x266dB0x268e
0x19dcV0x122	0x63fbB0x122
0x19d5V0x122	0x19e1B0x122
0x19e3V0x122	0x19eeB0x122
0x19beV0x19e1V0x122	0x19c6B0x19e1B0x122
0x19aeV0x19b8V0x19e1V0x122	0x19b5B0x19b8B0x19e1B0x122
0x19a3V0x19b8V0x19e1V0x122	0x19abB0x19b8B0x19e1B0x122
0x19a7V0x19b8V0x19e1V0x122	0x1977B0x19b8B0x19e1B0x122
0x1a19V0x13d	0x1a24B0x13d
0x1a03V0x1a11V0x13d	0x1a0bB0x1a11B0x13d
0x1a4aV0x167	0x1a55B0x167
0x1a34V0x1a42V0x167	0x1a3cB0x1a42B0x167
0x1a4aV0x1a3	0x1a55B0x1a3
0x1a34V0x1a42V0x1a3	0x1a3cB0x1a42B0x1a3
0x1a19V0x298	0x1a24B0x298
0x1a03V0x1a11V0x298	0x1a0bB0x1a11B0x298
0x2109V0x2fc	0x2114B0x2fc
0x20f3V0x2101V0x2fc	0x20fbB0x2101B0x2fc
