0x1220V0x917	0x1229B0x917
0x122dV0x917	0x1237B0x917
0x124eV0x917	0x1272B0x917
0x127fV0x917	0x128bB0x917
0x1299V0x917	0x12a5B0x917
0x12c0V0x917	0x12ccB0x917
0x12d8V0x917	0x12e1B0x917
0x1320V0x917	0x132cB0x917
0x133aV0x917	0x1346B0x917
0x134fV0x917	0x1358B0x917
0x135fV0x917	0x136bB0x917
0x137aV0x917	0x1386B0x917
0x1392V0x917	0x139fB0x917
0x13a8V0x917	0x1427B0x917
0x1430V0x917	0x1052B0x917
0x140fV0x917	0x141bB0x917
0x105aV0x917	0x1434B0x917
0x11aeV0x917	0x11baB0x917
0x2cf2V0x1217V0x917	0x2ccfB0x1217B0x917
0x2d14V0x1217V0x917	0x2cd3B0x1217B0x917
0x2d30V0x1217V0x917	0x2cd7B0x1217B0x917
0x2cebV0x1217V0x917	0x2cf7B0x1217B0x917
0x2d0dV0x1217V0x917	0x2d19B0x1217B0x917
0x2d29V0x1217V0x917	0x2d35B0x1217B0x917
0x2cf2V0x1346V0x917	0x2ccfB0x1346B0x917
0x2d14V0x1346V0x917	0x2cd3B0x1346B0x917
0x2d30V0x1346V0x917	0x2cd7B0x1346B0x917
0x2cebV0x1346V0x917	0x2cf7B0x1346B0x917
0x2d0dV0x1346V0x917	0x2d19B0x1346B0x917
0x2d29V0x1346V0x917	0x2d35B0x1346B0x917
0x2aa0V0xee6V0x917	0x2aa8B0xee6B0x917
0x2aa4V0xee6V0x917	0x2a6fB0xee6B0x917
0x2a7eV0xee6V0x917	0x2a86B0xee6B0x917
0x2a82V0xee6V0x917	0x2a21B0xee6B0x917
0x2a71V0xee6V0x917	0x2a7bB0xee6B0x917
0x2b2eV0xf2eV0x917	0x2b36B0xf2eB0x917
0x2b32V0xf2eV0x917	0x2afdB0xf2eB0x917
0x2b0cV0xf2eV0x917	0x2b14B0xf2eB0x917
0x2b10V0xf2eV0x917	0x2aafB0xf2eB0x917
0x2affV0xf2eV0x917	0x2b09B0xf2eB0x917
0x2b96V0xf75V0x917	0x2b9eB0xf75B0x917
0x2b9aV0xf75V0x917	0x2b65B0xf75B0x917
0x2b74V0xf75V0x917	0x2b7cB0xf75B0x917
0x2b78V0xf75V0x917	0x2b3dB0xf75B0x917
0x2b67V0xf75V0x917	0x2b71B0xf75B0x917
0x2c58V0x10b8V0x917	0x2c60B0x10b8B0x917
0x2c5cV0x10b8V0x917	0x2c27B0x10b8B0x917
0x2c36V0x10b8V0x917	0x2c3eB0x10b8B0x917
0x2c3aV0x10b8V0x917	0x2bffB0x10b8B0x917
0x2c29V0x10b8V0x917	0x2c33B0x10b8B0x917
0x2cc0V0x114dV0x917	0x2cc8B0x114dB0x917
0x2cc4V0x114dV0x917	0x2c8fB0x114dB0x917
0x2c9eV0x114dV0x917	0x2ca6B0x114dB0x917
0x2ca2V0x114dV0x917	0x2c67B0x114dB0x917
0x2c91V0x114dV0x917	0x2c9bB0x114dB0x917
0x1722V0xec5V0x917	0x1729B0xec5B0x917
0x172bV0xec5V0x917	0x1760B0xec5B0x917
0x2d6dV0x1229V0x917	0x2d77B0x1229B0x917
0x2d73V0x1229V0x917	0x2d47B0x1229B0x917
0x2d55V0x1229V0x917	0x2d5fB0x1229B0x917
0x2d49V0x1229V0x917	0x2d52B0x1229B0x917
0x2d4eV0x1229V0x917	0x2d3dB0x1229B0x917
0x2dffV0x1386V0x917	0x2e0aB0x1386B0x917
0x2da1V0x1386V0x917	0x2dabB0x1386B0x917
0x2dacV0x1386V0x917	0x2db4B0x1386B0x917
0x2dcaV0x1386V0x917	0x2dd3B0x1386B0x917
0x2dd6V0x1386V0x917	0x2de3B0x1386B0x917
0x2de4V0x1386V0x917	0x2decB0x1386B0x917
0x2e13V0x1386V0x917	0x2e1dB0x1386B0x917
0x2e19V0x1386V0x917	0x2d93B0x1386B0x917
0x2e20V0x1386V0x917	0x2e2cB0x1386B0x917
0x2d95V0x1386V0x917	0x2d9eB0x1386B0x917
0x2e35V0x1386V0x917	0x2e3eB0x1386B0x917
0x2e3aV0x1386V0x917	0x2dbfB0x1386B0x917
0x2dc1V0x1386V0x917	0x2dc9B0x1386B0x917
0x1eceV0x2dd3V0x1386V0x917	0x1ee4B0x2dd3B0x1386B0x917
0x1ee0V0x2dd3V0x1386V0x917	0x1ec9B0x2dd3B0x1386B0x917
0x20f3V0x2df7V0x1386V0x917	0x20fbB0x2df7B0x1386B0x917
0x1a03V0x2e1dV0x1386V0x917	0x1a0bB0x2e1dB0x1386B0x917
0x2910V0xb5c	0x291bB0xb5c
0x291cV0xb5c	0x2928B0xb5c
0x2929V0xb5c	0x2935B0xb5c
0x20f3V0x2928V0xb5c	0x20fbB0x2928B0xb5c
0x2597V0x2908V0xb5c	0x259fB0x2908B0xb5c
0x1ad1V0x2596V0x2908V0xb5c	0x1ad9B0x2596B0x2908B0xb5c
0x2597V0x291bV0xb5c	0x259fB0x291bB0xb5c
0x1ad1V0x2596V0x291bV0xb5c	0x1ad9B0x2596B0x291bB0xb5c
0x2945V0xda0	0x2950B0xda0
0x2951V0xda0	0x295dB0xda0
0x20f3V0x2950V0xda0	0x20fbB0x2950B0xda0
0x2597V0x293dV0xda0	0x259fB0x293dB0xda0
0x1ad1V0x2596V0x293dV0xda0	0x1ad9B0x2596B0x293dB0xda0
0x299eV0xdf7	0x6720B0xdf7
0x2997V0xdf7	0x29a3B0xdf7
0x29a5V0xdf7	0x29b0B0xdf7
0x2980V0x29a3V0xdf7	0x2988B0x29a3B0xdf7
0x2970V0x297aV0x29a3V0xdf7	0x2977B0x297aB0x29a3B0xdf7
0x2965V0x297aV0x29a3V0xdf7	0x296dB0x297aB0x29a3B0xdf7
0x2e52V0x170a	0x2e5dB0x170a
0x2597V0x2e4aV0x170a	0x259fB0x2e4aB0x170a
0x1ad1V0x2596V0x2e4aV0x170a	0x1ad9B0x2596B0x2e4aB0x170a
0x2e52V0x18c7	0x2e5dB0x18c7
0x2597V0x2e4aV0x18c7	0x259fB0x2e4aB0x18c7
0x1ad1V0x2596V0x2e4aV0x18c7	0x1ad9B0x2596B0x2e4aB0x18c7
0x1b1bV0x1c4	0x6441B0x1c4
0x1b14V0x1c4	0x1b20B0x1c4
0x1b22V0x1c4	0x1b2dB0x1c4
0x1b33V0x1c4	0x1b3eB0x1c4
0x1a77V0x1b20V0x1c4	0x1a7fB0x1b20B0x1c4
0x1a67V0x1a71V0x1b20V0x1c4	0x1a6eB0x1a71B0x1b20B0x1c4
0x1a5cV0x1a71V0x1b20V0x1c4	0x1a64B0x1a71B0x1b20B0x1c4
0x1afcV0x1b2dV0x1c4	0x1b04B0x1b2dB0x1c4
0x1aecV0x1af6V0x1b2dV0x1c4	0x1af3B0x1af6B0x1b2dB0x1c4
0x1ae1V0x1af6V0x1b2dV0x1c4	0x1ae9B0x1af6B0x1b2dB0x1c4
0x1ad1V0x1ae0V0x1af6V0x1b2dV0x1c4	0x1ad9B0x1ae0B0x1af6B0x1b2dB0x1c4
0x1b1bV0x1ec	0x6441B0x1ec
0x1b14V0x1ec	0x1b20B0x1ec
0x1b22V0x1ec	0x1b2dB0x1ec
0x1b33V0x1ec	0x1b3eB0x1ec
0x1a77V0x1b20V0x1ec	0x1a7fB0x1b20B0x1ec
0x1a67V0x1a71V0x1b20V0x1ec	0x1a6eB0x1a71B0x1b20B0x1ec
0x1a5cV0x1a71V0x1b20V0x1ec	0x1a64B0x1a71B0x1b20B0x1ec
0x1afcV0x1b2dV0x1ec	0x1b04B0x1b2dB0x1ec
0x1aecV0x1af6V0x1b2dV0x1ec	0x1af3B0x1af6B0x1b2dB0x1ec
0x1ae1V0x1af6V0x1b2dV0x1ec	0x1ae9B0x1af6B0x1b2dB0x1ec
0x1ad1V0x1ae0V0x1af6V0x1b2dV0x1ec	0x1ad9B0x1ae0B0x1af6B0x1b2dB0x1ec
0x1cd7V0x22a	0x659fB0x22a
0x1cf4V0x22a	0x65c2B0x22a
0x1d23V0x22a	0x65e5B0x22a
0x1d52V0x22a	0x6608B0x22a
0x1cd0V0x22a	0x1cdcB0x22a
0x1cedV0x22a	0x1cf9B0x22a
0x1cfaV0x22a	0x1d05B0x22a
0x1d1cV0x22a	0x1d28B0x22a
0x1d29V0x22a	0x1d34B0x22a
0x1d4bV0x22a	0x1d57B0x22a
0x1d58V0x22a	0x1d63B0x22a
0x1d6bV0x22a	0x1d76B0x22a
0x1d7cV0x22a	0x1d87B0x22a
0x1d8dV0x22a	0x1d98B0x22a
0x1d9eV0x22a	0x1da9B0x22a
0x1dafV0x22a	0x1dbaB0x22a
0x1b64V0x1cf9V0x22a	0x6464B0x1cf9B0x22a
0x1b81V0x1cf9V0x22a	0x6487B0x1cf9B0x22a
0x1b9dV0x1cf9V0x22a	0x64aaB0x1cf9B0x22a
0x1b7aV0x1cf9V0x22a	0x1b86B0x1cf9B0x22a
0x1b96V0x1cf9V0x22a	0x1ba2B0x1cf9B0x22a
0x1b5dV0x1cf9V0x22a	0x1b69B0x1cf9B0x22a
0x1bb9V0x1d28V0x22a	0x64cdB0x1d28B0x22a
0x1bd6V0x1d28V0x22a	0x64f0B0x1d28B0x22a
0x1bf2V0x1d28V0x22a	0x6513B0x1d28B0x22a
0x1bcfV0x1d28V0x22a	0x1bdbB0x1d28B0x22a
0x1bebV0x1d28V0x22a	0x1bf7B0x1d28B0x22a
0x1bb2V0x1d28V0x22a	0x1bbeB0x1d28B0x22a
0x1c0eV0x1d57V0x22a	0x6536B0x1d57B0x22a
0x1c2bV0x1d57V0x22a	0x6559B0x1d57B0x22a
0x1c47V0x1d57V0x22a	0x657cB0x1d57B0x22a
0x1c24V0x1d57V0x22a	0x1c30B0x1d57B0x22a
0x1c40V0x1d57V0x22a	0x1c4cB0x1d57B0x22a
0x1c07V0x1d57V0x22a	0x1c13B0x1d57B0x22a
0x1c78V0x1d76V0x22a	0x1c80B0x1d76B0x22a
0x1c68V0x1c72V0x1d76V0x22a	0x1c6fB0x1c72B0x1d76B0x22a
0x1c5dV0x1c72V0x1d76V0x22a	0x1c65B0x1c72B0x1d76B0x22a
0x1caeV0x1d87V0x22a	0x1cb6B0x1d87B0x22a
0x1c9eV0x1ca8V0x1d87V0x22a	0x1ca5B0x1ca8B0x1d87B0x22a
0x1c93V0x1ca8V0x1d87V0x22a	0x1c9bB0x1ca8B0x1d87B0x22a
0x1a77V0x1d98V0x22a	0x1a7fB0x1d98B0x22a
0x1a67V0x1a71V0x1d98V0x22a	0x1a6eB0x1a71B0x1d98B0x22a
0x1a5cV0x1a71V0x1d98V0x22a	0x1a64B0x1a71B0x1d98B0x22a
0x1a77V0x1da9V0x22a	0x1a7fB0x1da9B0x22a
0x1a67V0x1a71V0x1da9V0x22a	0x1a6eB0x1a71B0x1da9B0x22a
0x1a5cV0x1a71V0x1da9V0x22a	0x1a64B0x1a71B0x1da9B0x22a
0x1afcV0x1d63V0x22a	0x1b04B0x1d63B0x22a
0x1aecV0x1af6V0x1d63V0x22a	0x1af3B0x1af6B0x1d63B0x22a
0x1ae1V0x1af6V0x1d63V0x22a	0x1ae9B0x1af6B0x1d63B0x22a
0x1ad1V0x1ae0V0x1af6V0x1d63V0x22a	0x1ad9B0x1ae0B0x1af6B0x1d63B0x22a
0x204aV0x267	0x662bB0x267
0x2043V0x267	0x204fB0x267
0x2051V0x267	0x205cB0x267
0x2062V0x267	0x206dB0x267
0x1c78V0x205cV0x267	0x1c80B0x205cB0x267
0x1c68V0x1c72V0x205cV0x267	0x1c6fB0x1c72B0x205cB0x267
0x1c5dV0x1c72V0x205cV0x267	0x1c65B0x1c72B0x205cB0x267
0x202bV0x204fV0x267	0x2033B0x204fB0x267
0x201bV0x2025V0x204fV0x267	0x2022B0x2025B0x204fB0x267
0x2010V0x2025V0x204fV0x267	0x2018B0x2025B0x204fB0x267
0x2000V0x200fV0x2025V0x204fV0x267	0x2008B0x200fB0x2025B0x204fB0x267
0x2089V0x2b9	0x664eB0x2b9
0x2082V0x2b9	0x208eB0x2b9
0x2090V0x2b9	0x209bB0x2b9
0x20a1V0x2b9	0x20acB0x2b9
0x20b2V0x2b9	0x20bdB0x2b9
0x1c78V0x20acV0x2b9	0x1c80B0x20acB0x2b9
0x1c68V0x1c72V0x20acV0x2b9	0x1c6fB0x1c72B0x20acB0x2b9
0x1c5dV0x1c72V0x20acV0x2b9	0x1c65B0x1c72B0x20acB0x2b9
0x1afcV0x208eV0x2b9	0x1b04B0x208eB0x2b9
0x1aecV0x1af6V0x208eV0x2b9	0x1af3B0x1af6B0x208eB0x2b9
0x1ae1V0x1af6V0x208eV0x2b9	0x1ae9B0x1af6B0x208eB0x2b9
0x1ad1V0x1ae0V0x1af6V0x208eV0x2b9	0x1ad9B0x1ae0B0x1af6B0x208eB0x2b9
0x1afcV0x209bV0x2b9	0x1b04B0x209bB0x2b9
0x1aecV0x1af6V0x209bV0x2b9	0x1af3B0x1af6B0x209bB0x2b9
0x1ae1V0x1af6V0x209bV0x2b9	0x1ae9B0x1af6B0x209bB0x2b9
0x1ad1V0x1ae0V0x1af6V0x209bV0x2b9	0x1ad9B0x1ae0B0x1af6B0x209bB0x2b9
0x20d7V0x2e1	0x6671B0x2e1
0x20d0V0x2e1	0x20dcB0x2e1
0x20deV0x2e1	0x20e9B0x2e1
0x1afcV0x20dcV0x2e1	0x1b04B0x20dcB0x2e1
0x1aecV0x1af6V0x20dcV0x2e1	0x1af3B0x1af6B0x20dcB0x2e1
0x1ae1V0x1af6V0x20dcV0x2e1	0x1ae9B0x1af6B0x20dcB0x2e1
0x1ad1V0x1ae0V0x1af6V0x20dcV0x2e1	0x1ad9B0x1ae0B0x1af6B0x20dcB0x2e1
0x20d7V0x31d	0x6671B0x31d
0x20d0V0x31d	0x20dcB0x31d
0x20deV0x31d	0x20e9B0x31d
0x1afcV0x20dcV0x31d	0x1b04B0x20dcB0x31d
0x1aecV0x1af6V0x20dcV0x31d	0x1af3B0x1af6B0x20dcB0x31d
0x1ae1V0x1af6V0x20dcV0x31d	0x1ae9B0x1af6B0x20dcB0x31d
0x1ad1V0x1ae0V0x1af6V0x20dcV0x31d	0x1ad9B0x1ae0B0x1af6B0x20dcB0x31d
0x1b1bV0x35b	0x6441B0x35b
0x1b14V0x35b	0x1b20B0x35b
0x1b22V0x35b	0x1b2dB0x35b
0x1b33V0x35b	0x1b3eB0x35b
0x1a77V0x1b20V0x35b	0x1a7fB0x1b20B0x35b
0x1a67V0x1a71V0x1b20V0x35b	0x1a6eB0x1a71B0x1b20B0x35b
0x1a5cV0x1a71V0x1b20V0x35b	0x1a64B0x1a71B0x1b20B0x35b
0x1afcV0x1b2dV0x35b	0x1b04B0x1b2dB0x35b
0x1aecV0x1af6V0x1b2dV0x35b	0x1af3B0x1af6B0x1b2dB0x35b
0x1ae1V0x1af6V0x1b2dV0x35b	0x1ae9B0x1af6B0x1b2dB0x35b
0x1ad1V0x1ae0V0x1af6V0x1b2dV0x35b	0x1ad9B0x1ae0B0x1af6B0x1b2dB0x35b
0x2089V0x3c1	0x664eB0x3c1
0x2082V0x3c1	0x208eB0x3c1
0x2090V0x3c1	0x209bB0x3c1
0x20a1V0x3c1	0x20acB0x3c1
0x20b2V0x3c1	0x20bdB0x3c1
0x1c78V0x20acV0x3c1	0x1c80B0x20acB0x3c1
0x1c68V0x1c72V0x20acV0x3c1	0x1c6fB0x1c72B0x20acB0x3c1
0x1c5dV0x1c72V0x20acV0x3c1	0x1c65B0x1c72B0x20acB0x3c1
0x1afcV0x208eV0x3c1	0x1b04B0x208eB0x3c1
0x1aecV0x1af6V0x208eV0x3c1	0x1af3B0x1af6B0x208eB0x3c1
0x1ae1V0x1af6V0x208eV0x3c1	0x1ae9B0x1af6B0x208eB0x3c1
0x1ad1V0x1ae0V0x1af6V0x208eV0x3c1	0x1ad9B0x1ae0B0x1af6B0x208eB0x3c1
0x1afcV0x209bV0x3c1	0x1b04B0x209bB0x3c1
0x1aecV0x1af6V0x209bV0x3c1	0x1af3B0x1af6B0x209bB0x3c1
0x1ae1V0x1af6V0x209bV0x3c1	0x1ae9B0x1af6B0x209bB0x3c1
0x1ad1V0x1ae0V0x1af6V0x209bV0x3c1	0x1ad9B0x1ae0B0x1af6B0x209bB0x3c1
0x1b1bV0x426	0x6441B0x426
0x1b14V0x426	0x1b20B0x426
0x1b22V0x426	0x1b2dB0x426
0x1b33V0x426	0x1b3eB0x426
0x1a77V0x1b20V0x426	0x1a7fB0x1b20B0x426
0x1a67V0x1a71V0x1b20V0x426	0x1a6eB0x1a71B0x1b20B0x426
0x1a5cV0x1a71V0x1b20V0x426	0x1a64B0x1a71B0x1b20B0x426
0x1afcV0x1b2dV0x426	0x1b04B0x1b2dB0x426
0x1aecV0x1af6V0x1b2dV0x426	0x1af3B0x1af6B0x1b2dB0x426
0x1ae1V0x1af6V0x1b2dV0x426	0x1ae9B0x1af6B0x1b2dB0x426
0x1ad1V0x1ae0V0x1af6V0x1b2dV0x426	0x1ad9B0x1ae0B0x1af6B0x1b2dB0x426
0x20d7V0x1087B0x3ff	0x6671B0x1087B0x3ff
0x20d0V0x1087B0x3ff	0x20dcB0x1087B0x3ff
0x20deV0x1087B0x3ff	0x20e9B0x1087B0x3ff
0x1afcV0x20dcV0x1087B0x3ff	0x1b04B0x20dcB0x1087B0x3ff
0x1aecV0x1af6V0x20dcV0x1087B0x3ff	0x1af3B0x1af6B0x20dcB0x1087B0x3ff
0x1ae1V0x1af6V0x20dcV0x1087B0x3ff	0x1ae9B0x1af6B0x20dcB0x1087B0x3ff
0x1ad1V0x1ae0V0x1af6V0x20dcV0x1087B0x3ff	0x1ad9B0x1ae0B0x1af6B0x20dcB0x1087B0x3ff
0x20d7V0x111cB0x3ff	0x6671B0x111cB0x3ff
0x20d0V0x111cB0x3ff	0x20dcB0x111cB0x3ff
0x20deV0x111cB0x3ff	0x20e9B0x111cB0x3ff
0x1afcV0x20dcV0x111cB0x3ff	0x1b04B0x20dcB0x111cB0x3ff
0x1aecV0x1af6V0x20dcV0x111cB0x3ff	0x1af3B0x1af6B0x20dcB0x111cB0x3ff
0x1ae1V0x1af6V0x20dcV0x111cB0x3ff	0x1ae9B0x1af6B0x20dcB0x111cB0x3ff
0x1ad1V0x1ae0V0x1af6V0x20dcV0x111cB0x3ff	0x1ad9B0x1ae0B0x1af6B0x20dcB0x111cB0x3ff
0x20d7V0x11baB0x3ff	0x6671B0x11baB0x3ff
0x20d0V0x11baB0x3ff	0x20dcB0x11baB0x3ff
0x20deV0x11baB0x3ff	0x20e9B0x11baB0x3ff
0x1afcV0x20dcV0x11baB0x3ff	0x1b04B0x20dcB0x11baB0x3ff
0x1aecV0x1af6V0x20dcV0x11baB0x3ff	0x1af3B0x1af6B0x20dcB0x11baB0x3ff
0x1ae1V0x1af6V0x20dcV0x11baB0x3ff	0x1ae9B0x1af6B0x20dcB0x11baB0x3ff
0x1ad1V0x1ae0V0x1af6V0x20dcV0x11baB0x3ff	0x1ad9B0x1ae0B0x1af6B0x20dcB0x11baB0x3ff
0x20d7V0x12ccB0x3ff	0x6671B0x12ccB0x3ff
0x20d0V0x12ccB0x3ff	0x20dcB0x12ccB0x3ff
0x20deV0x12ccB0x3ff	0x20e9B0x12ccB0x3ff
0x1afcV0x20dcV0x12ccB0x3ff	0x1b04B0x20dcB0x12ccB0x3ff
0x1aecV0x1af6V0x20dcV0x12ccB0x3ff	0x1af3B0x1af6B0x20dcB0x12ccB0x3ff
0x1ae1V0x1af6V0x20dcV0x12ccB0x3ff	0x1ae9B0x1af6B0x20dcB0x12ccB0x3ff
0x1ad1V0x1ae0V0x1af6V0x20dcV0x12ccB0x3ff	0x1ad9B0x1ae0B0x1af6B0x20dcB0x12ccB0x3ff
0x20d7V0x1087B0x917	0x6671B0x1087B0x917
0x20d0V0x1087B0x917	0x20dcB0x1087B0x917
0x20deV0x1087B0x917	0x20e9B0x1087B0x917
0x1afcV0x20dcV0x1087B0x917	0x1b04B0x20dcB0x1087B0x917
0x1aecV0x1af6V0x20dcV0x1087B0x917	0x1af3B0x1af6B0x20dcB0x1087B0x917
0x1ae1V0x1af6V0x20dcV0x1087B0x917	0x1ae9B0x1af6B0x20dcB0x1087B0x917
0x1ad1V0x1ae0V0x1af6V0x20dcV0x1087B0x917	0x1ad9B0x1ae0B0x1af6B0x20dcB0x1087B0x917
0x20d7V0x111cB0x917	0x6671B0x111cB0x917
0x20d0V0x111cB0x917	0x20dcB0x111cB0x917
0x20deV0x111cB0x917	0x20e9B0x111cB0x917
0x1afcV0x20dcV0x111cB0x917	0x1b04B0x20dcB0x111cB0x917
0x1aecV0x1af6V0x20dcV0x111cB0x917	0x1af3B0x1af6B0x20dcB0x111cB0x917
0x1ae1V0x1af6V0x20dcV0x111cB0x917	0x1ae9B0x1af6B0x20dcB0x111cB0x917
0x1ad1V0x1ae0V0x1af6V0x20dcV0x111cB0x917	0x1ad9B0x1ae0B0x1af6B0x20dcB0x111cB0x917
0x20d7V0x11baB0x917	0x6671B0x11baB0x917
0x20d0V0x11baB0x917	0x20dcB0x11baB0x917
0x20deV0x11baB0x917	0x20e9B0x11baB0x917
0x1afcV0x20dcV0x11baB0x917	0x1b04B0x20dcB0x11baB0x917
0x1aecV0x1af6V0x20dcV0x11baB0x917	0x1af3B0x1af6B0x20dcB0x11baB0x917
0x1ae1V0x1af6V0x20dcV0x11baB0x917	0x1ae9B0x1af6B0x20dcB0x11baB0x917
0x1ad1V0x1ae0V0x1af6V0x20dcV0x11baB0x917	0x1ad9B0x1ae0B0x1af6B0x20dcB0x11baB0x917
0x20d7V0x12ccB0x917	0x6671B0x12ccB0x917
0x20d0V0x12ccB0x917	0x20dcB0x12ccB0x917
0x20deV0x12ccB0x917	0x20e9B0x12ccB0x917
0x1afcV0x20dcV0x12ccB0x917	0x1b04B0x20dcB0x12ccB0x917
0x1aecV0x1af6V0x20dcV0x12ccB0x917	0x1af3B0x1af6B0x20dcB0x12ccB0x917
0x1ae1V0x1af6V0x20dcV0x12ccB0x917	0x1ae9B0x1af6B0x20dcB0x12ccB0x917
0x1ad1V0x1ae0V0x1af6V0x20dcV0x12ccB0x917	0x1ad9B0x1ae0B0x1af6B0x20dcB0x12ccB0x917
0x51fV0x202	0x526B0x202
0x555V0x202	0x58aB0x202
0x58bV0x202	0x594B0x202
0x14d4V0x599	0x14e4B0x599
0x14d4V0xc46	0x14e4B0xc46
0x14d4V0xc80	0x14e4B0xc80
0x14d4V0x505	0x14e4B0x505
0x14d4V0x953	0x14e4B0x953
0x14d4V0xac4	0x14e4B0xac4
0x14d4V0xd08	0x14e4B0xd08
0x14d4V0x1451	0x14e4B0x1451
0x14d8V0x599	0x14dfB0x599
0x14d8V0xc46	0x14dfB0xc46
0x14d8V0xc80	0x14dfB0xc80
0x14d8V0x505	0x14dfB0x505
0x14d8V0x953	0x14dfB0x953
0x14d8V0xac4	0x14dfB0xac4
0x14d8V0xd08	0x14dfB0xd08
0x14d8V0x1451	0x14dfB0x1451
0x236aV0x240c	0x2372B0x240c
0x237aV0x240c	0x2383B0x240c
0x237fV0x240c	0x2369B0x240c
0x23b3V0x240c	0x23bcB0x240c
0x23b8V0x240c	0x2350B0x240c
0x23bfV0x240c	0x23c7B0x240c
0x23c3V0x240c	0x2360B0x240c
0x23cfV0x240c	0x23ffB0x240c
0x23d3V0x240c	0x23dcB0x240c
0x23ddV0x240c	0x23e6B0x240c
0x23e2V0x240c	0x2378B0x240c
0x23e9V0x240c	0x23f1B0x240c
0x23edV0x240c	0x23a5B0x240c
0x23fbV0x240c	0x23caB0x240c
0x1ad1V0x2369V0x240c	0x1ad9B0x2369B0x240c
0x2391V0x23d3V0x240c	0x239dB0x23d3B0x240c
0x1afcV0x238fV0x23d3V0x240c	0x1b04B0x238fB0x23d3B0x240c
0x1aecV0x1af6V0x238fV0x23d3V0x240c	0x1af3B0x1af6B0x238fB0x23d3B0x240c
0x1ae1V0x1af6V0x238fV0x23d3V0x240c	0x1ae9B0x1af6B0x238fB0x23d3B0x240c
0x1ad1V0x1ae0V0x1af6V0x238fV0x23d3V0x240c	0x1ad9B0x1ae0B0x1af6B0x238fB0x23d3B0x240c
0x18dfV0x14dfV0x599	0x18e8B0x14dfB0x599
0x18dfV0x14dfV0xc46	0x18e8B0x14dfB0xc46
0x18dfV0x14dfV0xc80	0x18e8B0x14dfB0xc80
0x18dfV0x14dfV0x505	0x18e8B0x14dfB0x505
0x18dfV0x14dfV0x953	0x18e8B0x14dfB0x953
0x18dfV0x14dfV0xac4	0x18e8B0x14dfB0xac4
0x18dfV0x14dfV0xd08	0x18e8B0x14dfB0xd08
0x18dfV0x14dfV0x1451	0x18e8B0x14dfB0x1451
0x18e9V0x14dfV0x599	0x192bB0x14dfB0x599
0x18e9V0x14dfV0xc46	0x192bB0x14dfB0xc46
0x18e9V0x14dfV0xc80	0x192bB0x14dfB0xc80
0x18e9V0x14dfV0x505	0x192bB0x14dfB0x505
0x18e9V0x14dfV0x953	0x192bB0x14dfB0x953
0x18e9V0x14dfV0xac4	0x192bB0x14dfB0xac4
0x18e9V0x14dfV0xd08	0x192bB0x14dfB0xd08
0x18e9V0x14dfV0x1451	0x192bB0x14dfB0x1451
0x1918V0x14dfV0x599	0x1922B0x14dfB0x599
0x1918V0x14dfV0xc46	0x1922B0x14dfB0xc46
0x1918V0x14dfV0xc80	0x1922B0x14dfB0xc80
0x1918V0x14dfV0x505	0x1922B0x14dfB0x505
0x1918V0x14dfV0x953	0x1922B0x14dfB0x953
0x1918V0x14dfV0xac4	0x1922B0x14dfB0xac4
0x1918V0x14dfV0xd08	0x1922B0x14dfB0xd08
0x1918V0x14dfV0x1451	0x1922B0x14dfB0x1451
0x2ebcV0x18edV0x14dfV0x599	0x2ec7B0x18edB0x14dfB0x599
0x2ebcV0x18edV0x14dfV0xc46	0x2ec7B0x18edB0x14dfB0xc46
0x2ebcV0x18edV0x14dfV0xc80	0x2ec7B0x18edB0x14dfB0xc80
0x2ebcV0x18edV0x14dfV0x505	0x2ec7B0x18edB0x14dfB0x505
0x2ebcV0x18edV0x14dfV0x953	0x2ec7B0x18edB0x14dfB0x953
0x2ebcV0x18edV0x14dfV0xac4	0x2ec7B0x18edB0x14dfB0xac4
0x2ebcV0x18edV0x14dfV0xd08	0x2ec7B0x18edB0x14dfB0xd08
0x2ebcV0x18edV0x14dfV0x1451	0x2ec7B0x18edB0x14dfB0x1451
0x2ec8V0x18edV0x14dfV0x599	0x2ed4B0x18edB0x14dfB0x599
0x2ec8V0x18edV0x14dfV0xc46	0x2ed4B0x18edB0x14dfB0xc46
0x2ec8V0x18edV0x14dfV0xc80	0x2ed4B0x18edB0x14dfB0xc80
0x2ec8V0x18edV0x14dfV0x505	0x2ed4B0x18edB0x14dfB0x505
0x2ec8V0x18edV0x14dfV0x953	0x2ed4B0x18edB0x14dfB0x953
0x2ec8V0x18edV0x14dfV0xac4	0x2ed4B0x18edB0x14dfB0xac4
0x2ec8V0x18edV0x14dfV0xd08	0x2ed4B0x18edB0x14dfB0xd08
0x2ec8V0x18edV0x14dfV0x1451	0x2ed4B0x18edB0x14dfB0x1451
0x1a34V0x2ec7V0x18edV0x14dfV0x599	0x1a3cB0x2ec7B0x18edB0x14dfB0x599
0x1a34V0x2ec7V0x18edV0x14dfV0xc46	0x1a3cB0x2ec7B0x18edB0x14dfB0xc46
0x1a34V0x2ec7V0x18edV0x14dfV0xc80	0x1a3cB0x2ec7B0x18edB0x14dfB0xc80
0x1a34V0x2ec7V0x18edV0x14dfV0x505	0x1a3cB0x2ec7B0x18edB0x14dfB0x505
0x1a34V0x2ec7V0x18edV0x14dfV0x953	0x1a3cB0x2ec7B0x18edB0x14dfB0x953
