0x79c
0x2354
0x2374
0x241a
0x1febS0x245
0x1febS0x404
0x2440S0x2d52S0x1229S0x3ff
0x2e12S0x1386S0x3ff
0x2e34S0x1386S0x3ff
0x2440S0x2d9eS0x1386S0x3ff
0x2d87S0x2dc9S0x1386S0x3ff
0x1ee9S0x2dd3S0x1386S0x3ff
0x1ed9S0x2dd3S0x1386S0x3ff
0x2d87S0x2d93S0x1386S0x3ff
0x20fdS0x2df7S0x1386S0x3ff
0x1a0dS0x2e1dS0x1386S0x3ff
0x2440S0x2d52S0x1229S0x917
0x2e12S0x1386S0x917
0x2e34S0x1386S0x917
0x2440S0x2d9eS0x1386S0x917
0x2d87S0x2dc9S0x1386S0x917
0x1ee9S0x2dd3S0x1386S0x917
0x1ed9S0x2dd3S0x1386S0x917
0x2d87S0x2d93S0x1386S0x917
0x20fdS0x2df7S0x1386S0x917
0x1a0dS0x2e1dS0x1386S0x917
