0xc9
0xdd
0x134
0x143
0x172
0x181
0x1b4
0x1c3
0x1e2
0x272
0x2e5
0x3cd
0x3df
0x3e9
0x44c
0x4e6
0x5bb
0x60b
0x617
0x671
0x695
0x75e
0x810
0x8bf
0x965
0x9b7
0xa5d
0xa97
0xaa3
0xaad
0xb09
0xb41
0xbc4
0xc5b
0xcbe
0xcda
0xd14
0xd20
0xd7a
0xd9e
0xdb4
0xdfa
0xe93
0xea9
0xec5
0xef5
0xf9e
0x1020
0x107d
0x10f1
0x1198
0x1213
0x1357
0x13b9
0x142a
0x1473
0x1482
0x148e
0x14a0
0x14d9
0x15ce
0x162f
0x163b
0x1649
0x165a
0x166b
0x16ac
0x172c
0x1765
0x1770
0x179d
0x17a8
0x18d2
0x1984
0x198f
