0x0	__function_selector__
0xa5	()
0xa5	fallback()
0xa9	0x04e45aaf
0xbe	setOwner(address)
0xdd	swapExactTokensForTokens(uint256,uint256,address[],address)
0xf0	ver()
0x129	withdrawETH(address)
0x148	0x8793ad55
0x167	withdrawERC20(address,address)
0x186	tax()
0x1a9	0xb4e8cc93
0x1c8	approveToken(address,address,uint256)
0x1e7	init()
0x20a	0xf0759a4d
0xf6d	0xf6d
0xfef	0xfef
0x1167	0x1167
0x1326	0x1326
0x144e	0x144e
0x1507	0x1507
0x15ba	0x15ba
0x15ce	0x15ce
0x15de	0x15de
0x169c	0x169c
0x16be	0x16be
0x1754	0x1754
0x17c9	0x17c9
0x180d	0x180d
0x182a	0x182a
0x1849	0x1849
0x185c	0x185c
0x187b	0x187b
0x191a	0x191a
0x1941	0x1941
