0xb7
0xd8
0xeb
0x143
0x181
0x1c3
0x1e2
0x2f1
0x3df
0x3e9
0x3fb
0x470
0x50a
0x5df
0x617
0x621
0x695
0x6a0
0x774
0x971
0x9cc
0xa72
0xaa3
0xaad
0xab9
0xb2d
0xb56
0xbe8
0xc3f
0xc7f
0xccb
0xcef
0xd20
0xd2a
0xd9e
0xda9
0xdeb
0xe0f
0xea9
0xeb6
0xeda
0xf0a
0x10a1
0x1115
0x1237
0x13dd
0x1482
0x148e
0x14a0
0x14a9
0x14e6
0x14f3
0x163b
0x1649
0x165a
0x166b
0x1690
0x1746
0x1770
0x1780
0x17a8
0x17b8
0x18dc
0x198f
0x19a6
