0xbc
0xbd
0x289
0x28a
0x28c
0x28d
0x28e
0x28f
0x290
0x291
0xfea
0xfeb
0xfec
0xfed
0xfee
0x1161
0x1162
0x1163
0x1164
0x1165
0x1166
0x15d9
0x15da
0x15db
0x15dc
0x15dd
0x16b7
0x16b8
0x16b9
0x16ba
0x16bb
0x16bc
0x16bd
0x17f9
0x17fa
0x17ff
0x1801
0x1802
0x1803
0x1804
0x1806
0x1808
0x1809
0x180b
0x180c
0x1824
0x1825
0x1826
0x1827
0x1828
0x1829
0x1892
0x1893
0x1898
0x189a
0x189b
0x189c
0x189d
0x189f
0x18a1
0x18a2
0x18a4
0x18a5
0x70d5
0x718d
0x71d7
0x70d6
0x70d7
0x70d8
0x70d9
0x70da
0x718e
0x718f
0x7190
0x7191
0x7192
0x71d8
0x71d9
0x71da
0x71db
0x71dc
