0x52d	0xd5e961d6
0x578	0xc85d92c2
0x5b2	0xc6445e16
0x6b2	0xb1bb5bc1
0x6ec	0x98e4439a
0x72f	0x904cae5c
0x772	0x88003dd5
0x12d7	0x853c3f38
0x1311	0x7ef413e1
0x1348	0x7b6eb5f4
0x1362	0x762d0698
0x13a2	0x5817ebe4
0x150f	0x533c1273
0x15e3	0x45809d84
0x1978	0x2ab11a7a
0x1a62	0x299ed167
0x1a7b	0x1ffc9a7
0x1b1c	0xb16584
0x13c16	0xeeeeeeee
0x13c3d	0xfe02e33d
