0xa	0xa2
0x1da7	0x897e
0x1dad	0x1de9
0x1db5	0x89a8
0x1dbc	0x1de3
0x1dc0	0x1ddc
0x1dc6	0x1dd4
0x1dcb	0x13366
0x1df4	0x1e15
0x1dfa	0x1e05
0x1e0a	0x89ef
0x1e11	0x1db1
0x1e19	0x1df8
0x1f86	0x1f90
0x1fe3	0x1fea
0x1fee	0x1338d
0x2519	0x136a4
0x2561	0x8fcb
0x25c6	0x90170x25c0
0x2cda	0x2ce2
0x2ce4	0x2cf0
0x2d01	0x9202
0x2d0a	0x2d12
0x2d1e	0x2d06
0x2fa2	0x25c00x2fa0
0x3c5e	0x3c6b
0x3c73	0x3c7d
0x3c79	0x3c62
0x3cb6	0x3c77
0x3cc0	0x3cca
0x3cc6	0x3c77
0x12e95	0x1f420x5b2
0x12fff	0xe8e
0x13073	0xe8e
0x13c17	0x13c71
0x13c19	0x13c6e
0x13c1b	0x13c6b
0x13c1d	0x13c68
0x13c1f	0x13c65
0x13c21	0x13c62
0x13c23	0x13c5f
0x13c25	0x13c5c
0x13c27	0x13c59
0x13c29	0x13c56
0x13c2b	0x13c53
0x13c2d	0x13c50
0x13c2f	0x13c4d
0x13c31	0x13c4a
0x13c33	0x13c47
0x13c35	0x13c44
0x13c37	0x13c41
0x13c39	0x13c3e
0x2fa00x25c6	0x90170x2fa0
0x5b20x1f5d	0x8c540x5b2
0x1e49V0x1e5	0x8a58B0x1e5
0x1e26V0x1e5	0x8a12B0x1e5
0x1e38V0x1e5	0x8a35B0x1e5
0x1e77V0x20a	0x8ac1B0x20a
0x1e57V0x20a	0x8a7bB0x20a
0x1e69V0x20a	0x8a9eB0x20a
0x2071V0x439	0x8d78B0x439
0x205dV0x475	0x8d55B0x475
0x1e77V0x551	0x8ac1B0x551
0x1e57V0x551	0x8a7bB0x551
0x1e69V0x551	0x8a9eB0x551
0x1e98V0x5b8	0x8b07B0x5b8
0x1ea7V0x5b8	0x8b2aB0x5b8
0x1e85V0x5b8	0x8ae4B0x5b8
0x3302V0x7c7	0x3307B0x7c7
0x205dV0x929	0x8d55B0x929
0x2071V0xa67	0x8d78B0xa67
0x33d4V0xe0e	0x9378B0xe0e
0x33d4V0xe1f	0x9378B0xe1f
0x1f01V0x12aa	0x8b70B0x12aa
0x3302V0x13b3	0x3307B0x13b3
0x1f5dV0x1583	0x8c540x1f42B0x1583
0x3302V0x162a	0x3307B0x162a
0x21ceV0x1681	0x8e04B0x1681
0x2099V0x19c4	0x8dbeB0x19c4
0x20a9V0x19c4	0x8de1B0x19c4
0x2086V0x19c4	0x8d9bB0x19c4
0x1e98V0x1a68	0x8b07B0x1a68
0x1ea7V0x1a68	0x8b2aB0x1a68
0x1e85V0x1a68	0x8ae4B0x1a68
0x1e49V0x1b8b	0x8a58B0x1b8b
0x1e26V0x1b8b	0x8a12B0x1b8b
0x1e38V0x1b8b	0x8a35B0x1b8b
0x1e77V0x1bad	0x8ac1B0x1bad
0x1e57V0x1bad	0x8a7bB0x1bad
0x1e69V0x1bad	0x8a9eB0x1bad
0x205dV0x1db9	0x8d55B0x1db9
0x1f5dV0x87	0x8c540x1f42B0x87
0x2593V0x217	0x2598B0x217
0x203dV0x248	0x8d0fB0x248
0x204aV0x248	0x8d32B0x248
0x202aV0x248	0x8cecB0x248
0x205dV0x25e	0x8d55B0x25e
0x2099V0x271	0x8dbeB0x271
0x20a9V0x271	0x8de1B0x271
0x2086V0x271	0x8d9bB0x271
0x1f1eV0x28a	0x8bbcB0x28a
0x2dcbV0x3ad	0x2d8bB0x3ad
0x2d42V0x3ad	0x2d4dB0x3ad
0x2d8fV0x3ad	0x2dadB0x3ad
0x2da9V0x3ad	0x2d3eB0x3ad
0x2dfeV0x3c6	0x2ddfB0x3c6
0x2de3V0x3c6	0x2decB0x3c6
0x1f5dV0x486	0x8c540x1f42B0x486
0x1f5dV0x4db	0x8c540x1f42B0x4db
0x205dV0x5c2	0x8d55B0x5c2
0x2099V0x5d1	0x8dbeB0x5d1
0x20a9V0x5d1	0x8de1B0x5d1
0x2086V0x5d1	0x8d9bB0x5d1
0x2071V0x609	0x8d78B0x609
0x1f5dV0x12eb8	0x8c540x1f42B0x12eb8
0x20d2V0x5e8	0x20b1B0x5e8
0x20b5V0x5e8	0x20beB0x5e8
0x2071V0x61e	0x8d78B0x61e
0x1f5dV0x81e	0x8c540x1f42B0x81e
0x205dV0x860	0x8d55B0x860
0x205dV0x87a	0x8d55B0x87a
0x2099V0x88a	0x8dbeB0x88a
0x20a9V0x88a	0x8de1B0x88a
0x2086V0x88a	0x8d9bB0x88a
0x2099V0x89e	0x8dbeB0x89e
0x20a9V0x89e	0x8de1B0x89e
0x2086V0x89e	0x8d9bB0x89e
0x33bbV0x8ea	0x9309B0x8ea
0x1f5dV0x24d9	0x8c540x1f42B0x24d9
0x205dV0x936	0x8d55B0x936
0x33bbV0x944	0x9309B0x944
0x2099V0x953	0x8dbeB0x953
0x20a9V0x953	0x8de1B0x953
0x2086V0x953	0x8d9bB0x953
0x1f5dV0x986	0x8c540x1f42B0x986
0x1f5dV0x12f2d	0x8c540x1f42B0x12f2d
0x20d2V0x12f5a	0x20b1B0x12f5a
0x20b5V0x12f5a	0x20beB0x12f5a
0x2099V0x9a2	0x8dbeB0x9a2
0x20a9V0x9a2	0x8de1B0x9a2
0x2086V0x9a2	0x8d9bB0x9a2
0x1f1eV0x9c8	0x8bbcB0x9c8
0x1f5dV0x12f8d	0x8c540x1f42B0x12f8d
0x20d2V0x12fba	0x20b1B0x12fba
0x20b5V0x12fba	0x20beB0x12fba
0x21f6V0x9da	0x8e4aB0x9da
0x2206V0x9da	0x8e6dB0x9da
0x21e3V0x9da	0x8e27B0x9da
0x2099V0xa4b	0x8dbeB0xa4b
0x20a9V0xa4b	0x8de1B0xa4b
0x2086V0xa4b	0x8d9bB0xa4b
0x203dV0xa7e	0x8d0fB0xa7e
0x204aV0xa7e	0x8d32B0xa7e
0x202aV0xa7e	0x8cecB0xa7e
0x2478V0xb85	0x8f85B0xb85
0x1f5dV0xd0f	0x8c540x1f42B0xd0f
0x203dV0xabd	0x8d0fB0xabd
0x204aV0xabd	0x8d32B0xabd
0x202aV0xabd	0x8cecB0xabd
0x33d4V0xe3a	0x9378B0xe3a
0x205dV0x1186	0x8d55B0x1186
0x33d4V0x12fed	0x9378B0x12fed
0x1f5dV0x10db	0x8c540x1f42B0x10db
0x2071V0x11a9	0x8d78B0x11a9
0x33d4V0x13061	0x9378B0x13061
