0x0	0xd
0xd	0x1d
0x21	0x1007
0x28	0x86
0x29c	0x2ab
0x2ae	0x2ce
0x2d1	0x2e9
0x2ec	0x2f9
0x2fc	0x30f
0x312	0x320
0x105B0xb8B0x9d	0x110B0xb8B0x9d
0x172B0xb8B0x9d	0x18cB0xb8B0x9d
0x1acB0xb8B0x9d	0x1b1B0xb8B0x9d
0x1cbB0x1b1B0xb8B0x9d	0x1d3B0x1b1B0xb8B0x9d
0x1e0B0x1b1B0xb8B0x9d	0x1eaB0x1b1B0xb8B0x9d
0x25aB0x1b1B0xb8B0x9d	0x262B0x1b1B0xb8B0x9d
0x204B0x1b1B0xb8B0x9d	0x20aB0x1b1B0xb8B0x9d
0x1eaB0x1b1B0xb8B0x9d	0x204B0x1b1B0xb8B0x9d
0xfbB0x9d	0xfeB0x9d
