task,model,seed,fold,threshold,splitter,split,selected_C,inner_selection_AUPRC
primary,abl_struct_sel_only,7705,0,0.13721580803394318,StratifiedGroupKFold,family,,
primary,abl_struct_sel_only,7705,1,0.04542827606201172,StratifiedGroupKFold,family,,
primary,abl_struct_sel_only,7705,2,0.11635906249284744,StratifiedGroupKFold,family,,
primary,abl_struct_sel_only,7705,3,0.14491301774978638,StratifiedGroupKFold,family,,
primary,abl_struct_sel_only,7705,4,0.020552903413772583,StratifiedGroupKFold,family,,
primary,abl_struct_sel_only,7706,0,0.4215083420276642,StratifiedGroupKFold,family,,
primary,abl_struct_sel_only,7706,1,0.10848239064216614,StratifiedGroupKFold,family,,
primary,abl_struct_sel_only,7706,2,0.14246924221515656,StratifiedGroupKFold,family,,
primary,abl_struct_sel_only,7706,3,0.26889511942863464,StratifiedGroupKFold,family,,
primary,abl_struct_sel_only,7706,4,0.025351976975798607,StratifiedGroupKFold,family,,
primary,abl_hist_only,7702,0,0.3767125904560089,StratifiedGroupKFold,family,,
primary,abl_hist_only,7702,1,0.2798100709915161,StratifiedGroupKFold,family,,
primary,abl_hist_only,7702,2,0.04044872149825096,StratifiedGroupKFold,family,,
primary,abl_hist_only,7702,3,0.07473854720592499,StratifiedGroupKFold,family,,
primary,abl_hist_only,7702,4,0.08176664263010025,StratifiedGroupKFold,family,,
primary,abl_hist_only,7703,0,0.14541509747505188,StratifiedGroupKFold,family,,
primary,abl_hist_only,7703,1,0.12350216507911682,StratifiedGroupKFold,family,,
primary,abl_hist_only,7703,2,0.18783006072044373,StratifiedGroupKFold,family,,
primary,abl_hist_only,7703,3,0.30117276310920715,StratifiedGroupKFold,family,,
primary,abl_hist_only,7703,4,0.19421876966953278,StratifiedGroupKFold,family,,
primary,abl_hist_only,7704,0,0.20574326813220978,StratifiedGroupKFold,family,,
primary,abl_hist_only,7704,1,0.11599133163690567,StratifiedGroupKFold,family,,
primary,abl_hist_only,7704,2,0.06266256421804428,StratifiedGroupKFold,family,,
primary,abl_hist_only,7704,3,0.19021454453468323,StratifiedGroupKFold,family,,
primary,abl_hist_only,7704,4,0.18473297357559204,StratifiedGroupKFold,family,,
primary,abl_hist_only,7705,0,0.16139693558216095,StratifiedGroupKFold,family,,
primary,abl_hist_only,7705,1,0.19225354492664337,StratifiedGroupKFold,family,,
primary,abl_hist_only,7705,2,0.2327568233013153,StratifiedGroupKFold,family,,
primary,abl_hist_only,7705,3,0.1411598026752472,StratifiedGroupKFold,family,,
primary,abl_hist_only,7705,4,0.3687964975833893,StratifiedGroupKFold,family,,
primary,abl_hist_only,7706,0,0.15416255593299866,StratifiedGroupKFold,family,,
primary,abl_hist_only,7706,1,0.1379622370004654,StratifiedGroupKFold,family,,
primary,abl_hist_only,7706,2,0.049412064254283905,StratifiedGroupKFold,family,,
primary,abl_hist_only,7706,3,0.08978331834077835,StratifiedGroupKFold,family,,
primary,abl_hist_only,7706,4,0.20931342244148254,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7702,0,0.1316637247800827,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7702,1,0.20013077557086945,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7702,2,0.1233382597565651,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7702,3,0.06914599239826202,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7702,4,0.06698749959468842,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7703,0,0.20731638371944427,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7703,1,0.25251010060310364,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7703,2,0.09419100731611252,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7703,3,0.09315952658653259,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7703,4,0.20405374467372894,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7704,0,0.16726364195346832,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7704,1,0.34006109833717346,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7704,2,0.03924574702978134,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7704,3,0.05821914225816727,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7704,4,0.21073725819587708,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7705,0,0.09056701511144638,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7705,1,0.1497209519147873,StratifiedGroupKFold,family,,
primary,abl_ngram_only,7705,2,0.14388075470924377,StratifiedGroupKFold,family,,
