condition,seed,fold,model,n_test,n_positive,AUPRC,AUROC,Brier,threshold_05,recall_at_5pct_nominal_fpr,realized_fpr_at_threshold
bridge_frozen_folds,7703,0,authguard_seq,446,152,0.755891916599704,0.8110119047619048,0.1720504369371167,0.6515356724612891,0.5723684210526315,0.06802721088435375
bridge_frozen_folds,7703,0,emulator_logreg,446,152,0.9082057683121552,0.9662101682778376,0.057373527929074845,0.8377327867835411,0.6907894736842105,0.034013605442176874
bridge_frozen_folds,7703,1,authguard_seq,446,146,0.926941417288932,0.9654337899543378,0.05174097374533647,0.6968296979351614,0.9452054794520548,0.05333333333333334
bridge_frozen_folds,7703,1,emulator_logreg,446,146,0.8921061272976386,0.9504452054794521,0.10495283629194274,0.0839932650937046,1.0,0.19333333333333333
bridge_frozen_folds,7703,2,authguard_seq,427,145,0.9349189482517035,0.9749572022499389,0.06185303900652159,0.02520124411019088,0.9724137931034482,0.07092198581560284
bridge_frozen_folds,7703,2,emulator_logreg,427,145,0.9292090609179846,0.979224749327464,0.037717627610402406,0.6722747523170792,0.9586206896551724,0.03900709219858156
bridge_frozen_folds,7703,3,authguard_seq,447,93,0.9889539792650509,0.9967802685134561,0.019061699269622964,0.8253296992563424,0.9032258064516129,0.002824858757062147
bridge_frozen_folds,7703,3,emulator_logreg,447,93,0.9082511644850084,0.9811372334609075,0.051423419361218116,0.843137216562728,0.7526881720430108,0.014124293785310734
bridge_frozen_folds,7703,4,authguard_seq,424,191,0.9509509900435533,0.968676269015572,0.09861454407712877,0.30699338025673345,0.8691099476439791,0.06437768240343347
bridge_frozen_folds,7703,4,emulator_logreg,424,191,0.938794804517641,0.9679235107745545,0.05075455447979461,0.7873964211563192,0.7329842931937173,0.04721030042918455
