estimator,tier,model,architecture,clean_detection,ASR_random_search,ASR_beam_search,ASR_best_of,n_eligible,n_eligible_families,seed_scope
B_main_paper_pooled,B,authguard_seq,AuthGuard-Seq,0.8569463548830811,0.18245050829320492,0.14178705189941146,0.18245050829320492,1869,197,"[7702, 7703, 7704]"
B_main_paper_pooled,B,emulator_logreg,15-feature LR,0.8253094910591472,0.5416666666666666,0.43166666666666664,0.5416666666666666,1800,160,"[7702, 7703, 7704]"
