condition,seed,fold,model,n_test,n_positive,AUPRC,AUROC,Brier,threshold_05,recall_at_5pct_nominal_fpr,realized_fpr_at_threshold
bridge_frozen_folds,7702,0,authguard_seq,446,152,0.8299531181231297,0.8851928929466523,0.1536531894622319,0.7618428931085479,0.5723684210526315,0.0306122448979591
bridge_frozen_folds,7702,0,emulator_logreg,446,152,0.9082057683121552,0.9662101682778376,0.0573735279290748,0.8377327867835411,0.6907894736842105,0.0340136054421768
bridge_frozen_folds,7702,1,authguard_seq,446,146,0.9451486191609456,0.9660730593607306,0.0629819529165667,0.9076915208185892,0.863013698630137,0.04
bridge_frozen_folds,7702,1,emulator_logreg,446,146,0.8921061272976386,0.950445205479452,0.1049528362919427,0.0839932650937046,1.0,0.1933333333333333
bridge_frozen_folds,7702,2,authguard_seq,427,145,0.9290184905818536,0.9737099535338714,0.0953062317341038,0.0180898885025711,0.903448275862069,0.0602836879432624
bridge_frozen_folds,7702,2,emulator_logreg,427,145,0.9292090609179846,0.979224749327464,0.0377176276104024,0.6722747523170792,0.9586206896551724,0.0390070921985815
bridge_frozen_folds,7702,3,authguard_seq,447,93,0.958906605586601,0.9872425733552032,0.0366613865004371,0.2465430346977775,0.9247311827956988,0.03954802259887
bridge_frozen_folds,7702,3,emulator_logreg,447,93,0.9082511644850084,0.9811372334609076,0.0514234193612181,0.843137216562728,0.7526881720430108,0.0141242937853107
bridge_frozen_folds,7702,4,authguard_seq,424,191,0.9478632215333472,0.9757769139159158,0.0551570407302698,0.4413152162682826,0.9895287958115184,0.0901287553648068
bridge_frozen_folds,7702,4,emulator_logreg,424,191,0.938794804517641,0.9679235107745544,0.0507545544797946,0.7873964211563192,0.7329842931937173,0.0472103004291845
bridge_frozen_folds,7703,0,authguard_seq,446,152,0.755891916599704,0.8110119047619048,0.1720504369371167,0.6515356724612891,0.5723684210526315,0.0680272108843537
bridge_frozen_folds,7703,0,emulator_logreg,446,152,0.9082057683121552,0.9662101682778376,0.0573735279290748,0.8377327867835411,0.6907894736842105,0.0340136054421768
bridge_frozen_folds,7703,1,authguard_seq,446,146,0.926941417288932,0.9654337899543378,0.0517409737453364,0.6968296979351614,0.9452054794520548,0.0533333333333333
bridge_frozen_folds,7703,1,emulator_logreg,446,146,0.8921061272976386,0.950445205479452,0.1049528362919427,0.0839932650937046,1.0,0.1933333333333333
bridge_frozen_folds,7703,2,authguard_seq,427,145,0.9349189482517036,0.9749572022499388,0.0618530390065215,0.0252012441101908,0.9724137931034482,0.0709219858156028
bridge_frozen_folds,7703,2,emulator_logreg,427,145,0.9292090609179846,0.979224749327464,0.0377176276104024,0.6722747523170792,0.9586206896551724,0.0390070921985815
bridge_frozen_folds,7703,3,authguard_seq,447,93,0.9889539792650508,0.996780268513456,0.0190616992696229,0.8253296992563424,0.9032258064516128,0.0028248587570621
bridge_frozen_folds,7703,3,emulator_logreg,447,93,0.9082511644850084,0.9811372334609076,0.0514234193612181,0.843137216562728,0.7526881720430108,0.0141242937853107
bridge_frozen_folds,7703,4,authguard_seq,424,191,0.9509509900435532,0.968676269015572,0.0986145440771287,0.3069933802567334,0.8691099476439791,0.0643776824034334
bridge_frozen_folds,7703,4,emulator_logreg,424,191,0.938794804517641,0.9679235107745544,0.0507545544797946,0.7873964211563192,0.7329842931937173,0.0472103004291845
bridge_frozen_folds,7704,0,authguard_seq,446,152,0.9068951930486492,0.964095506623702,0.0741400278608397,0.6098818796266194,0.5592105263157895,0.0408163265306122
bridge_frozen_folds,7704,0,emulator_logreg,446,152,0.9082057683121552,0.9662101682778376,0.0573735279290748,0.8377327867835411,0.6907894736842105,0.0340136054421768
bridge_frozen_folds,7704,1,authguard_seq,446,146,0.9563391370878308,0.983972602739726,0.050710457996556,0.0910121182535864,0.958904109589041,0.0566666666666666
bridge_frozen_folds,7704,1,emulator_logreg,446,146,0.8921061272976386,0.950445205479452,0.1049528362919427,0.0839932650937046,1.0,0.1933333333333333
bridge_frozen_folds,7704,2,authguard_seq,427,145,0.9515485113532336,0.9731230129616044,0.0709055067739073,0.0098780819502646,0.9724137931034482,0.0744680851063829
bridge_frozen_folds,7704,2,emulator_logreg,427,145,0.9292090609179846,0.979224749327464,0.0377176276104024,0.6722747523170792,0.9586206896551724,0.0390070921985815
bridge_frozen_folds,7704,3,authguard_seq,447,93,0.984604987286722,0.9944717817872548,0.0205175940831719,0.6667040761323692,0.8602150537634409,0.0028248587570621
bridge_frozen_folds,7704,3,emulator_logreg,447,93,0.9082511644850084,0.9811372334609076,0.0514234193612181,0.843137216562728,0.7526881720430108,0.0141242937853107
bridge_frozen_folds,7704,4,authguard_seq,424,191,0.96550856069192,0.9812821607532076,0.0592632482807189,0.3640028706607608,0.9842931937172776,0.0643776824034334
bridge_frozen_folds,7704,4,emulator_logreg,424,191,0.938794804517641,0.9679235107745544,0.0507545544797946,0.7873964211563192,0.7329842931937173,0.0472103004291845
