seed,architecture,model_key,trainable_parameters,clean_detection_rate,n_positive_observations,validation_thresholds_by_fold,n_eligible_observations,n_eligible_families,random_successes,random_ASR,beam_successes,beam_ASR,robust_recall,invalid_attack_records,failed_attack_records,total_attack_queries,clean_AUPRC
7702,Chunk attention,chunk_attention_16384,30050,0.8473177441540578,727,"[0.019701, 0.292505, 0.354177, 0.387151, 0.764087]",616,186,46,0.07467532467532467,42,0.06818181818181818,0.7840440165061898,0,1144,59292,
7702,Chunk mean,chunk_mean_16384,29985,0.7689133425034388,727,"[0.380426, 0.490912, 0.555422, 0.743539, 0.784096]",559,176,551,0.9856887298747764,516,0.9230769230769231,0.0068775790921595595,0,51,58731,
7702,Flat control,flat_control_16384,29985,0.8308115543328748,727,"[0.218248, 0.227108, 0.446667, 0.643934, 0.707079]",604,191,537,0.8890728476821192,426,0.7052980132450332,0.08940852819807428,0,245,58867,
7703,Chunk attention,chunk_attention_16384,30050,0.8376891334250344,727,"[0.305718, 0.388257, 0.430112, 0.61525, 0.828559]",609,187,58,0.09523809523809523,41,0.06732348111658457,0.7579092159559835,0,1119,58264,
7703,Chunk mean,chunk_mean_16384,29985,0.7799174690508941,727,"[0.450543, 0.672685, 0.700302, 0.746927, 0.804016]",567,174,565,0.9964726631393298,541,0.9541446208112875,0.002751031636863824,0,28,58435,
7703,Flat control,flat_control_16384,29985,0.811554332874828,727,"[0.301801, 0.392522, 0.66373, 0.694501, 0.795966]",590,181,495,0.8389830508474576,415,0.7033898305084746,0.12242090784044017,0,270,58820,
7704,Chunk attention,chunk_attention_16384,30050,0.8308115543328748,727,"[0.053473, 0.227378, 0.269195, 0.41317, 0.929999]",604,179,78,0.1291390728476821,58,0.09602649006622517,0.7207702888583218,0,1072,58631,
7704,Chunk mean,chunk_mean_16384,29985,0.7634112792297112,727,"[0.482978, 0.539323, 0.590494, 0.782103, 0.842532]",555,173,552,0.9945945945945946,522,0.9405405405405406,0.0041265474552957355,0,36,58677,
7704,Flat control,flat_control_16384,29985,0.811554332874828,727,"[0.297007, 0.466182, 0.724435, 0.788035, 0.795308]",590,185,538,0.911864406779661,460,0.7796610169491526,0.06464924346629987,0,182,58648,
