architecture,model_key,trainable_parameters,n_seeds,clean_detection_mean,clean_detection_sd,random_ASR_mean,random_ASR_sd,beam_ASR_mean,beam_ASR_sd,robust_recall_mean,robust_recall_sd
Chunk attention,chunk_attention_16384,30050,3,0.8386061439706557,0.006769749225233134,0.09968416425370068,0.022455891780913343,0.07717726312154265,0.013333021736488143,0.7542411737734985,0.025961279535794725
Chunk mean,chunk_mean_16384,29985,3,0.7707473635946812,0.006862278563546876,0.9922519958695669,0.004703837493895199,0.939254028142917,0.012715916436770265,0.004585052728106373,0.001715569640886722
Flat control,flat_control_16384,29985,3,0.817973406694177,0.009077941253197304,0.8799734351030793,0.030441446446052477,0.7294496202342201,0.035513364248662534,0.0921595598349381,0.02366526896022731
