0x8	0xf
0x1d9dV0x1e30V0x1e57V0xf7	0x1da5B0x1e30B0x1e57B0xf7
0x1da1V0x1e30V0x1e57V0xf7	0x1d45B0x1e30B0x1e57B0xf7
0x1dbfV0x1e30V0x1e57V0xf7	0x1dc7B0x1e30B0x1e57B0xf7
0x1dc3V0x1e30V0x1e57V0xf7	0x1d7aB0x1e30B0x1e57B0xf7
0x1d65V0x1e30V0x1e57V0xf7	0x1d6eB0x1e30B0x1e57B0xf7
0x1d6aV0x1e30V0x1e57V0xf7	0x1d54B0x1e30B0x1e57B0xf7
0x1dd1V0x1e30V0x1e57V0xf7	0x1da8B0x1e30B0x1e57B0xf7
0x1dadV0x1e30V0x1e57V0xf7	0x1dd5B0x1e30B0x1e57B0xf7
0x1d88V0x1e30V0x1e57V0xf7	0x1d90B0x1e30B0x1e57B0xf7
0x1d8cV0x1e30V0x1e57V0xf7	0x1d2bB0x1e30B0x1e57B0xf7
0x1db3V0x1e30V0x1e57V0xf7	0x1dbcB0x1e30B0x1e57B0xf7
0x1db8V0x1e30V0x1e57V0xf7	0x1d63B0x1e30B0x1e57B0xf7
0x1cf4V0x1d54V0x1e30V0x1e57V0xf7	0x1cfcB0x1d54B0x1e30B0x1e57B0xf7
0x1cf8V0x1d54V0x1e30V0x1e57V0xf7	0x1cd3B0x1d54B0x1e30B0x1e57B0xf7
0x1d55V0x1de2V0x1e57V0xf7	0x1d5dB0x1de2B0x1e57B0xf7
0x1d91V0x1de2V0x1e57V0xf7	0x1d9aB0x1de2B0x1e57B0xf7
0x1d96V0x1de2V0x1e57V0xf7	0x1d35B0x1de2B0x1e57B0xf7
0x1d9dV0x1de2V0x1e57V0xf7	0x1da5B0x1de2B0x1e57B0xf7
0x1da1V0x1de2V0x1e57V0xf7	0x1d45B0x1de2B0x1e57B0xf7
0x1dbfV0x1de2V0x1e57V0xf7	0x1dc7B0x1de2B0x1e57B0xf7
0x1dc3V0x1de2V0x1e57V0xf7	0x1d7aB0x1de2B0x1e57B0xf7
0x1d65V0x1de2V0x1e57V0xf7	0x1d6eB0x1de2B0x1e57B0xf7
0x1d6aV0x1de2V0x1e57V0xf7	0x1d54B0x1de2B0x1e57B0xf7
0x1dd1V0x1de2V0x1e57V0xf7	0x1da8B0x1de2B0x1e57B0xf7
0x1dadV0x1de2V0x1e57V0xf7	0x1dd5B0x1de2B0x1e57B0xf7
0x1d88V0x1de2V0x1e57V0xf7	0x1d90B0x1de2B0x1e57B0xf7
0x1d8cV0x1de2V0x1e57V0xf7	0x1d2bB0x1de2B0x1e57B0xf7
0x1db3V0x1de2V0x1e57V0xf7	0x1dbcB0x1de2B0x1e57B0xf7
0x1db8V0x1de2V0x1e57V0xf7	0x1d63B0x1de2B0x1e57B0xf7
0x1cf4V0x1d54V0x1de2V0x1e57V0xf7	0x1cfcB0x1d54B0x1de2B0x1e57B0xf7
0x1cf8V0x1d54V0x1de2V0x1e57V0xf7	0x1cd3B0x1d54B0x1de2B0x1e57B0xf7
0x1fbbV0x151	0x1fc4B0x151
0x1f62V0x1facV0x151	0x1f6bB0x1facB0x151
0x1f7cV0x1facV0x151	0x1f85B0x1facB0x151
0x1f96V0x1facV0x151	0x1f9fB0x1facB0x151
0x1f48V0x1facV0x151	0x1f51B0x1facB0x151
0x1eaaV0x1f51V0x1facV0x151	0x1eb2B0x1f51B0x1facB0x151
0x1ee6V0x1f51V0x1facV0x151	0x1eefB0x1f51B0x1facB0x151
0x1eebV0x1f51V0x1facV0x151	0x1e81B0x1f51B0x1facB0x151
0x1ef2V0x1f51V0x1facV0x151	0x1efaB0x1f51B0x1facB0x151
0x1ef6V0x1f51V0x1facV0x151	0x1e91B0x1f51B0x1facB0x151
0x1f14V0x1f51V0x1facV0x151	0x1f1cB0x1f51B0x1facB0x151
0x1f18V0x1f51V0x1facV0x151	0x1ecfB0x1f51B0x1facB0x151
0x1ebaV0x1f51V0x1facV0x151	0x1ec3B0x1f51B0x1facB0x151
0x1ebfV0x1f51V0x1facV0x151	0x1ea9B0x1f51B0x1facB0x151
0x1f26V0x1f51V0x1facV0x151	0x1efdB0x1f51B0x1facB0x151
0x1f02V0x1f51V0x1facV0x151	0x1f2aB0x1f51B0x1facB0x151
0x1eddV0x1f51V0x1facV0x151	0x1ee5B0x1f51B0x1facB0x151
0x1ee1V0x1f51V0x1facV0x151	0x1e77B0x1f51B0x1facB0x151
0x1f08V0x1f51V0x1facV0x151	0x1f11B0x1f51B0x1facB0x151
0x1f0dV0x1f51V0x1facV0x151	0x1eb8B0x1f51B0x1facB0x151
0x1eaaV0x1f6bV0x1facV0x151	0x1eb2B0x1f6bB0x1facB0x151
0x1ee6V0x1f6bV0x1facV0x151	0x1eefB0x1f6bB0x1facB0x151
0x1eebV0x1f6bV0x1facV0x151	0x1e81B0x1f6bB0x1facB0x151
0x1ef2V0x1f6bV0x1facV0x151	0x1efaB0x1f6bB0x1facB0x151
0x1ef6V0x1f6bV0x1facV0x151	0x1e91B0x1f6bB0x1facB0x151
0x1f14V0x1f6bV0x1facV0x151	0x1f1cB0x1f6bB0x1facB0x151
0x1f18V0x1f6bV0x1facV0x151	0x1ecfB0x1f6bB0x1facB0x151
0x1ebaV0x1f6bV0x1facV0x151	0x1ec3B0x1f6bB0x1facB0x151
0x1ebfV0x1f6bV0x1facV0x151	0x1ea9B0x1f6bB0x1facB0x151
0x1f26V0x1f6bV0x1facV0x151	0x1efdB0x1f6bB0x1facB0x151
0x1f02V0x1f6bV0x1facV0x151	0x1f2aB0x1f6bB0x1facB0x151
0x1eddV0x1f6bV0x1facV0x151	0x1ee5B0x1f6bB0x1facB0x151
0x1ee1V0x1f6bV0x1facV0x151	0x1e77B0x1f6bB0x1facB0x151
0x1f08V0x1f6bV0x1facV0x151	0x1f11B0x1f6bB0x1facB0x151
0x1f0dV0x1f6bV0x1facV0x151	0x1eb8B0x1f6bB0x1facB0x151
0x1eaaV0x1f85V0x1facV0x151	0x1eb2B0x1f85B0x1facB0x151
0x1ee6V0x1f85V0x1facV0x151	0x1eefB0x1f85B0x1facB0x151
0x1eebV0x1f85V0x1facV0x151	0x1e81B0x1f85B0x1facB0x151
0x1ef2V0x1f85V0x1facV0x151	0x1efaB0x1f85B0x1facB0x151
0x1ef6V0x1f85V0x1facV0x151	0x1e91B0x1f85B0x1facB0x151
0x1f14V0x1f85V0x1facV0x151	0x1f1cB0x1f85B0x1facB0x151
0x1f18V0x1f85V0x1facV0x151	0x1ecfB0x1f85B0x1facB0x151
0x1ebaV0x1f85V0x1facV0x151	0x1ec3B0x1f85B0x1facB0x151
0x1ebfV0x1f85V0x1facV0x151	0x1ea9B0x1f85B0x1facB0x151
0x1f26V0x1f85V0x1facV0x151	0x1efdB0x1f85B0x1facB0x151
0x1f02V0x1f85V0x1facV0x151	0x1f2aB0x1f85B0x1facB0x151
0x1eddV0x1f85V0x1facV0x151	0x1ee5B0x1f85B0x1facB0x151
0x1ee1V0x1f85V0x1facV0x151	0x1e77B0x1f85B0x1facB0x151
0x1f08V0x1f85V0x1facV0x151	0x1f11B0x1f85B0x1facB0x151
0x1f0dV0x1f85V0x1facV0x151	0x1eb8B0x1f85B0x1facB0x151
0x1eaaV0x1f37V0x1facV0x151	0x1eb2B0x1f37B0x1facB0x151
0x1ee6V0x1f37V0x1facV0x151	0x1eefB0x1f37B0x1facB0x151
0x1eebV0x1f37V0x1facV0x151	0x1e81B0x1f37B0x1facB0x151
0x1ef2V0x1f37V0x1facV0x151	0x1efaB0x1f37B0x1facB0x151
0x1ef6V0x1f37V0x1facV0x151	0x1e91B0x1f37B0x1facB0x151
0x1f14V0x1f37V0x1facV0x151	0x1f1cB0x1f37B0x1facB0x151
0x1f18V0x1f37V0x1facV0x151	0x1ecfB0x1f37B0x1facB0x151
0x1ebaV0x1f37V0x1facV0x151	0x1ec3B0x1f37B0x1facB0x151
0x1ebfV0x1f37V0x1facV0x151	0x1ea9B0x1f37B0x1facB0x151
0x1f26V0x1f37V0x1facV0x151	0x1efdB0x1f37B0x1facB0x151
0x1f02V0x1f37V0x1facV0x151	0x1f2aB0x1f37B0x1facB0x151
0x1eddV0x1f37V0x1facV0x151	0x1ee5B0x1f37B0x1facB0x151
0x1ee1V0x1f37V0x1facV0x151	0x1e77B0x1f37B0x1facB0x151
0x1f08V0x1f37V0x1facV0x151	0x1f11B0x1f37B0x1facB0x151
0x1f0dV0x1f37V0x1facV0x151	0x1eb8B0x1f37B0x1facB0x151
0x2c3V0xef	0x4ad4B0xef
0x39eV0xef	0x4b20B0xef
0x479V0xef	0x4b6cB0xef
0x554V0xef	0x4bb8B0xef
0x5efV0xef	0x5f8B0xef
0x648V0xef	0x4c04B0xef
0x6f8V0xef	0x701B0xef
0x752V0xef	0x4c50B0xef
0x802V0xef	0x80bB0xef
0x85cV0xef	0x4c9cB0xef
0x90cV0xef	0x915B0xef
0x966V0xef	0x4ce8B0xef
0x20eV0xef	0x215B0xef
0x211V0xef	0x1c83B0xef
0x280V0xef	0x28bB0xef
0x2a6V0xef	0x2afB0xef
0x2bcV0xef	0x2c8B0xef
0x2deV0xef	0x2f6B0xef
0x35bV0xef	0x366B0xef
0x381V0xef	0x38aB0xef
0x397V0xef	0x3a3B0xef
0x3b9V0xef	0x3d1B0xef
0x436V0xef	0x441B0xef
0x45cV0xef	0x465B0xef
0x472V0xef	0x47eB0xef
0x494V0xef	0x4acB0xef
0x511V0xef	0x51cB0xef
0x537V0xef	0x540B0xef
0x54dV0xef	0x559B0xef
0x56fV0xef	0x587B0xef
0x608V0xef	0x613B0xef
0x62eV0xef	0x637B0xef
0x641V0xef	0x64dB0xef
0x690V0xef	0x592B0xef
0x59bV0xef	0x694B0xef
0x711V0xef	0x71cB0xef
0x737V0xef	0x740B0xef
0x74bV0xef	0x757B0xef
0x79aV0xef	0x69aB0xef
0x6a4V0xef	0x79eB0xef
0x81bV0xef	0x826B0xef
0x841V0xef	0x84aB0xef
0x855V0xef	0x861B0xef
0x8a4V0xef	0x7a4B0xef
0x7aeV0xef	0x8a8B0xef
0x925V0xef	0x930B0xef
0x94bV0xef	0x954B0xef
0x95fV0xef	0x96bB0xef
0x9aeV0xef	0x8aeB0xef
0x8b8V0xef	0x9b2B0xef
0x23b2V0x59fV0xef	0x23bdB0x59fB0xef
0x23b9V0x59fV0xef	0x239bB0x59fB0xef
0x239cV0x59fV0xef	0x23a4B0x59fB0xef
0x23b2V0x6a8V0xef	0x23bdB0x6a8B0xef
0x23b9V0x6a8V0xef	0x239bB0x6a8B0xef
0x239cV0x6a8V0xef	0x23a4B0x6a8B0xef
0x23b2V0x7b2V0xef	0x23bdB0x7b2B0xef
0x23b9V0x7b2V0xef	0x239bB0x7b2B0xef
0x239cV0x7b2V0xef	0x23a4B0x7b2B0xef
0x23b2V0x8bcV0xef	0x23bdB0x8bcB0xef
0x23b9V0x8bcV0xef	0x239bB0x8bcB0xef
0x239cV0x8bcV0xef	0x23a4B0x8bcB0xef
0x2380V0x28bV0xef	0x5375B0x28bB0xef
0x2379V0x28bV0xef	0x2385B0x28bB0xef
0x2387V0x28bV0xef	0x2392B0x28bB0xef
0x2362V0x2385V0x28bV0xef	0x236aB0x2385B0x28bB0xef
0x20a4V0x235cB0x2385V0x28bV0xef	0x20abB0x235cB0x2385B0x28bB0xef
0x2099V0x235cB0x2385V0x28bV0xef	0x20a1B0x235cB0x2385B0x28bB0xef
0x2380V0x366V0xef	0x5375B0x366B0xef
0x2379V0x366V0xef	0x2385B0x366B0xef
0x2387V0x366V0xef	0x2392B0x366B0xef
0x2362V0x2385V0x366V0xef	0x236aB0x2385B0x366B0xef
0x20a4V0x235cB0x2385V0x366V0xef	0x20abB0x235cB0x2385B0x366B0xef
