0x20d	0x9b2
0xa04	0x1729
0x1731	0x1be8
0x1bef	0x1c7f
0x1cf2	0x1cfc
0x1d03	0x1d0c
0x1d12	0x1d25
0x1d86	0x1dd5
0x1de2	0x1e4a
0x1e57	0x1e6f
0x1ea0	0x1ea0
0x1edb	0x1f2a
0x1f37	0x1f9f
0x1fac	0x1fc4
0x204f	0x2064
0x2098	0x20ab
0x20ae	0x20bc
0x20c2	0x2120
0x212a	0x214e
0x2157	0x221f
0x2256	0x2269
0x226c	0x227a
0x2280	0x22de
0x22e8	0x230c
0x2315	0x2353
0x235c	0x236a
0x2370	0x2392
0x23aa	0x23bd
0x23c3	0x23d1
0x23d7	0x23f9
0x245c	0x2496
0x24ca	0x24ef
0x24fa	0x251a
