theta,tag,seed,model,architecture,clean_detected_rate,n_positive_observations,n_eligible_observations,n_eligible_families,random_successes,random_ASR,beam_successes,beam_ASR,strongest_ASR,strongest_successes,n_strongest_eligible,robust_recall,successful_evasions,unsuccessful_attacks,invalid_attacks,total_attack_queries
0.8,theta080,7702,authguard_seq,AuthGuard-Seq,0.844566712517194,727,614,164,160,0.26058631921824105,112,0.18241042345276873,0.26058631921824105,160,614,0.624484181568088,272,956,0,41735
0.8,theta080,7702,emulator_logreg,15-feature LR,0.8431911966987621,727,613,145,350,0.5709624796084829,286,0.466557911908646,0.5709624796084829,350,613,0.36176066024759285,636,590,0,44324
0.8,theta080,7703,authguard_seq,AuthGuard-Seq,0.8858321870701513,727,644,169,135,0.2096273291925466,113,0.17546583850931677,0.2096273291925466,135,644,0.7001375515818432,248,1040,0,41735
0.8,theta080,7703,emulator_logreg,15-feature LR,0.8431911966987621,727,613,145,350,0.5709624796084829,286,0.466557911908646,0.5709624796084829,350,613,0.36176066024759285,636,590,0,44324
0.8,theta080,7704,authguard_seq,AuthGuard-Seq,0.8707015130674003,727,633,166,112,0.1769352290679305,91,0.14375987361769352,0.1769352290679305,112,633,0.7166437414030261,203,1063,0,41518
0.8,theta080,7704,emulator_logreg,15-feature LR,0.8431911966987621,727,613,145,350,0.5709624796084829,286,0.466557911908646,0.5709624796084829,350,613,0.36176066024759285,636,590,0,44324
0.85,theta085,7702,authguard_seq,AuthGuard-Seq,0.8803301237964236,727,640,193,81,0.1265625,64,0.1,0.1265625,81,640,0.7689133425034388,145,1135,0,41670
0.85,theta085,7702,emulator_logreg,15-feature LR,0.7510316368638239,727,546,147,346,0.6336996336996337,283,0.5183150183150184,0.6336996336996337,346,546,0.2751031636863824,629,463,0,43977
0.85,theta085,7703,authguard_seq,AuthGuard-Seq,0.9546079779917469,727,694,195,267,0.38472622478386165,191,0.27521613832853026,0.38472622478386165,267,694,0.5873452544704264,458,930,0,41361
0.85,theta085,7703,emulator_logreg,15-feature LR,0.7510316368638239,727,546,147,346,0.6336996336996337,283,0.5183150183150184,0.6336996336996337,346,546,0.2751031636863824,629,463,0,43977
0.85,theta085,7704,authguard_seq,AuthGuard-Seq,0.8720770288858322,727,634,192,102,0.1608832807570978,77,0.12145110410094637,0.1608832807570978,102,634,0.7317744154057771,179,1089,0,41638
0.85,theta085,7704,emulator_logreg,15-feature LR,0.7510316368638239,727,546,147,346,0.6336996336996337,283,0.5183150183150184,0.6336996336996337,346,546,0.2751031636863824,629,463,0,43977
0.9,theta090,7702,authguard_seq,AuthGuard-Seq,0.8775790921595599,727,638,235,147,0.2304075235109718,106,0.16614420062695925,0.2304075235109718,147,638,0.6753782668500687,253,1023,0,41326
0.9,theta090,7702,emulator_logreg,15-feature LR,0.7757909215955984,727,564,180,284,0.5035460992907801,229,0.40602836879432624,0.5035460992907801,284,564,0.38514442916093533,513,615,0,44334
0.9,theta090,7703,authguard_seq,AuthGuard-Seq,0.8665749656121046,727,630,230,177,0.28095238095238095,112,0.17777777777777778,0.28095238095238095,177,630,0.6231086657496562,289,971,0,41321
0.9,theta090,7703,emulator_logreg,15-feature LR,0.7757909215955984,727,564,180,284,0.5035460992907801,229,0.40602836879432624,0.5035460992907801,284,564,0.38514442916093533,513,615,0,44334
0.9,theta090,7704,authguard_seq,AuthGuard-Seq,0.8583218707015131,727,624,230,168,0.2692307692307692,105,0.16826923076923078,0.2692307692307692,168,624,0.6272352132049519,273,975,0,42099
0.9,theta090,7704,emulator_logreg,15-feature LR,0.7757909215955984,727,564,180,284,0.5035460992907801,229,0.40602836879432624,0.5035460992907801,284,564,0.38514442916093533,513,615,0,44334
