theta,tag,seed,fold,model,n_test,n_positive,n_negative,n_test_families,AUPRC,AUROC,Brier,threshold_05,recall_at_5pct_nominal_fpr,realized_fpr_at_threshold,positive_rate
0.9,theta090,7703,0,authguard_seq,431,130,301,187,0.984059463006842,0.9933938154868387,0.03493548818374259,0.36986020674429654,0.9384615384615385,0.046511627906976744,0.30162412993039445
0.9,theta090,7703,0,emulator_logreg,431,130,301,187,0.9188606103170596,0.972885254280603,0.04257483794035097,0.7103429007723083,0.9846153846153847,0.053156146179401995,0.30162412993039445
0.9,theta090,7703,1,authguard_seq,458,157,301,187,0.9833995120067374,0.9936517341346256,0.026405016021936786,0.2459188264428957,0.9936305732484076,0.06312292358803986,0.34279475982532753
0.9,theta090,7703,1,emulator_logreg,458,157,301,187,0.9270873979036512,0.9729352265272869,0.03874182800902079,0.7929441047964202,0.8407643312101911,0.04983388704318937,0.34279475982532753
0.9,theta090,7703,2,authguard_seq,454,174,280,188,0.9725381918221048,0.9852114121510672,0.14106320240278253,0.5718877825366904,0.5517241379310345,0.014285714285714285,0.3832599118942731
0.9,theta090,7703,2,emulator_logreg,454,174,280,188,0.9622798654521143,0.9803674055829229,0.06201325132306443,0.8212519634160353,0.6551724137931034,0.007142857142857143,0.3832599118942731
0.9,theta090,7703,3,authguard_seq,443,131,312,185,0.9407205362067963,0.9794480328831474,0.04868242993194961,0.3359135372696296,0.9618320610687023,0.08012820512820513,0.29571106094808125
0.9,theta090,7703,3,emulator_logreg,443,131,312,185,0.896657166842683,0.9683034840477588,0.0602545118951387,0.8465080064698751,0.7786259541984732,0.04487179487179487,0.29571106094808125
0.9,theta090,7703,4,authguard_seq,404,135,269,181,0.9491717221906397,0.96728624535316,0.07417063698415823,0.04640278686150733,0.9629629629629629,0.07806691449814127,0.3341584158415842
0.9,theta090,7703,4,emulator_logreg,404,135,269,181,0.8657613594003678,0.9429436871816054,0.07928168291391316,0.7877269281355248,0.6518518518518519,0.08921933085501858,0.3341584158415842
