theta,tag,seed,fold,model,n_test,n_positive,n_negative,n_test_families,AUPRC,AUROC,Brier,threshold_05,recall_at_5pct_nominal_fpr,realized_fpr_at_threshold,positive_rate
0.9,theta090,7702,0,authguard_seq,431,130,301,187,0.9648059881580512,0.992090467671863,0.02902862335548039,0.8807859598726948,0.9692307692307692,0.029900332225913623,0.30162412993039445
0.9,theta090,7702,0,emulator_logreg,431,130,301,187,0.9188606103170596,0.972885254280603,0.04257483794035097,0.7103429007723083,0.9846153846153847,0.053156146179401995,0.30162412993039445
0.9,theta090,7702,1,authguard_seq,458,157,301,187,0.9752546356412768,0.9921069894407177,0.06046292590484477,0.824652998038506,0.9808917197452229,0.053156146179401995,0.34279475982532753
0.9,theta090,7702,1,emulator_logreg,458,157,301,187,0.9270873979036512,0.9729352265272869,0.03874182800902079,0.7929441047964202,0.8407643312101911,0.04983388704318937,0.34279475982532753
0.9,theta090,7702,2,authguard_seq,454,174,280,188,0.970244828753086,0.9813936781609196,0.044703917372453834,0.8473295580993215,0.5747126436781609,0.014285714285714285,0.3832599118942731
0.9,theta090,7702,2,emulator_logreg,454,174,280,188,0.9622798654521143,0.9803674055829229,0.06201325132306443,0.8212519634160353,0.6551724137931034,0.007142857142857143,0.3832599118942731
0.9,theta090,7702,3,authguard_seq,443,131,312,185,0.8861804471863735,0.9755456057936974,0.07807919405608685,0.6314570356647751,0.9770992366412213,0.14102564102564102,0.29571106094808125
0.9,theta090,7702,3,emulator_logreg,443,131,312,185,0.896657166842683,0.9683034840477588,0.0602545118951387,0.8465080064698751,0.7786259541984732,0.04487179487179487,0.29571106094808125
0.9,theta090,7702,4,authguard_seq,404,135,269,181,0.955386436058065,0.9719124328789756,0.04867157008634759,0.03509882176436745,0.9629629629629629,0.08550185873605948,0.3341584158415842
0.9,theta090,7702,4,emulator_logreg,404,135,269,181,0.8657613594003678,0.9429436871816054,0.07928168291391316,0.7877269281355248,0.6518518518518519,0.08921933085501858,0.3341584158415842
