theta,tag,seed,fold,model,n_test,n_positive,n_negative,n_test_families,AUPRC,AUROC,Brier,threshold_05,recall_at_5pct_nominal_fpr,realized_fpr_at_threshold,positive_rate
0.8,theta080,7702,0,authguard_seq,460,128,332,144,0.9842395531602026,0.9947053840361444,0.0236767290156645,0.6128474840298985,0.9921875,0.0210843373493975,0.2782608695652174
0.8,theta080,7702,0,emulator_logreg,460,128,332,144,0.9174880087698604,0.976644860692771,0.0402874406159972,0.7164355724314002,0.875,0.0421686746987951,0.2782608695652174
0.8,theta080,7702,1,authguard_seq,424,117,307,139,0.9517803776359828,0.9675937526100392,0.0511201052537674,0.0286739029384151,0.9487179487179488,0.2214983713355048,0.2759433962264151
0.8,theta080,7702,1,emulator_logreg,424,117,307,139,0.8854354484015453,0.9692363373145132,0.0439947161303459,0.7965876603874322,0.9316239316239316,0.0553745928338762,0.2759433962264151
0.8,theta080,7702,2,authguard_seq,438,187,251,141,0.956719169378894,0.977171527792573,0.0430332942045999,0.9024701935635688,0.5401069518716578,0.0159362549800796,0.4269406392694064
0.8,theta080,7702,2,emulator_logreg,438,187,251,141,0.9300385638898244,0.9612778831199268,0.0761546551384125,0.8457469778019409,0.7379679144385026,0.0517928286852589,0.4269406392694064
0.8,theta080,7702,3,authguard_seq,427,149,278,138,0.921184730131122,0.9742045289942542,0.067700214470828,0.8900135305690541,0.8993288590604027,0.0323741007194244,0.3489461358313817
0.8,theta080,7702,3,emulator_logreg,427,149,278,138,0.8815950236058556,0.9536719617594516,0.0798254827241405,0.7853252727241355,0.7785234899328859,0.0827338129496402,0.3489461358313817
0.8,theta080,7702,4,authguard_seq,441,146,295,139,0.953730247400978,0.9836312978871604,0.0466975625284831,0.0317575446360181,0.9657534246575342,0.0779661016949152,0.3310657596371882
0.8,theta080,7702,4,emulator_logreg,441,146,295,139,0.949352131737176,0.975470164847922,0.0563249380871279,0.574417126351936,0.9452054794520548,0.0779661016949152,0.3310657596371882
0.8,theta080,7703,0,authguard_seq,460,128,332,144,0.9695067299134486,0.9906108810240964,0.0367925119344187,0.0935357105293722,0.96875,0.0271084337349397,0.2782608695652174
0.8,theta080,7703,0,emulator_logreg,460,128,332,144,0.9174880087698604,0.976644860692771,0.0402874406159972,0.7164355724314002,0.875,0.0421686746987951,0.2782608695652174
0.8,theta080,7703,1,authguard_seq,424,117,307,139,0.9764717952042764,0.9839360783986192,0.0344872729313241,0.2309024398980174,0.9487179487179488,0.0456026058631921,0.2759433962264151
0.8,theta080,7703,1,emulator_logreg,424,117,307,139,0.8854354484015453,0.9692363373145132,0.0439947161303459,0.7965876603874322,0.9316239316239316,0.0553745928338762,0.2759433962264151
0.8,theta080,7703,2,authguard_seq,438,187,251,141,0.7925844876407112,0.7443275028229328,0.1666777331644644,0.7734604565107339,0.6631016042780749,0.047808764940239,0.4269406392694064
0.8,theta080,7703,2,emulator_logreg,438,187,251,141,0.9300385638898244,0.9612778831199268,0.0761546551384125,0.8457469778019409,0.7379679144385026,0.0517928286852589,0.4269406392694064
0.8,theta080,7703,3,authguard_seq,427,149,278,138,0.9200892375665204,0.97671527207764,0.0381633638821173,0.1189799317873684,0.9798657718120806,0.0467625899280575,0.3489461358313817
0.8,theta080,7703,3,emulator_logreg,427,149,278,138,0.8815950236058556,0.9536719617594516,0.0798254827241405,0.7853252727241355,0.7785234899328859,0.0827338129496402,0.3489461358313817
0.8,theta080,7703,4,authguard_seq,441,146,295,139,0.9514134578137324,0.97752495936847,0.0703478228859083,0.0125259262125281,0.952054794520548,0.1016949152542373,0.3310657596371882
0.8,theta080,7703,4,emulator_logreg,441,146,295,139,0.949352131737176,0.975470164847922,0.0563249380871279,0.574417126351936,0.9452054794520548,0.0779661016949152,0.3310657596371882
0.8,theta080,7704,0,authguard_seq,460,128,332,144,0.973181833481836,0.9923992846385544,0.0380547596389963,0.0238564387156901,0.9921875,0.0331325301204819,0.2782608695652174
0.8,theta080,7704,0,emulator_logreg,460,128,332,144,0.9174880087698604,0.976644860692771,0.0402874406159972,0.7164355724314002,0.875,0.0421686746987951,0.2782608695652174
0.8,theta080,7704,1,authguard_seq,424,117,307,139,0.9542993544645628,0.9709763634845068,0.0415367902561383,0.4775208076852707,0.9401709401709402,0.0325732899022801,0.2759433962264151
0.8,theta080,7704,1,emulator_logreg,424,117,307,139,0.8854354484015453,0.9692363373145132,0.0439947161303459,0.7965876603874322,0.9316239316239316,0.0553745928338762,0.2759433962264151
0.8,theta080,7704,2,authguard_seq,438,187,251,141,0.932455062692788,0.9605535078935594,0.1916663003549664,0.0523424373324862,0.5935828877005348,0.0438247011952191,0.4269406392694064
0.8,theta080,7704,2,emulator_logreg,438,187,251,141,0.9300385638898244,0.9612778831199268,0.0761546551384125,0.8457469778019409,0.7379679144385026,0.0517928286852589,0.4269406392694064
0.8,theta080,7704,3,authguard_seq,427,149,278,138,0.906241290879852,0.974445946598426,0.0387241179933697,0.6546901371103515,0.9395973154362416,0.0323741007194244,0.3489461358313817
0.8,theta080,7704,3,emulator_logreg,427,149,278,138,0.8815950236058556,0.9536719617594516,0.0798254827241405,0.7853252727241355,0.7785234899328859,0.0827338129496402,0.3489461358313817
0.8,theta080,7704,4,authguard_seq,441,146,295,139,0.9686148302074976,0.9825168330624564,0.0522869968001213,0.0715786688445574,0.9931506849315068,0.223728813559322,0.3310657596371882
0.8,theta080,7704,4,emulator_logreg,441,146,295,139,0.949352131737176,0.975470164847922,0.0563249380871279,0.574417126351936,0.9452054794520548,0.0779661016949152,0.3310657596371882
0.85,theta085,7702,0,authguard_seq,462,176,286,163,0.8533657997779253,0.8875258264462811,0.1591062019446157,0.5895630694816107,0.6079545454545454,0.0244755244755244,0.3809523809523809
0.85,theta085,7702,0,emulator_logreg,462,176,286,163,0.9659651192246784,0.9821996185632548,0.047649757274451,0.7969111779176588,0.875,0.0699300699300699,0.3809523809523809
0.85,theta085,7702,1,authguard_seq,431,137,294,153,0.9493847241745814,0.9842469834649188,0.040934636934325,0.6041332039697133,0.9927007299270072,0.0578231292517006,0.3178654292343387
0.85,theta085,7702,1,emulator_logreg,431,137,294,153,0.9156005616333088,0.9666070807885198,0.0536330666974732,0.7755189596978492,0.7664233576642335,0.0578231292517006,0.3178654292343387
0.85,theta085,7702,2,authguard_seq,433,156,277,157,0.9838254240345996,0.9884291400536888,0.0896246224746442,0.7842306464449611,0.9743589743589745,0.0830324909747292,0.3602771362586605
0.85,theta085,7702,2,emulator_logreg,433,156,277,157,0.9447401894238084,0.9722530778487456,0.0582413256964994,0.7583170159244678,0.6153846153846154,0.0180505415162454,0.3602771362586605
0.85,theta085,7702,3,authguard_seq,438,108,330,157,0.929171519695772,0.9804152637485972,0.0387031256914621,0.0209305647802224,0.9351851851851852,0.0666666666666666,0.2465753424657534
0.85,theta085,7702,3,emulator_logreg,438,108,330,157,0.9178725483450246,0.9782828282828284,0.0475992709137634,0.808365970563104,0.7222222222222222,0.0181818181818181,0.2465753424657534
0.85,theta085,7702,4,authguard_seq,426,150,276,160,0.9518625514844375,0.9791908212560388,0.0243025299124455,0.2105616029279792,0.96,0.0217391304347826,0.352112676056338
0.85,theta085,7702,4,emulator_logreg,426,150,276,160,0.8690067365383215,0.9505434782608696,0.083967779711235,0.8561029301589052,0.7533333333333333,0.0543478260869565,0.352112676056338
0.85,theta085,7703,0,authguard_seq,462,176,286,163,0.9271623440814412,0.9599491417673236,0.0638646766990506,0.8799514332035534,0.9488636363636364,0.0454545454545454,0.3809523809523809
0.85,theta085,7703,0,emulator_logreg,462,176,286,163,0.9659651192246784,0.9821996185632548,0.047649757274451,0.7969111779176588,0.875,0.0699300699300699,0.3809523809523809
0.85,theta085,7703,1,authguard_seq,431,137,294,153,0.9443791733425106,0.979591836734694,0.0532757710770862,0.4938450250782462,0.9416058394160584,0.0748299319727891,0.3178654292343387
0.85,theta085,7703,1,emulator_logreg,431,137,294,153,0.9156005616333088,0.9666070807885198,0.0536330666974732,0.7755189596978492,0.7664233576642335,0.0578231292517006,0.3178654292343387
0.85,theta085,7703,2,authguard_seq,433,156,277,157,0.9784742518078086,0.9883828566139036,0.0397498038672419,0.0759710492993367,0.9551282051282052,0.03971119133574,0.3602771362586605
0.85,theta085,7703,2,emulator_logreg,433,156,277,157,0.9447401894238084,0.9722530778487456,0.0582413256964994,0.7583170159244678,0.6153846153846154,0.0180505415162454,0.3602771362586605
0.85,theta085,7703,3,authguard_seq,438,108,330,157,0.938828209032048,0.9861111111111112,0.0628669175582389,0.6834113955897434,0.9629629629629628,0.0696969696969697,0.2465753424657534
0.85,theta085,7703,3,emulator_logreg,438,108,330,157,0.9178725483450246,0.9782828282828284,0.0475992709137634,0.808365970563104,0.7222222222222222,0.0181818181818181,0.2465753424657534
