theta,tag,model,architecture,n_seeds,clean_detected_rate_mean,clean_detected_rate_sd,random_ASR_mean,random_ASR_sd,beam_ASR_mean,beam_ASR_sd,strongest_ASR_mean,strongest_ASR_sd,robust_recall_mean,robust_recall_sd,n_eligible_observations_mean,n_eligible_observations_sd,n_eligible_families_mean,n_eligible_families_sd,invalid_attacks_total,successful_evasions_total,unsuccessful_attacks_total
0.8,theta080,authguard_seq,AuthGuard-Seq,3,0.8670334708849152,0.01704505299902899,0.21571629249290603,0.034420757558859635,0.1672120451932597,0.01682379423547791,0.21571629249290603,0.034420757558859635,0.6804218248509858,0.040123796161685786,630.3333333333334,12.391753530294071,166.33333333333334,2.0548046676563256,0,723,3059
0.8,theta080,emulator_logreg,15-feature LR,3,0.8431911966987621,0.0,0.5709624796084829,0.0,0.466557911908646,0.0,0.5709624796084829,0.0,0.36176066024759285,0.0,613.0,0.0,145.0,0.0,0,1908,1770
0.85,theta085,authguard_seq,AuthGuard-Seq,3,0.9023383768913341,0.037113445841078535,0.2240573351803198,0.11447080577675844,0.16555574747649224,0.07803455840482353,0.2240573351803198,0.11447080577675844,0.6960110041265475,0.07831989461065617,656.0,26.981475126464083,193.33333333333334,1.247219128924647,0,782,3154
0.85,theta085,emulator_logreg,15-feature LR,3,0.7510316368638238,1.1102230246251565e-16,0.6336996336996337,0.0,0.5183150183150184,0.0,0.6336996336996337,0.0,0.2751031636863824,0.0,546.0,0.0,147.0,0.0,0,1887,1389
0.9,theta090,authguard_seq,AuthGuard-Seq,3,0.8674919761577259,0.007888422986742432,0.26019689123137396,0.021600985582824094,0.17073040305798926,0.0050581983688019645,0.26019689123137396,0.021600985582824094,0.6419073819348923,0.023727370991170272,630.6666666666666,5.734883511361751,231.66666666666666,2.3570226039551585,0,815,2969
0.9,theta090,emulator_logreg,15-feature LR,3,0.7757909215955984,0.0,0.5035460992907801,0.0,0.40602836879432624,0.0,0.5035460992907801,0.0,0.38514442916093533,0.0,564.0,0.0,180.0,0.0,0,1539,1845
