label,contrast,method,left_ASR_on_common,right_ASR_on_common,difference,ci_low,ci_high,excludes_zero,n_common_observations,n_paired_eligible,n_families_eligible,bootstrap_replicates,theta,seed,scope,estimator,sd_across_seeds,n_seeds,min_seed_effect,max_seed_effect,all_seeds_positive,all_seed_cis_exclude_zero,n_sources
three_seed_mean_of_seed_level_estimates,emulator_logreg - authguard_seq,beam_search,,,0.39004353416737175,,,,,,,,0.85,,three_seed,mean and SD across per-seed family-clustered point estimates,0.09616425411079121,3.0,0.25426944971537,0.46466809421841543,True,True,
three_seed_mean_of_seed_level_estimates,emulator_logreg - authguard_seq,random_search,,,0.44497649486014645,,,,,,,,0.85,,three_seed,mean and SD across per-seed family-clustered point estimates,0.13013464911828182,3.0,0.2618595825426945,0.5524625267665952,True,True,
three_seed_mean_of_seed_level_estimates,emulator_logreg - authguard_seq,beam_search,,,0.2731962731962732,,,,,,,,0.9,,three_seed,mean and SD across per-seed family-clustered point estimates,0.010065458979184417,3.0,0.26403326403326405,0.28721174004192873,True,True,
three_seed_mean_of_seed_level_estimates,emulator_logreg - authguard_seq,random_search,,,0.26826972109990976,,,,,,,,0.9,,three_seed,mean and SD across per-seed family-clustered point estimates,0.018081250033094586,3.0,0.2431865828092243,0.2851153039832285,True,True,
three_seed_family_clustered_seed_averaged,emulator_logreg - authguard_seq,random_search,,,0.4225865209471767,0.3152218780531131,0.5245808520599251,True,,,141.0,10000.0,0.8,,three_seed,"per-source difference averaged over seeds where both models detect cleanly, then family-clustered bootstrap",,,,,,,549.0
three_seed_family_clustered_seed_averaged,emulator_logreg - authguard_seq,beam_search,,,0.3554948391013965,0.25019070502413576,0.4596779997028618,True,,,141.0,10000.0,0.8,,three_seed,"per-source difference averaged over seeds where both models detect cleanly, then family-clustered bootstrap",,,,,,,549.0
three_seed_family_clustered_seed_averaged,emulator_logreg - authguard_seq,random_search,,,0.36497493734335845,0.16389927470746463,0.5508936829295276,True,,,140.0,10000.0,0.85,,three_seed,"per-source difference averaged over seeds where both models detect cleanly, then family-clustered bootstrap",,,,,,,532.0
three_seed_family_clustered_seed_averaged,emulator_logreg - authguard_seq,beam_search,,,0.3032581453634085,0.08577294459965869,0.4949212088746036,True,,,140.0,10000.0,0.85,,three_seed,"per-source difference averaged over seeds where both models detect cleanly, then family-clustered bootstrap",,,,,,,532.0
three_seed_family_clustered_seed_averaged,emulator_logreg - authguard_seq,random_search,,,0.25384101536406145,0.14436334144363341,0.35197222241390014,True,,,172.0,10000.0,0.9,,three_seed,"per-source difference averaged over seeds where both models detect cleanly, then family-clustered bootstrap",,,,,,,499.0
three_seed_family_clustered_seed_averaged,emulator_logreg - authguard_seq,beam_search,,,0.2578490313961256,0.15735085614570837,0.3562902483358283,True,,,172.0,10000.0,0.9,,three_seed,"per-source difference averaged over seeds where both models detect cleanly, then family-clustered bootstrap",,,,,,,499.0
