theta,tag,seed,fold,model,n_test,n_positive,n_negative,n_test_families,AUPRC,AUROC,Brier,threshold_05,recall_at_5pct_nominal_fpr,realized_fpr_at_threshold,positive_rate
0.8,theta080,7704,0,authguard_seq,460,128,332,144,0.9731818334818361,0.9923992846385543,0.03805475963899636,0.023856438715690105,0.9921875,0.03313253012048193,0.2782608695652174
0.8,theta080,7704,0,emulator_logreg,460,128,332,144,0.9174880087698604,0.976644860692771,0.04028744061599721,0.7164355724314002,0.875,0.04216867469879518,0.2782608695652174
0.8,theta080,7704,1,authguard_seq,424,117,307,139,0.9542993544645627,0.9709763634845068,0.041536790256138344,0.4775208076852707,0.9401709401709402,0.03257328990228013,0.2759433962264151
0.8,theta080,7704,1,emulator_logreg,424,117,307,139,0.8854354484015453,0.9692363373145132,0.04399471613034591,0.7965876603874322,0.9316239316239316,0.05537459283387622,0.2759433962264151
0.8,theta080,7704,2,authguard_seq,438,187,251,141,0.9324550626927879,0.9605535078935594,0.19166630035496646,0.052342437332486294,0.5935828877005348,0.043824701195219126,0.4269406392694064
0.8,theta080,7704,2,emulator_logreg,438,187,251,141,0.9300385638898245,0.9612778831199267,0.07615465513841257,0.8457469778019409,0.7379679144385026,0.05179282868525897,0.4269406392694064
0.8,theta080,7704,3,authguard_seq,427,149,278,138,0.906241290879852,0.9744459465984259,0.038724117993369785,0.6546901371103515,0.9395973154362416,0.03237410071942446,0.34894613583138173
0.8,theta080,7704,3,emulator_logreg,427,149,278,138,0.8815950236058556,0.9536719617594515,0.07982548272414058,0.7853252727241355,0.7785234899328859,0.08273381294964029,0.34894613583138173
0.8,theta080,7704,4,authguard_seq,441,146,295,139,0.9686148302074976,0.9825168330624564,0.05228699680012138,0.07157866884455741,0.9931506849315068,0.22372881355932203,0.3310657596371882
0.8,theta080,7704,4,emulator_logreg,441,146,295,139,0.949352131737176,0.975470164847922,0.05632493808712793,0.574417126351936,0.9452054794520548,0.07796610169491526,0.3310657596371882
