0x20447	0x20449
0x1d7	0x4a0
0x251	0x73f
0xa2e	0x1318
0xa3f	0x1344
0x2046e	0x310
0x20471	0x32f
0x20474	0x362
0x20477	0x381
0x20462	0x283
0x20465	0x297
0x20468	0x2be
0x2046b	0x2f1
0x20456	0x1e0
0x20459	0x218
0x2045c	0x237
0x2045f	0x256
0x2044a	0x12c
0x2044d	0x160
0x20450	0x1ab
0x20453	0x1cc
0x1d1cB0x223	0x1cdf
0x1d1cB0x261	0x1cdf
0x181cB0x1318	0x2390
0x1b5dB0x1318	0x1b9a
0x1828B0x1318	0x2390
0x181cB0x1344	0x2390
0x1b5dB0x1344	0x1b9a
0x1828B0x1344	0x2390
0x1db6B0x242	0x1cdf
0xe286B0x270	0x1301
0x1298bB0x32a	0x1301
0xd98B0x4a0	0x1660
0xd98B0x8e4	0x1660
0x652B0x232	0x4a0
0xe286B0x6cfB0x232	0x1301
0x652B0x73f	0x4a0
0xe286B0x6cfB0x73f	0x1301
0x15acB0xadeB0x37c	0x1660
0xb34B0x39b	0x4a0
0x1298bB0x1602B0xbc6B0x39b	0x1301
0xe57B0x582B0x1fa	0x4a0
0xcd2B0x1c5	0x4a0
